Section,Action ID,Suggested Action,GAI Risks,AI Actor Tasks
"GOVERN 1.1: Legal and regulatory requirements involving AI are understood, managed, and documented.",GV-1.1-001,"Align GAI development and use with applicable laws and regulations, including those related to data privacy, copyright and intellectual property law.",Data Privacy; Harmful Bias and Homogenization; Intellectual Property,AI Actor Tasks: Governance and Oversight
"GOVERN 1.2: The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices.",GV-1.2-001,"Establish transparency policies and processes for documenting the origin and history of training data and generated data for GAI applications to advance digital content transparency, while balancing the proprietary nature of training approaches.","Data Privacy; Information
Integrity; Intellectual Property",AI Actor Tasks: Governance and Oversight
"GOVERN 1.2: The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices.",GV-1.2-002,"Establish policies to evaluate risk-relevant capabilities of GAI and robustness of safety measures, both prior to deployment and on an ongoing basis, through internal and external evaluations.",CBRN Information or Capabilities; Information Security,AI Actor Tasks: Governance and Oversight
"GOVERN 1.3: Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance.",GV-1.3-001,"Consider the following factors when updating or deﬁning risk tiers for GAI: Abuses and impacts to information integrity; Dependencies between GAI and other IT or data systems; Harm to fundamental rights or public safety; Presentation of obscene, objectionable, oﬀensive, discriminatory, invalid or untruthful output; Psychological impacts to humans (e.g., anthropomorphization, algorithmic aversion, emotional entanglement); Possibility for malicious use; Whether the system introduces signiﬁcant new security vulnerabilities; Anticipated system impact on some groups compared to others; Unreliable decision making capabilities, validity, adaptability, and variability of GAI system performance over time.","Information Integrity; Obscene, Degrading, and/or Abusive Content; Value Chain and Component Integration; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content; CBRN Information or Capabilities",AI Actor Tasks: Governance and Oversight
"GOVERN 1.3: Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance.",GV-1.3-002,"Establish minimum thresholds for performance or assurance criteria and review as part of deployment approval (“go/”no-go”) policies, procedures, and processes, with reviewed processes and approval thresholds reﬂecting measurement of GAI capabilities and risks.","CBRN Information or Capabilities; Confabulation; Dangerous, Violent, or Hateful Content",AI Actor Tasks: Governance and Oversight
"GOVERN 1.3: Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance.",GV-1.3-003,"Establish a test plan and response policy, before developing highly capable models, to periodically evaluate whether the model may misuse CBRN information or capabilities and/or oﬀensive cyber capabilities.",CBRN Information or Capabilities; Information Security,AI Actor Tasks: Governance and Oversight
"GOVERN 1.3: Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance.",GV-1.3-004,"Obtain input from stakeholder communities to identify unacceptable use, in accordance with activities in the AI RMF Map function.","CBRN Information or Capabilities; Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content",AI Actor Tasks: Governance and Oversight
"GOVERN 1.3: Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance.",GV-1.3-005,"Maintain an updated hierarchy of identiﬁed and expected GAI risks connected to contexts of GAI model advancement and use, potentially including specialized risk levels for GAI systems that address issues such as model collapse and algorithmic monoculture.",Harmful Bias and Homogenization,AI Actor Tasks: Governance and Oversight
"GOVERN 1.3: Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance.",GV-1.3-006,"Reevaluate organizational risk tolerances to account for unacceptable negative risk (such as where signiﬁcant negative impacts are imminent, severe harms are actually occurring, or large-scale risks could occur); and broad GAI negative risks, including: Immature safety or risk cultures related to AI and GAI design, development and deployment, public information integrity risks, including impacts on democratic processes, unknown long-term performance characteristics of GAI.","Information Integrity; Dangerous, Violent, or Hateful Content; CBRN Information or Capabilities",AI Actor Tasks: Governance and Oversight
"GOVERN 1.3: Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance.",GV-1.3-007,Devise a plan to halt development or deployment of a GAI system that poses unacceptable negative risk.,CBRN Information and Capability; Information Security; Information Integrity,AI Actor Tasks: Governance and Oversight
"GOVERN 1.4: The risk management process and its outcomes are established through transparent policies, procedures, and other controls based on organizational risk priorities.",GV-1.4-001,"Establish policies and mechanisms to prevent GAI systems from generating CSAM, NCII or content that violates the law.","Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content","AI Actor Tasks: AI Development, AI Deployment, Governance and Oversight"
"GOVERN 1.4: The risk management process and its outcomes are established through transparent policies, procedures, and other controls based on organizational risk priorities.",GV-1.4-002,Establish transparent acceptable use policies for GAI that address illegal use or applications of GAI.,"CBRN Information or Capabilities; Obscene, Degrading, and/or Abusive Content; Data Privacy; Civil Rights violations","AI Actor Tasks: AI Development, AI Deployment, Governance and Oversight"
"GOVERN 1.5: Ongoing monitoring and periodic review of the risk management process and its outcomes are planned, and organizational roles and responsibilities are clearly deﬁned, including determining the frequency of periodic review.",GV-1.5-001,Deﬁne organizational responsibilities for periodic review of content provenance and incident monitoring for GAI systems.,Information Integrity,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring"
"GOVERN 1.5: Ongoing monitoring and periodic review of the risk management process and its outcomes are planned, and organizational roles and responsibilities are clearly deﬁned, including determining the frequency of periodic review.",GV-1.5-002,"Establish organizational policies and procedures for after action reviews of GAI system incident response and incident disclosures, to identify gaps; Update incident response and incident disclosure processes as required.",Human-AI Conﬁguration; Information Security,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring"
"GOVERN 1.5: Ongoing monitoring and periodic review of the risk management process and its outcomes are planned, and organizational roles and responsibilities are clearly deﬁned, including determining the frequency of periodic review.",GV-1.5-003,"Maintain a document retention policy to keep history for test, evaluation, validation, and veriﬁcation (TEVV), and digital content transparency methods for GAI.",Information Integrity; Intellectual Property,"AI Actor Tasks: Governance and Oversight, Operation and Monitoring"
GOVERN 1.6: Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.,GV-1.6-001,"Enumerate organizational GAI systems for incorporation into AI system inventory
and adjust AI system inventory requirements to account for GAI risks.",Information Security,AI Actor Tasks: Governance and Oversight
GOVERN 1.6: Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.,GV-1.6-002,Deﬁne any inventory exemptions in organizational policies for GAI systems embedded into application software.,Value Chain and Component Integration,AI Actor Tasks: Governance and Oversight
GOVERN 1.6: Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.,GV-1.6-003,"In addition to general model, governance, and risk information, consider the following items in GAI system inventory entries: Data provenance information (e.g., source, signatures, versioning, watermarks); Known issues reported from internal bug tracking or external information sharing resources (e.g., AI incident database, AVID, CVE, NVD, or OECD AI incident monitor); Human oversight roles and responsibilities; Special rights and considerations for intellectual property, licensed works, or personal, privileged, proprietary or sensitive data; Underlying foundation models, versions of underlying models, and access modes.",Data Privacy; Human-AI Conﬁguration; Information Integrity; Intellectual Property; Value Chain and Component Integration,AI Actor Tasks: Governance and Oversight
GOVERN 1.7: Processes and procedures are in place for decommissioning and phasing out AI systems safely and in a manner that does not increase risks or decrease the organization’s trustworthiness.,GV-1.7-001,"Protocols are put in place to ensure GAI systems are able to be deactivated when
necessary.",Information Security; Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring"
GOVERN 1.7: Processes and procedures are in place for decommissioning and phasing out AI systems safely and in a manner that does not increase risks or decrease the organization’s trustworthiness.,GV-1.7-002,"Consider the following factors when decommissioning GAI systems: Data retention requirements; Data security, e.g., containment, protocols, Data leakage after decommissioning; Dependencies between upstream, downstream, or other data, internet of things (IOT) or AI systems; Use of open-source data or models; Users’ emotional entanglement with GAI functions.",Human-AI Conﬁguration; Information Security; Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring"
"GOVERN 2.1: Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization.",GV-2.1-001,"Establish organizational roles, policies, and procedures for communicating GAI incidents and performance to AI Actors and downstream stakeholders (including those potentially impacted), via community or oﬃcial resources (e.g., AI incident database, AVID, CVE, NVD, or OECD AI incident monitor).",Human-AI Conﬁguration; Value Chain and Component Integration,AI Actor Tasks: Governance and Oversight
"GOVERN 2.1: Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization.",GV-2.1-002,Establish procedures to engage teams for GAI system incident response with diverse composition and responsibilities based on the particular incident type.,Harmful Bias and Homogenization,AI Actor Tasks: Governance and Oversight
"GOVERN 2.1: Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization.",GV-2.1-003,Establish processes to verify the AI Actors conducting GAI incident response tasks demonstrate and maintain the appropriate skills and training.,Human-AI Conﬁguration,AI Actor Tasks: Governance and Oversight
"GOVERN 2.1: Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization.",GV-2.1-004,"When systems may raise national security risks, involve national security
professionals in mapping, measuring, and managing those risks.","CBRN Information or Capabilities; Dangerous, Violent, or Hateful Content; Information Security",AI Actor Tasks: Governance and Oversight
"GOVERN 2.1: Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization.",GV-2.1-005,"Create mechanisms to provide protections for whistleblowers who report, based on reasonable belief, when the organization violates relevant laws or poses a speciﬁc and empirically well-substantiated negative risk to public safety (or has already caused harm).","CBRN Information or Capabilities; Dangerous, Violent, or Hateful Content",AI Actor Tasks: Governance and Oversight
GOVERN 3.2: Policies and procedures are in place to deﬁne and diﬀerentiate roles and responsibilities for human-AI conﬁgurations and oversight of AI systems.,GV-3.2-001,Policies are in place to bolster oversight of GAI systems with independent evaluations or assessments of GAI models or systems where the type and robustness of evaluations are proportional to the identiﬁed risks.,CBRN Information or Capabilities; Harmful Bias and Homogenization,AI Actors: AI Design
GOVERN 3.2: Policies and procedures are in place to deﬁne and diﬀerentiate roles and responsibilities for human-AI conﬁgurations and oversight of AI systems.,GV-3.2-002,"Consider adjustment of organizational roles and components across lifecycle stages of large or complex GAI systems, including: Test and evaluation, validation, and red-teaming of GAI systems; GAI content moderation; GAI system development and engineering; Increased accessibility of GAI tools, interfaces, and systems, Incident response and containment.",Human-AI Conﬁguration; Information Security; Harmful Bias and Homogenization,AI Actors: AI Design
GOVERN 3.2: Policies and procedures are in place to deﬁne and diﬀerentiate roles and responsibilities for human-AI conﬁgurations and oversight of AI systems.,GV-3.2-003,"Deﬁne acceptable use policies for GAI interfaces, modalities, and human-AI conﬁgurations (i.e., for chatbots and decision-making tasks), including criteria for the kinds of queries GAI applications should refuse to respond to.",Human-AI Conﬁguration,AI Actors: AI Design
