Domain,Domain description,Category,Definition
"AI Governance, Risk, & Compliance","The foundation of a trustworthy AI program. Ensuring that the organization has the proper management of its AI program in order to ensure security, effective risk management and compliance with relevant laws and regulations governing AI development and deployment.",AI Governance Program,"The oversight mechanisms that address risks like bias, privacy infringement and misuse while fostering innovation and trust."
"AI Governance, Risk, & Compliance","The foundation of a trustworthy AI program. Ensuring that the organization has the proper management of its AI program in order to ensure security, effective risk management and compliance with relevant laws and regulations governing AI development and deployment.",AI Risk Management,"Program driving responsible uses and practices by prompting organizations and their internal teams to think more critically about context and potential or unexpected negative and
positive impacts."
"AI Governance, Risk, & Compliance","The foundation of a trustworthy AI program. Ensuring that the organization has the proper management of its AI program in order to ensure security, effective risk management and compliance with relevant laws and regulations governing AI development and deployment.",AI Regulatory Compliance,"Ensuring an organization stays current with the regulatory landscape (regulatory watch) and adheres to legal requirements, rules, and standards governing the
development, deployment, monitoring, and use of AI."
"AI Governance, Risk, & Compliance","The foundation of a trustworthy AI program. Ensuring that the organization has the proper management of its AI program in order to ensure security, effective risk management and compliance with relevant laws and regulations governing AI development and deployment.",Supply Chain Security,"Addressing risks related to data sourcing, model development, deployment, and ongoing maintenance that leverage third-
party libraries, APIs, and pre-trained models."
AI App Controls & Management,Controls that “secure the usage” of AI through the application stack. Adhering to ethical standards and guidelines to ensure that AI systems respect human values and rights.,AI App Safety,"Practices to ensure the safe and reliable operation of AI systems. It encompasses strategies to prevent unintended consequences, errors, and harm caused by AI applications."
AI App Controls & Management,Controls that “secure the usage” of AI through the application stack. Adhering to ethical standards and guidelines to ensure that AI systems respect human values and rights.,AI App Lifecycle,"Controls to ensure stages involved in the development, deployment, and maintenance of AI systems drive trustworthy
AI"
AI App Controls & Management,Controls that “secure the usage” of AI through the application stack. Adhering to ethical standards and guidelines to ensure that AI systems respect human values and rights.,AI App Compliance,"Adherence of AI applications to established guidelines, regulations, and standards."
AI App Controls & Management,Controls that “secure the usage” of AI through the application stack. Adhering to ethical standards and guidelines to ensure that AI systems respect human values and rights.,App Interaction Safety & Security,"Mechanisms to ensure that interactions between AI systems and their users, other systems, and the environment occur in a safe and secure manner."
AI App Controls & Management,Controls that “secure the usage” of AI through the application stack. Adhering to ethical standards and guidelines to ensure that AI systems respect human values and rights.,AI App Protection,"Techniques to safeguard AI applications from various risks, vulnerabilities, and threats. These protective measures aim to ensure the robustness, security, and reliability of AI systems
throughout their lifecycle."
AI App Controls & Management,Controls that “secure the usage” of AI through the application stack. Adhering to ethical standards and guidelines to ensure that AI systems respect human values and rights.,AI App Threat Management & Resilience,"Identifying, assessing, and mitigating potential risks and vulnerabilities that could impact the security, functionality, or reliability of an AI application and ensuring its ability to adapt, recover, and continue functioning effectively even in the face
of unexpected events, failures, or disruptions."
AI Model Controls & Management,"Controls that “secure the model” layer as well as securing the usage of models. Implementing best practices for model training, validation, and evaluation to enhance
performance and reliability.",AI Model Explainability,"Understanding and interpreting the decisions made by
machine learning models. It provides visibility on how the model arrives at its predictions or results."
AI Model Controls & Management,"Controls that “secure the model” layer as well as securing the usage of models. Implementing best practices for model training, validation, and evaluation to enhance
performance and reliability.",AI Model Lifecycle,"Implementing the various stages involved in creating, deploying, and maintaining AI models."
AI Model Controls & Management,"Controls that “secure the model” layer as well as securing the usage of models. Implementing best practices for model training, validation, and evaluation to enhance
performance and reliability.",AI Model Compliance,"Adherence of AI models to established guidelines, regulations, and standards."
AI Model Controls & Management,"Controls that “secure the model” layer as well as securing the usage of models. Implementing best practices for model training, validation, and evaluation to enhance
performance and reliability.",Prompt Safety & Security,"Controls that ensure the input prompts provided to AI models are safe, non-malicious, and aligned with the intended behavior of the model and protect the model from unauthorized access, tampering, or attacks. Equally checking that response prompts are safe and secure in terms of content
it may inadvertently reveal (i.e. PII)."
AI Model Controls & Management,"Controls that “secure the model” layer as well as securing the usage of models. Implementing best practices for model training, validation, and evaluation to enhance
performance and reliability.",AI Model Access,"Restricting access to gen AI models, model parameters, training data, and APIs to prevent potential misuse and attack vectors."
AI Model Controls & Management,"Controls that “secure the model” layer as well as securing the usage of models. Implementing best practices for model training, validation, and evaluation to enhance
performance and reliability.",AI Model Threat Detection,"Identifying and mitigating potential risks or vulnerabilities that
could compromise the integrity, security, or performance of the AI models and the interaction with those models."
AI Data Controls & Management,"Controls that “secure the data” layer.  Establishing clear guidelines for data collection, storage, and usage to ensure data quality and mitigate bias",Data Classification and Lineage,"Provide a common foundation for assessing data leveraged by AI systems; including data classifications, assigning predefined labels to each characteristic and historical context of the data"
