CON.1,Name,CIA,G 0.13,G 0.14,G 0.15,G 0.18,G 0.19,G 0.20,G 0.21,G 0.22,G 0.25,G 0.26,G 0.27,G 0.28,G 0.29,G 0.30,G 0.31,G 0.45,G 0.46,Col_21
CON.1.A1,Selecting Appropriate Cryptographic Methods,,,,,X,,,,,,,,,X,,,,,
CON.1.A2,Backups When Using Cryptographic Methods,,,,,X,X,,,,,,,,,,,X,X,
CON.1.A3,Encryption of Communication Links,,,X,X,,X,,,X,,,,,,,,,,
CON.1.A4,Appropriate Key Management,,,,,X,X,X,,,,,,,,,,X,,
CON.1.A5,Secure Deletion and Destruction of Cryptographic Keys,,,,,,X,,,,,,,,,,,,,
CON.1.A6,Identifying the Need for Cryptographic Methods and Products,,,,,X,X,,,,,,,,,,,,X,
CON.1.A7,Drawing Up a Security Policy for the Use of Cryptographic Methods and Products,CIA,,,,X,X,,,,,,X,,,X,X,,,
CON.1.A8,Determining the Factors That Influence Cryptographic Methods and Products,CIA,,,,X,,,,,,,,,X,,,,,
CON.1.A9,Selecting an Appropriate Cryptographic Product,CIA,,,,X,,X,,,,X,,X,X,,X,,,
CON.1.A10,Developing a Crypto Concept,CIA,,,,X,,,,,,,,,,,,,,
CON.1.A11,Secure Configuration of Crypto Modules,CIA,,,,,X,X,,,,,,,,,X,,,
CON.1.A12,Secure Separation of Roles When Using Crypto Modules,CIA,,,,X,,,,,,,,,,X,,X,,
CON.1.A13,Operating System Security Requirements When Using Crypto Modules,CIA,,X,,X,X,X,X,X,,,,,,X,,,X,
CON.1.A14,Training of Users and Administrators,CIA,,,,,,,,,,,,,,,X,,,
CON.1.A15,Reacting to the Practical Weakening of a Crypto Method,CIA,,,,X,,,,,,,,,,,,,,
CON.1.A16,Physical Protection of Crypto Modules,CIA,,,,,,,X,X,,,,,,,,,,
CON.1.A17,Emission Security,C,X,,,,,,,,,,,,,,,,,
CON.1.A18,Cryptographic Replacement Modules,A,,,,,,,,,X,,X,,,,,,,
,,,,,,,,,,,,,,,,,,,,
