DER.4,Name,CIA,G 0.11,G 0.18,G 0.19,G 0.27,G 0.29
DER.4.A1,Creating an Emergency Handbook,,,X,,X,X
DER.4.A2,Integration of Business Continuity Management and Information Security Management,,,X,,,
DER.4.A3,Specifying the Scope and the Business Continuity Strategy,CIA,,X,,,
DER.4.A4,Policy for Business Continuity Management and Acceptance of Overall Responsibility by Top Managemen,CIA,,X,,,
DER.4.A5,Establishing a Suitable Organisational Structure for Business Continuity Management,CIA,,X,,X,
DER.4.A6,Providing Adequate Resources for Business Continuity Management,CIA,,X,,X,
DER.4.A7,Creating a Contingency Concept,CIA,,X,,X,
DER.4.A8,Integrating Employees into the Business Continuity Management Process,CIA,,X,,,
DER.4.A9,Integrating Employees into the Business Continuity Management Process,CIA,,X,,,
DER.4.A10,Tests and Emergency Drills,CIA,,X,,X,
DER.4.A11,ELIMINATED,,,,,,
DER.4.A12,Documentation in the Business Continuity Management Process,CIA,,X,X,,
DER.4.A13,Checking and Controlling the Business Continuity Management System,CIA,,X,,,
DER.4.A14,Regular Checking and Improvement of Business Continuity Safeguards,CIA,,X,,,
DER.4.A15,Assessing the Performance of the Business Continuity Management System,CIA,,X,,,
DER.4.A16,Contingency Planning and Emergency Response Planning for Outsourced Components,CIA,X,X,,,
