IND.2.7,Name,CIA,G 0.5,G 0.6,G 0.9,G 0.11,G 0.14,G 0.15,G 0.18,G 0.19,G 0.20,G 0.21,G 0.23,G 0.28,G 0.29,G 0.30,G 0.32,G 0.36,G 0.37,G 0.39,G 0.41,G 0.42,G 0.46
IND.2.7.A1,Recording and Documentation,,,,,,X,X,,X,,X,X,,,X,,,,,X,X,X
IND.2.7.A2,Specified Use of Hardware and Software Components,,,,,,X,X,,X,,X,X,,,X,,,,,X,X,X
IND.2.7.A3,Changing the Application Program on the Logic System,,,,,,,,,,,X,,,,,,,,,X,X,X
IND.2.7.A4,Making Information Security an Integral Part of Functional Safety Management,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,
IND.2.7.A5,SIS Business Continuity Management,,X,X,X,X,X,,,,,,,,,,,,,,X,,
IND.2.7.A6,Secure Planning and Specification of SIS,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,,
IND.2.7.A7,Separation and Independence of the SIS from the Environment,,,X,X,,X,X,,X,,X,X,,,,,,,,X,X,X
IND.2.7.A8,Secure Transfer of Engineering Data to SIS,,,,,,,,,,X,X,X,,,,,,,,X,,X
IND.2.7.A9,Protection of Data and Signal Connections,,,,X,,X,X,,X,,X,X,,,,,,,,X,,X
IND.2.7.A10,Displays and Alerts Pertaining to Simulated or Bridged Variables,,,,,,,,,,,,X,,,,,,,,X,X,
IND.2.7.A11,Dealing with Integrated Systems,,,X,,,X,X,,X,X,X,X,,,,,,,,X,X,X
IND.2.7.A12,Ensuring the Integrity and Authenticity of Application Programs and Configuration Data,I,,,,,,,,,X,X,X,X,,,,,,,X,,
