IND.3.2,Name,CIA,G 0.18,G 0.20,G 0.23,G 0.24,G 0.25,G 0.27,G 0.28,G 0.30,G 0.31,G 0.32,G 0.33,G 0.37,G 0.39,G 0.40,G 0.41,G 0.43,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25
IND.3.2.A1,Planning the Use of Remote Maintenance in OT,,X,,,,,,X,,,,,,,,,,,,,,,
IND.3.2.A2,Consistent Documentation of Remote Maintenance by OT and Office and Building IT,,X,,,,,,,,,,,,,,,,,,,,,
IND.3.2.A3,Regular Checks and Exceptions for Existing OT Remote Maintenance Access,,X,,X,,,,,X,,,,,,X,,,,,,,,
IND.3.2.A4,Binding Regulation of OT Remote Maintenance by Third Parties,,X,,,,,,,X,X,X,,,,,,,,,,,,
IND.3.2.A5,Internal Coordination for OT Remote Maintenance with Office and Building IT,,X,,,,,,,X,,,,,,X,,,,,,,,
IND.3.2.A6,Securing All Remote Maintenance Access to OT,,,X,X,,,,,X,,,,,,,,,,,,,,
IND.3.2.A7,Technical Decoupling of Access,,,,X,,,,,X,,,,X,,,,,,,,,,
IND.3.2.A8,Explicit Approval of Every OT Remote Maintenance Session,,,,X,,,,,X,,X,,,,,,,,,,,,
IND.3.2.A9,Secure Exchange of Files Involved in OT Remote Maintenance,,,,,,,,,,,,,X,X,,,X,,,,,,
IND.3.2.A10,Observation and Control of OT Remote Maintenance Sessions,,,,,X,X,,,,X,X,X,X,,,X,,,,,,,
IND.3.2.A11,Central Management of All User Accounts for OT Remote Maintenance,,,,,,,,,X,,,,,,,,,,,,,,
IND.3.2.A12,Dedicated OT Remote Maintenance Solution,CIA,X,,X,,,X,,X,,,,,,,,,,,,,,
IND.3.2.A13,Logging of Contents of Remote Maintenance Access in OT,CI,,,,,,,,,,,,X,,,,,,,,,,
IND.3.2.A14,Technical Control of Remote Maintenance Sessions,CIA,X,,,,,,,,X,X,,X,,,,,,,,,,
