INF.13,Name,CIA,G 0.9,G 0.10,G 0.14,G 0.15,G 0.18,G 0.19,G 0.21,G 0.22,G 0.23,G 0.24,G 0.25,G 0.26,G 0.27,G 0.28,G 0.29,G 0.30,G 0.32,G 0.33,G 0.37,G 0.39,G 0.41,G 0.43,G 0.44,G 0.47
INF.13.A1,Assessment of the Current Situation When Taking Over Existing Buildings,,,,,,X,,,,,,,,,,,,,,,,,,,
INF.13.A2,Regulation and Documentation of Responsibilities and Authorities in the Building,,,,,,X,,,,,,,,,,X,,,,,,,,,
INF.13.A3,Documentation of Building Facilities,,,,,,X,,,,,,,,,,X,,,,,,,,,
INF.13.A4,Creation of a Security Policy for TBM,,,,,,X,,,,,,,,,,X,,,,,,,,,
INF.13.A5,Planning TBM,,,,,,X,,,,,,,,,,,,,,,,,,,
INF.13.A6,Drawing Up a TBM Concept,,X,X,,,X,X,,,,,X,,,,,,,X,,,,,,
INF.13.A7,Creating a Radio Frequency Register,,X,,,,,,,,,,X,X,X,,,,,,,,,,,
INF.13.A8,Creation and Maintenance of an Inventory for TBM,,,,,,X,,,,,,,,,,,,,,,,,,,
INF.13.A9,Regulation of the Use of Computer-Aided Facility Management,,,,,,X,,,,,,,,,,,X,X,,,,,,,
INF.13.A10,Regulation of the Use of Building Information Modelling,,,,,,X,,,,,,,,,,,,,,,,,,,
INF.13.A11,Adequate Hardening of Systems in TBM,,,,X,X,,X,X,X,X,X,X,,,X,,,,,,X,X,X,,X
INF.13.A12,Secure Configuration of TBM Systems,,,,,,,X,X,X,X,X,X,X,,X,,,,,,X,X,X,,X
INF.13.A13,Secure Connection of Restricted Trusted Systems in TBM,,,,X,X,,X,X,X,X,X,X,,,X,,,,,,X,X,X,,X
INF.13.A14,Consideration of Special Roles and Authorisations in TBM,,,,,,X,,,,,,,,,,,X,X,,,,,,,
INF.13.A15,Protection Against Malware in TBM,,,,,,,,,,,,,,,,,,,,,X,,,,
INF.13.A16,Process for Changes in TBM,,,,,,X,,,,,,,,,,,,,,,,,,,
INF.13.A17,Provisions for Maintenance and Repairs in TBM,,X,X,,,X,,,,,X,X,,,,,X,X,,,,,,X,
INF.13.A18,Proactive Maintenance in TBM,,X,X,,,X,,,,,,X,,X,,,,,,,,,,,
INF.13.A19,Conceptualisation and Implementation of Monitoring in TBM,,,,,,X,X,,,,,,,,,,,,,,,,,,
INF.13.A20,Provisions for Event Management in TBM,,,,,,X,,,,,,,,,,,,,,,,,,,
INF.13.A21,Logging in TBM,,,,,,X,X,,,,,,,,,,,,,X,,,,,
INF.13.A22,Performing System Tests in TBM,,X,X,,,X,,,,,,X,X,X,X,,,,,,,,,,
INF.13.A23,Integration of TBM into Vulnerability Management,,,,,,X,,,,,,,,,X,,,,,,,,,,
INF.13.A24,Ensuring Control of Cloud-Based Processes for TBM,,,,,,X,,,,,,,,,,X,,,,,,,,,
INF.13.A25,Establishment of a Test Environment for TBM,CIA,X,X,,,X,,,,,,X,X,X,X,,,,,,,,,,
INF.13.A26,Securing BIM,CIA,,,X,X,,X,X,X,X,,X,X,,,,,X,,,,X,X,,
INF.13.A27,Establishment of a Private Cloud for TBM,CIA,,,,,X,X,,,,,,,,,X,,,,,,,,,
INF.13.A28,Secure Use of Artificial intelligence in TBM,CIA,,,,,X,X,,,,,,,,,X,,,,,,,,,
INF.13.A29,Integration of TBM into SIEM,CIA,,,,,X,,,,,,,,,,,,,,,,,,,
INF.13.A30,Performing Penetration Tests in TBM,CIA,,,,,,,,,,,,,,X,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
