NET.1.1,Name,CIA,G 0.9,G 0.11,G 0.15,G 0.18,G 0.19,G 0.22,G 0.23,G 0.25,G 0.27,G 0.29,G 0.30,G 0.40,G 0.43,G 0.46
NET.1.1.A1,Security Policy for the Network,,,,,,,,,,,X,,,,
NET.1.1.A2,Documentation of the Network,,,,,,,,,,,X,,,,
NET.1.1.A3,Specification of Network Requirements,,,,,X,,,,,,X,,,,
NET.1.1.A4,Network Separation into Zones,,,,,,X,X,,,,,X,,,
NET.1.1.A5,Client-Server Segmentation,,,,,,X,X,,,,,X,,,
NET.1.1.A6,End Device Segmentation in the Internal Network,,,,,,X,X,,,,,X,,,
NET.1.1.A7,Protection of Sensitive Information,,,,X,,,,,,,,,,X,X
NET.1.1.A8,Basic Protection of Internet Access,,,,,,,,X,,,,X,,,
NET.1.1.A9,Basic Protection of Communication with Untrusted Networks,,,,,,,,X,,,,X,,,X
NET.1.1.A10,DMZ Segmentation for Access from the Internet,,,,,,X,X,,,,,X,,,
NET.1.1.A11,Protection of Communications Entering the Internal Network from the Interne,,,,,X,X,X,X,,,X,X,X,X,
NET.1.1.A12,Protection of Outgoing Internal Communication to the Internet,,,,,,X,,X,,,,X,,,
NET.1.1.A13,Network Planning,,,,,X,,,,,,,,,,
NET.1.1.A14,Implementation of Network Planning,,X,X,,X,X,X,X,,X,X,X,X,,
NET.1.1.A15,Regular Gap Analysis,,,,,,,,,,,X,,,,
NET.1.1.A16,Specification of Network Architecture,,,,,X,,,,,,X,,,,
NET.1.1.A17,Specification of Network Design,,,,,,,,,,,X,,,,
NET.1.1.A18,P-A-P Structure for the Internet Connection,,,,,,X,X,,,,,X,,,
NET.1.1.A19,Separation of Infrastructure Services,,,,,,X,X,,,,,X,,,
NET.1.1.A20,Allocation of Dedicated Sub-Networks for IPv4/IPv6 End Device Groups,,,,,X,,,,,X,,,,,
NET.1.1.A21,Separation of the Management Area,,,,,X,,X,X,,,,X,,,
NET.1.1.A22,Specification of the Segmentation Concept,,X,,,,X,X,,,,,X,,,
NET.1.1.A23,Separation of Network Segments,,,,,,X,X,,,,,X,X,,
NET.1.1.A24,Secure Logical Separation using VLAN,,,,,,X,X,,,,,X,,,
NET.1.1.A25,Detailed and Implementation Planning of Network Architecture and Design,,X,X,,X,X,X,X,,X,X,X,X,,
NET.1.1.A26,Specification of Operating Processes for the Network,,,,,X,,,,,,X,,,,
NET.1.1.A27,Integration of Network Architecture into Contingency Planning,,,,,,,,,,,X,,,,
NET.1.1.A28,High-Availability Network and Security Components,A,,,,,,,,X,,,,,,
NET.1.1.A29,Implementing Network Connections for High Availability,A,X,X,,,,,,X,,,,X,,
NET.1.1.A30,Protection Against Distributed Denial of Service,A,X,X,,,,,,,,,,X,,
NET.1.1.A31,Physical Separation of Network Segments,CIA,,,,,X,X,,,,,X,,,
NET.1.1.A32,Physical Separation of Management Network Segments,CIA,,,,,X,X,,,,,X,,,
NET.1.1.A33,Micro-Segmentation of the Network,CIA,,,,,X,X,,,,,X,,,
NET.1.1.A34,Use of Cryptographic Methods at the Network Level,CI,,,X,,,,,,,,,,X,
NET.1.1.A35,Use of Network-Based DLP,CI,,,,,X,,,,,,,,,
NET.1.1.A36,Separation by Means of VLAN for Very High Protection Requirements,CIA,,,,,,,,,,X,,,,
