NET.3.2,Name,CIA,G 0.8,G 0.9,G 0.14,G 0.18,G 0.19,G 0.20,G 0.21,G 0.22,G 0.23,G 0.25,G 0.26,G 0.27,G 0.29,G 0.30,G 0.31,G 0.39,G 0.40,G 0.41,G 0.43,G 0.45,G 0.46,Col_25
NET.3.2.A1,Creating a Security Policy,,,,,X,,,,,,,,X,,,,,,,,,,
NET.3.2.A2,Definition of Firewall Rules,,,,X,,X,,,,X,,,,,,,X,X,X,X,,X,
NET.3.2.A3,Configuring Appropriate Filter Rules on the Packet Filter,,,,X,,X,,,,X,,,,,,,X,X,X,X,,X,
NET.3.2.A4,Secure Firewall Configuration,,,X,X,,X,,X,X,X,X,X,,,X,,,,X,,X,X,
NET.3.2.A5,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
NET.3.2.A6,Protection of Administration Interfaces,,,X,,,X,,X,X,X,X,,,,X,,,,X,,X,X,
NET.3.2.A7,Emergency Access to the Firewall,,,X,,,,,,,,X,,,,,,,,,,,,
NET.3.2.A8,Prevention of Dynamic Routing,,,,,,,,,X,,X,,,,,,,,X,X,,,
NET.3.2.A9,Logging,,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,
NET.3.2.A10,Protection Against Fragmentation Attacks on the Packet Filter,,,,,,X,,,,,,,,,,,,,X,X,,,
NET.3.2.A11,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
NET.3.2.A12,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
NET.3.2.A13,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
NET.3.2.A14,Operational Documentation,,,,,X,,X,,,,,,,,,,,,,,,,
NET.3.2.A15,Procuring a Firewall,,,,,X,,X,,,,,,,,,,,,,,,,
NET.3.2.A16,Creation of a “P-A-P” structure,,,,X,,X,,,X,X,,,,,,,X,X,,,,,
NET.3.2.A17,Disabling IPv4 or IPv6,,,,,,,,,,X,,,,,,,,,,,,,
NET.3.2.A18,Administration Using a Separate Management Network,,,X,,,,,,,X,,,,,X,,,,,,,,
NET.3.2.A19,"Protection Against TCP SYN Flooding, UDP Packet Storms, and Sequence Number Guessing on the Packet Filter",,,,,,,,,,,,,,,,,,X,X,,,,
NET.3.2.A20,Protection of Fundamental Internet Protocols,,,,X,,X,,,,,,,,,,,,,,X,,,
NET.3.2.A21,Temporary Decryption of Data Traffic,,,,,,,,,X,,,,,,,,,,X,X,,,
NET.3.2.A22,Secure Time Synchronisation,,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,
NET.3.2.A23,System Monitoring and Evaluation,,X,X,,,,,,,X,,X,X,,,,,,X,X,,,
NET.3.2.A24,Audits and Penetration Tests,,,,,,,,X,X,X,,,X,,,,,,X,,,,
NET.3.2.A25,Advanced Integrity Protection for Configuration Files,I,,,,,X,,X,X,X,,,X,,,,,,,,X,X,
NET.3.2.A26,Outsourcing of Functional Extensions to Dedicated Hardware,CIA,,,,X,,,,,,X,,X,,,,,,,,,,
NET.3.2.A27,Use of Different Firewall Operating Systems and Products in Multi-Layer Firewall Architecture,CI,,,X,,X,,X,,X,,X,,,,,,,,,,,
NET.3.2.A28,Central Filtering of Active Content,CI,,,,,,,,,,,,,,,,,,X,,,X,
NET.3.2.A29,Use of High-Availability Solutions,A,X,X,,,,,,,,X,,,,,,,,,,,,
NET.3.2.A30,Bandwidth Management for Critical Applications and Services,A,,X,,,,,,,,,,,,,,,X,,,,,
NET.3.2.A31,Use of Certified Products,CI,,,X,,,X,,,,,,,,,,,,,,,,
NET.3.2.A32,Firewall Contingency Planning,,,,X,X,,,,,X,,,X,,,,,,,,,,
