OPS.1.1.7,Name,CIA,G 0.9,G 0.15,G 0.18,G 0.19,G 0.21,G 0.22,G 0.23,G 0.25,G 0.26,G 0.27,G 0.29,G 0.30,G 0.31,G 0.32,G 0.37,G 0.43,G 0.45
OPS.1.1.7.A1,Specification of System Management Requirements,,X,,X,,,,,X,X,X,X,X,,,,,
OPS.1.1.7.A2,System Management Planning,,X,,X,,,,,X,X,X,,,,,,,
OPS.1.1.7.A3,Time Synchronisation for System Management,,,,,,X,X,,X,X,,,,,,,,
OPS.1.1.7.A4,Protection of System Management Communication,,,X,,X,X,X,X,,,,,X,,,,X,
OPS.1.1.7.A5,Mutual Authentication Between the System Management Solution and Systems to be Managed,,,X,,X,X,X,X,,,,,,,,,X,
OPS.1.1.7.A6,Securing Access to the System Management Solution,,,X,,X,X,X,X,,,,,X,X,,,X,
OPS.1.1.7.A7,Definition of a Security Policy for System Management,,,X,,X,X,X,X,,,,,X,X,X,,,
OPS.1.1.7.A8,Drawing Up a System Management Concept,,,,X,,,,,X,X,X,X,X,X,,,,
OPS.1.1.7.A9,Detailed and Implementation Planning for System Management,,,,,,,,,X,X,X,X,X,X,,,,
OPS.1.1.7.A10,Concept for Secure Operation of the System Management Solution,,,X,X,X,X,X,,X,X,X,X,X,X,,,,
OPS.1.1.7.A11,Regular Gap Analysis Within the Framework of System Management,,,X,X,X,X,X,,,X,,,,,,,,
OPS.1.1.7.A12,Triggering Actions by the Central Components of the System Management Solution,,,,,,X,X,,,,,,X,X,,,,
OPS.1.1.7.A13,Commitment to the Use of Designated Interfaces for System Management,,,,,,X,X,X,,,,,X,X,,,X,
OPS.1.1.7.A14,Central Configuration Management for Systems to be Managed,,,,,,,,,,,,,,,,,,X
OPS.1.1.7.A15,"Status Monitoring, Logging, and Alerting of Relevant Events in the System Management Solution and the Systems to be Managed",,,,X,,X,X,X,,X,X,,X,X,X,X,,
OPS.1.1.7.A16,Integration of System Management into Contingency Planning,,,,,,,,,X,X,,,,,,,,
OPS.1.1.7.A17,Control of System Management Communication,,,X,,X,X,X,X,,,,,X,X,,,X,
OPS.1.1.7.A18,System State Verification,,,X,,X,X,X,X,,,,,X,,,,,
OPS.1.1.7.A19,Securing System Management Communications Between the System Management Solution and the Systems Being Managed,,,X,,X,X,X,X,,,,,,,,,X,
OPS.1.1.7.A20,Implementing System Management Solutions for High Availability,A,X,,,,,,,X,X,,,,,,,,
OPS.1.1.7.A21,Physical Separation of the Central System Management Network,CI,,X,,X,X,X,X,X,X,,,X,,,,X,
OPS.1.1.7.A22,Integration of System Management into Automated Detection Systems,CIA,,X,,X,X,X,X,,,,X,X,X,,,,
OPS.1.1.7.A23,Cross-Site Time Synchronisation for System Management,CIA,,,,,X,X,,X,X,,,,,,,,
OPS.1.1.7.A24,Automated Checking of Security-Relevant Configurations by Suitable Detection Systems,CIA,,,X,,X,X,X,,,,,X,X,X,,,X
OPS.1.1.7.A25,Logging and Regulation of System Management Meetings,CI,,,,,X,X,X,,,,X,X,X,X,X,,
OPS.1.1.7.A26,Decoupling of Access to the System Management Solution,CI,,X,,X,X,X,X,,,,,X,,,,X,
