ORP.1,Name,CIA,G 0.14,G 0.16,G 0.18,G 0.19,G 0.22,G 0.25,G 0.26,G 0.27,G 0.29,G 0.38,G 0.45,G 0.46
ORP.1.A1,Specification of Responsibilities and Provisions,,X,,X,X,X,,,,X,X,,X
ORP.1.A2,Assigning Responsibilities,,X,X,X,X,X,X,X,X,X,X,,X
ORP.1.A3,Supervising or Escorting External Individuals,,X,X,,X,X,,,,,,,
ORP.1.A4,Separation of Roles Between Incompatible Tasks,,,,,X,X,,,,X,X,,
ORP.1.A5,ELIMINATED,,,,,,,,,,,,,
ORP.1.A6,ELIMINATED,,,,,,,,,,,,,
ORP.1.A7,ELIMINATED,,,,,,,,,,,,,
ORP.1.A8,Managing Resources and Devices,,X,X,X,X,,,,X,,,,
ORP.1.A9,ELIMINATED,,,,,,,,,,,,,
ORP.1.A10,ELIMINATED,,,,,,,,,,,,,
ORP.1.A11,ELIMINATED,,,,,,,,,,,,,
ORP.1.A12,ELIMINATED,,,,,,,,,,,,,
ORP.1.A13,Security During Relocation,,X,X,X,X,X,X,X,,,X,,X
ORP.1.A14,ELIMINATED,,,,,,,,,,,,,
ORP.1.A15,Contact Persons for Information Security Issues,,X,,,X,,,,,X,X,X,X
ORP.1.A16,Policy for Secure IT Use,,X,,X,X,,,,,X,X,X,X
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
