ORP.2,Name,CIA,G 0.14,G 0.16,G 0.17,G 0.19,G 0.22,G 0.27,G 0.29,G 0.32,G 0.33,G 0.36,G 0.37,G 0.38,G 0.41,G 0.42,G 0.44,G 0.45,G 0.46
ORP.2.A1,Well-Regulated Orientation of New Employees,,X,,,,,,X,,,,,X,,X,,X,X
ORP.2.A2,Regulated Procedure for Employees Leaving the Organisation,,,X,,,,,,,,X,,,,X,X,X,X
ORP.2.A3,Defining Deputising Rules,,,,X,,,,X,,,,,X,,,,,
ORP.2.A4,Defining Procedures for Using Third-Party Personnel,,,,X,,,,,,,,,,,,X,X,X
ORP.2.A5,Confidentiality Agreements for Third-Party Personnel,,X,X,X,X,X,X,X,X,X,,X,X,,,X,X,X
ORP.2.A6,ELIMINATED,,,,,,,,,,,,,,,,,,
ORP.2.A7,Verifying the Trustworthiness of Employees,,,X,,,,,X,,,,,,,X,,X,X
ORP.2.A8,ELIMINATED,,,,,,,,,,,,,,,,,,
ORP.2.A9,ELIMINATED,,,,,,,,,,,,,,,,,,
ORP.2.A10,ELIMINATED,,,,,,,,,,,,,,,,,,
ORP.2.A11,ELIMINATED,,,,,,,,,,,,,,,,,,
ORP.2.A12,ELIMINATED,,,,,,,,,,,,,,,,,,
ORP.2.A13,Security Vetting,C,X,,,,,,X,,,X,,X,,,,,
ORP.2.A14,Tasks and Responsibilities of Employees,,,,,X,X,,X,,,,,,X,,,,X
ORP.2.A15,Qualifications of Personnel,,X,,,X,,,X,X,,,,X,,X,,,X
