SYS.1.2.2,Name,CIA,G 0.14,G 0.15,G 0.18,G 0.19,G 0.20,G 0.21,G 0.22,G 0.23,G 0.25,G 0.26,G 0.27,G 0.28,G 0.29,G 0.30,G 0.31,G 0.32,G 0.33,G 0.36,G 0.37,G 0.38,G 0.39,G 0.40,G 0.41,G 0.42,G 0.43,G 0.45,G 0.46
SYS.1.2.2.A1,Planning of Windows Server 2012,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,,
SYS.1.2.2.A2,Secure Installation of Windows Server 2012,,X,X,,X,X,X,X,X,X,X,,X,,X,X,X,,X,X,X,X,X,,X,X,X,X
SYS.1.2.2.A3,Secure Administration of Windows Server 2012,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SYS.1.2.2.A4,Secure Configuration of Windows Server 2012,,X,X,,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X
SYS.1.2.2.A5,Protection Against Malware on Windows Server 2012,,X,X,,X,,X,X,X,X,X,X,,,X,,X,,X,X,X,X,X,,X,X,X,X
SYS.1.2.2.A6,Secure Authentication and Authorisation in Windows Server 2012,,X,X,,X,,X,X,X,,,X,,,X,X,X,,X,X,X,X,X,X,X,X,,X
SYS.1.2.2.A7,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.2.2.A8,Protection of System Integrity,,,,,,,X,X,X,X,X,,,,,,,,,X,,X,,,,,,X
SYS.1.2.2.A9,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.2.2.A10,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.2.2.A11,Attack Detection in Windows Server 2012,CIA,X,,,X,,X,X,X,,,,X,,X,,X,,,,,X,X,X,X,X,X,X
SYS.1.2.2.A12,Redundancy and High Availability in Windows Server 2012,A,,,,,,,,,,,X,,,,,,,,,,,,,,,X,
SYS.1.2.2.A13,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.2.2.A14,Shutting Down Encrypted Servers and Virtual Machines,CI,X,,,X,,X,X,,,,,,,,,,,X,X,X,,,,,,,X
