SYS.1.5,Name,CIA,G 0.15,G 0.18,G 0.19,G 0.20,G 0.21,G 0.22,G 0.23,G 0.25,G 0.26,G 0.27,G 0.29,G 0.30,G 0.32,G 0.37,G 0.40,G 0.43,G 0.46
SYS.1.5.A1,ELIMINATED,,,,,,,,,,,,,,,,,,
SYS.1.5.A2,Secure Use of Virtual IT Systems,,,,,,,,,,X,X,,X,X,,,,
SYS.1.5.A3,Secure Configuration of Virtual IT Systems,,,,,,,,X,,,,X,X,,,,,
SYS.1.5.A4,Secure Configuration of a Network for Virtual Infrastructures,,,,,,,,X,,,,X,X,,,,,
SYS.1.5.A5,Protection of Administration Interfaces,,X,,,,,X,X,,,,,X,,,,,X
SYS.1.5.A6,Logging in the Virtual Infrastructure,,,,,,,,,X,X,X,X,,,X,,,
SYS.1.5.A7,Time Synchronisation in Virtual IT Systems,,,,,,,,,X,X,X,,,,X,,,
SYS.1.5.A8,Planning a Virtual Infrastructure,,,X ,,,,,,,X,X ,X ,,,,,,
SYS.1.5.A9,Network Planning for Virtual Infrastructure,,,X,,,,,,,X,X,,,,,,,
SYS.1.5.A10,Introduction of Management Processes for Virtual IT Systems,,,X ,X,,,,,,,,X ,,,,,,
SYS.1.5.A11,Administration of the Virtualisation Infrastructure Using a Separate Management Network,,X,,X,,,,X,,,,,X,,,,,X
SYS.1.5.A12,Rights and Role Concept for Virtual Infrastructure Administration,,,X,,,,,,,,,,X,X,,,,
SYS.1.5.A13,Selection of Suitable Hardware for Virtualisation Environments,,,X,,,,,,,X,,,,,,,,
SYS.1.5.A14,Uniform Configuration Standards for Virtual IT Systems,,,,X,,,,X,,,,X,X,,,,,
SYS.1.5.A15,Operation of Guest Operating Systems with Different Protection Needs,,,,X,,,X,X,,X,X,,X,,,,,
SYS.1.5.A16,Encapsulation of Virtual Machines,,X,,X,,,X,X,,,,,,,,,,
SYS.1.5.A17,Monitoring the Operating Condition and Configuration of the Virtual Infrastructure,,,,,,,,,X,X,X,,,,,,,
SYS.1.5.A18,ELIMINATED,,,,,,,,,,,,,,,,,,
SYS.1.5.A19,Regular Audits of Virtualisation Infrastructure,,,,,,,,,,,,X,,,,,,
SYS.1.5.A20,Using Highly Available Architectures,A,,,,,,,,X,,,,,,,,,
SYS.1.5.A21,Secure Configuration of Virtual IT Systems for Increased Protection Needs,IA,,,,,,,,,X,X,,,,,,,
SYS.1.5.A22,Hardening of the Virtualisation Server,CI,,,X,,,X,X,,,,,X,,,,,
SYS.1.5.A23,Restriction of Rights of Virtual Machines,CI,X,,,,,X,,,,,,X,,,,,
SYS.1.5.A24,Disabling Snapshots of Virtual IT Systems,CIA,,,X,,,X,,,X,X,,X,,,,,
SYS.1.5.A25,Minimal Use of Console Access to Virtual IT Systems,A,,,,,,,,,X,X,,,,,X,,
SYS.1.5.A26,Use of a PKI,CIA,X,,,,,X,,,,,,,,,,X,X
SYS.1.5.A27,Use of Certified Virtualisation Software,CIA,X,,,X,X,X,X,,,,,,,,,,
SYS.1.5.A28,Encryption of Virtual IT Systems,C,X,,,,,,,,,,,,,,,,
