SYS.1.8,Name,CIA,G 0.2,G 0.8,G 0.11,G 0.15,G 0.16,G 0.18,G 0.19,G 0.22,G 0.23,G 0.25,G 0.26,G 0.27,G 0.28,G 0.29,G 0.30,G 0.44,G 0.45,G 0.46
SYS.1.8.A1,Appropriate Installation of Storage Systems,,X,X,,,X,,,,,,,,,,,X,,
SYS.1.8.A2,Secure Basic Configuration of Storage Solutions,,,,,X,,,X,,X,,,,X,,X,,,
SYS.1.8.A3,ELIMINATED ,,,,,,,,,,,,,,,,,,,
SYS.1.8.A4,Protection of Administration Interfaces,,,,,,,,,,X,,,,,,X,,,
SYS.1.8.A5,ELIMINATED ,,,,,,,,,,,,,,,,,,,
SYS.1.8.A6,Creation of a Security Policy for Storage Solutions,,,,,,,,,,,,,,,X,,,,
SYS.1.8.A7,Planning of Storage Solutions,,,,,,,X,,,,,,,,,,,,
SYS.1.8.A8,Selecting an Appropriate Storage Solution,,,,,,,X,,,,,,,,,,,,
SYS.1.8.A9,Selection of Suppliers for a Storage Solution,,,,X,,,X,,,,,,,,,,,,
SYS.1.8.A10,Drawing Up and Maintaining an Operating Manual,,,,,,,,,,,,,,,X,,,,
SYS.1.8.A11,Secure Operation of a Storage Solution,,,,,,,,,,,X,X,X,,,,,,
SYS.1.8.A12,ELIMINATED ,,,,,,,,,,,,,,,,,,,
SYS.1.8.A13,Monitoring and Administration of Storage Solutions,,,,,,,,,,,X,X,X,,,,,,
SYS.1.8.A14,Protection of an SAN Through Segmentation,,,,,,,,X,X,,,,X,,,X,,,
SYS.1.8.A15,Secure Separation of Clients in Storage Solutions,,,,,,,,X,X,,,,X,,,X,,,
SYS.1.8.A16,Secure Separation of Clients in Storage Solutions,,,,,,,,X,,,,,,,,,,,
SYS.1.8.A17,Documenting Storage System Settings,,,,,,,,,,,,,,,X,,,,
SYS.1.8.A18,Security Audits and Reporting Storage Systems,,,,,,,,,,,,,,,X,,,,
SYS.1.8.A19,Decommissioning Storage Solutions,,,,,,,,X,,,,X,,,,,,,
SYS.1.8.A20,Contingency Planning and Emergency Response for Storage Solutions,,,,,,,,X,,,X,,,,,,,X,
SYS.1.8.A21,Use of Storage Pools in Client Separation,CIA,,,,,,,X,X,,,,,,,X,,,
SYS.1.8.A22,Use of a High Availability SAN Solution,A,,,,,,,,,,X,,,,,,,,
SYS.1.8.A23,Use of Encryption for Storage Solutions,CI,,,,X,,,,,,,,,,,,,,X
SYS.1.8.A24,Ensuring the Integrity of the SAN Fabric,I,,,,,,,,,X,,,,,,,,,X
SYS.1.8.A25,Multiple Overwrites of LUN Data,C,,,,,,,X,,,,,,,,,,,
SYS.1.8.A26,Securing a SAN with Hard Zoning,CIA,,,,,,,X,X,,,,,,,X,,,
