"requirement_id","module","name","cia","applicable_threats"
"APP.1.1.A2","APP.1.1","Limiting Active Content","","G 0.19|G 0.22|G 0.39"
"APP.1.1.A3","APP.1.1","Secure Opening of Documents from External Sources","","G 0.29|G 0.39"
"APP.1.1.A6","APP.1.1","Testing New Versions of Office Products","","G 0.18|G 0.20|G 0.21|G 0.28|G 0.45|G 0.46"
"APP.1.1.A10","APP.1.1","Regulations for Software Development by End Users","","G 0.18|G 0.28"
"APP.1.1.A11","APP.1.1","Controlled Use of Extensions for Office Products","","G 0.20|G 0.21|G 0.28|G 0.29|G 0.39|G 0.45"
"APP.1.1.A12","APP.1.1","No Cloud Storage","","G 0.18|G 0.19|G 0.29|G 0.46"
"APP.1.1.A13","APP.1.1","Use of Viewer Features","","G 0.20|G 0.28|G 0.39"
"APP.1.1.A14","APP.1.1","Protection Against Subsequent Changes to Documents","","G 0.19|G 0.22|G 0.37|G 0.46"
"APP.1.1.A15","APP.1.1","Use of Encryption and Digital Signatures","CI","G 0.19|G 0.20|G 0.22|G 0.37|G 0.46"
"APP.1.1.A16","APP.1.1","Checking Document Integrity","I","G 0.20|G 0.22|G 0.39|G 0.46"
"APP.1.1.A17","APP.1.1","Awareness of Specific Office Properties","","G 0.19|G 0.20|G 0.46"
"APP.1.2.A1","APP.1.2","Use of Basic Security Mechanisms","","G 0.23|G 0.28|G 0.39"
"APP.1.2.A2","APP.1.2","Support for Secure Communication Encryption","","G 0.14|G 0.19|G 0.22"
"APP.1.2.A3","APP.1.2","Use of Trusted Certificates","","G 0.14|G 0.19|G 0.22|G 0.30"
"APP.1.2.A6","APP.1.2","Password Management in Web Browsers","","G 0.18|G 0.19"
"APP.1.2.A7","APP.1.2","Data Economy in Web Browsers","","G 0.14|G 0.19"
"APP.1.2.A9","APP.1.2","Using an Isolated Web Browser Environment","CI","G 0.23|G 0.26|G 0.28|G 0.39"
"APP.1.2.A10","APP.1.2","Using the Private Mode","CI","G 0.14|G 0.19"
"APP.1.2.A11","APP.1.2","Checking for Malicious Content","C","G 0.28|G 0.39"
"APP.1.2.A12","APP.1.2","Two-Browser Strategy","A","G 0.28"
"APP.1.2.A13","APP.1.2","Use of DNS over HTTPS","","G 0.15|G 0.18|G 0.19|G 0.22"
"APP.1.4.A1","APP.1.4","Requirements Analysis for the Use of Apps","","G 0.9|G 0.14|G 0.15|G 0.16|G 0.17|G 0.18|G 0.19|G 0.25|G 0.26|G 0.38"
"APP.1.4.A3","APP.1.4","Distributing Sensitive Apps","","G 0.14|G 0.18|G 0.19|G 0.20|G 0.21|G 0.23|G 0.32|G 0.39"
"APP.1.4.A5","APP.1.4","Minimising and Checking App Authorisations","","G 0.14|G 0.15|G 0.19|G 0.21|G 0.32|G 0.38|G 0.39|G 0.42"
"APP.1.4.A7","APP.1.4","Secure Storage of Local App Data","","G 0.14|G 0.16|G 0.17|G 0.19"
"APP.1.4.A8","APP.1.4","Preventing Data Leaks","","G 0.14|G 0.15|G 0.19|G 0.38"
"APP.1.4.A12","APP.1.4","Secure App Removal","","G 0.14|G 0.18|G 0.19|G 0.38"
"APP.1.4.A14","APP.1.4","Support for Additional Authentication Features for Apps","CI","G 0.14|G 0.16|G 0.17|G 0.18|G 0.19|G 0.23|G 0.32|G 0.36"
"APP.1.4.A15","APP.1.4","Performing Penetration Tests for Apps","CIA","G 0.21|G 0.23|G 0.25|G 0.26|G 0.28"
"APP.1.4.A16","APP.1.4","Mobile Application Management","CIA","G 0.18|G 0.31"
"APP.2.1.A1","APP.2.1","Creation of a Security Policy for Directory Services","","G 0.18|G 0.23|G 0.30|G 0.31"
"APP.2.1.A2","APP.2.1","Planning the Use of Directory Services","","G 0.11|G 0.14|G 0.15|G 0.18|G 0.19|G 0.21|G 0.23|G 0.26|G 0.27|G 0.32|G 0.36|G 0.40|G 0.45|G 0.46"
"APP.2.1.A3","APP.2.1","Setting Up Access Authorisations for Directory Services","","G 0.11|G 0.14|G 0.15|G 0.18|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.31|G 0.32|G 0.36|G 0.38|G 0.43|G 0.45|G 0.46"
"APP.2.1.A4","APP.2.1","Secure Installation of Directory Services","","G 0.23|G 0.28"
"APP.2.1.A5","APP.2.1","Secure Configuration and Configuration Changes in Directory Services","","G 0.11|G 0.18|G 0.25|G 0.26|G 0.30|G 0.31|G 0.38"
"APP.2.1.A6","APP.2.1","Secure Operation of Directory Services","","G 0.11|G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.25|G 0.26|G 0.30|G 0.31|G 0.32|G 0.36|G 0.45|G 0.46"
"APP.2.1.A7","APP.2.1","Drawing Up a Security Concept for the Use of Directory Services","","G 0.18|G 0.27"
"APP.2.1.A8","APP.2.1","Planning of Partitioning and Replication in the Directory Service","","G 0.11|G 0.18|G 0.25|G 0.27|G 0.46"
"APP.2.1.A9","APP.2.1","Selection of Suitable Components for Directory Services","","G 0.18|G 0.27"
"APP.2.1.A11","APP.2.1","Setting Up Access to Directory Services","","G 0.18|G 0.25|G 0.29|G 0.30|G 0.38|G 0.45|G 0.46"
"APP.2.1.A12","APP.2.1","Monitoring Directory Services","","G 0.18|G 0.23|G 0.25|G 0.26|G 0.27|G 0.30|G 0.31|G 0.32|G 0.37|G 0.39|G 0.40|G 0.42"
"APP.2.1.A13","APP.2.1","Protection of Communications with Directory Services","","G 0.14|G 0.15|G 0.23|G 0.30|G 0.31|G 0.36|G 0.38|G 0.45|G 0.46"
"APP.2.1.A14","APP.2.1","Orderly Decommissioning of a Directory Service","","G 0.18|G 0.25|G 0.31|G 0.40|G 0.45"
"APP.2.1.A15","APP.2.1","Migration of Directory Services","","G 0.18|G 0.25|G 0.30|G 0.31|G 0.40|G 0.45"
"APP.2.1.A16","APP.2.1","Creation of a Business Continuity Plan for Directory Service Failure","CIA","G 0.11|G 0.18|G 0.26"
