question_id,question,aicm_control_id,aicm_control_title,aicm_domain_title,aicm_control_type,aicm_control_specification
A&A-01.1,"Are audit and assurance policies, procedures, and standards 
established, documented, approved, communicated, applied, 
evaluated, and maintained?",A&A-01,Audit and Assurance Policy and Procedures,Audit & Assurance,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually, or upon significant changes."
A&A-01.2,"Are audit and assurance policies, procedures, and standards 
reviewed and updated at least annually or upon significant changes?",A&A-01,Audit and Assurance Policy and Procedures,Audit & Assurance,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually, or upon significant changes."
A&A-02.1,Are independent audit and assurance assessments conducted according to relevant standards at least annually?,A&A-02,Independent Assessments,Audit & Assurance,Cloud & AI Related,Conduct independent audit and assurance assessments according to relevant standards at least annually.
A&A-03.1,"Are independent audit and assurance assessments performed according to risk-based plans and policies, and in response to significant changes or emerging risks?",A&A-03,Risk Based Planning Assessment,Audit & Assurance,Cloud & AI Related,"Perform independent audit and assurance assessments according to risk-based plans and policies, and in response to significant changes or emerging risks."
A&A-04.1,"Is compliance verified with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?",A&A-04,Requirements Compliance,Audit & Assurance,Cloud & AI Related,"Verify compliance with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit."
A&A-05.1,"Are Audit Management processes aligned with relevant auditing standards, defined and implemented to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, review of past reports and supporting evidence?",A&A-05,Audit Management Process,Audit & Assurance,Cloud & AI Related,"Define and implement an Audit Management process aligned with relevant auditing standards, to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, and review of past reports and supporting evidence."
A&A-06.1,"Is a risk-based corrective action plan established, documented, approved, communicated, applied, evaluated, and maintained to remediate audit findings, regularly review, and report remediation status to relevant stakeholders?",A&A-06,Remediation,Audit & Assurance,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan to remediate audit findings, regularly review and report remediation status to relevant stakeholders."
AIS-01.1,"Are policies and procedures for application security established, documented, approved, communicated, applied, evaluated, and maintained?",AIS-01,Application and Interface Security Policy and Procedures,Application & Interface Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for application security. Review and update the policies and procedures at least annually, or upon significant changes."
AIS-01.2,"Are the policies and procedures for application security reviewed and updated at least annually, or upon significant system changes?",AIS-01,Application and Interface Security Policy and Procedures,Application & Interface Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for application security. Review and update the policies and procedures at least annually, or upon significant changes."
AIS-02.1,"Are baseline requirements for securing applications established, documented, and maintained?",AIS-02,Application Security Baseline Requirements,Application & Interface Security,Cloud & AI Related,"Establish, document and maintain baseline requirements for securing applications."
AIS-03.1,"Are technical and operational metrics defined and implemented in alignment with business objectives, security requirements, and compliance obligations?",AIS-03,Application Security Metrics,Application & Interface Security,Cloud & AI Related,"Define and implement technical and operational metrics in alignment with business objectives, security requirements, and compliance obligations."
AIS-04.1,"Is a secure SDLC process for application requirements analysis, planning, design, development, testing, deployment, and operation, defined and implemented in accordance with security requirements?",AIS-04,Secure Application Development Lifecycle,Application & Interface Security,Cloud & AI Related,"Define and implement a secure SDLC process for application requirements analysis, planning, design, development, testing, deployment, and operation in accordance with security requirements."
AIS-05.1,"Is a testing strategy implemented, including criteria for acceptance of new information systems, upgrades, and new versions, to provide application security assurance, maintain compliance, and meet organizational delivery goals?",AIS-05,Application Security Testing,Application & Interface Security,Cloud & AI Related,"Implement a testing strategy, including criteria for acceptance of new  information systems, upgrades and new versions, which provides  application security assurance and maintains compliance while meeting  organizational delivery goals.  Automate when applicable and possible."
AIS-05.2,Is automation applied where applicable and possible?,AIS-05,Application Security Testing,Application & Interface Security,Cloud & AI Related,"Implement a testing strategy, including criteria for acceptance of new  information systems, upgrades and new versions, which provides  application security assurance and maintains compliance while meeting  organizational delivery goals.  Automate when applicable and possible."
AIS-06.1,"Are strategies and capabilities established and implemented for secure, standardized, and compliant application deployment?",AIS-06,Secure Application Deployment,Application & Interface Security,Cloud & AI Related,"Establish and implement strategies and capabilities for secure, standardized, and compliant application deployment. Automate where possible."
AIS-07.1,"Are processes defined and implemented to remediate application security vulnerabilities, automating remediation when possible?",AIS-07,Application Vulnerability Remediation,Application & Interface Security,Cloud & AI Related,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible."
AIS-08.1,"Are processes, procedures and technical measures to secure APIs, including authorization flaws, API key management, regular security testing, defined, implemented and evaluated?",AIS-08,API Security,Application & Interface Security,Cloud & AI Related,"Define and implement processes, procedures, and technical measures to secure APIs. Review and update for any improvements at least annually, or upon significant changes."
AIS-08.2,Are technical measures for any improvements reviewed and updated at least annually or after significant system changes?,AIS-08,API Security,Application & Interface Security,Cloud & AI Related,"Define and implement processes, procedures, and technical measures to secure APIs. Review and update for any improvements at least annually, or upon significant changes."
AIS-09.1,"Is the input against adversarial patterns, failure patterns and unwanted behaviour, validated, filtered, modified, or blocked as necessary, according to organizational policies, applicable laws and regulations?",AIS-09,Input Validation,Application & Interface Security,Cloud & AI Related,"Validate, filter, modify or block, as necessary, input against adversarial patterns, failure patterns and unwanted behaviour according to organizational policies and applicable laws and regulations."
AIS-10.1,"Is the output against adversarial patterns, failure patterns and unwanted behaviour, validated, filtered, modified, or blocked as necessary, according to organizational policies, applicable laws and regulations?",AIS-10,Output Validation,Application & Interface Security,Cloud & AI Related,"Validate, filter, modify or block, as necessary, output against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations."
AIS-11.1,Are the security boundaries for agents established?,AIS-11,Agents Security Boundaries,Application & Interface Security,AI-Specific,Establish security boundaries for agents.
AIS-12.1,"Are source code management practices, such as version control, code review and static code analysis, implemented and aligning with the SDLC process?",AIS-12,Source Code Management,Application & Interface Security,Cloud & AI Related,"Implement source code management practices, such as version control, code review & static code analysis, aligning with the SDLC process."
AIS-13.1,Are sandboxing techniques implemented to execute AI tools and plugins in isolated environments to prevent unintended interactions with critical systems or data and to limit the possibility of lateral movement?,AIS-13,AI Sandboxing,Application & Interface Security,AI-Specific,"Implement sandboxing techniques to execute AI tools and 
plugins in isolated environments to prevent unintended 
interactions with critical systems or data and limit the 
possibility of lateral movement."
AIS-14.1,Are security measures implemented to protect cache systems in GenAI systems and services?,AIS-14,AI Cache Protection,Application & Interface Security,AI-Specific,"Implement security measures to protect caches in GenAI systems and 
services."
AIS-15.1,"Are mechanisms implemented to enable the model to clearly distinguish user-provided input instructions from data and system instructions (e.g., system prompts)?",AIS-15,Prompt Differentiation,Application & Interface Security,AI-Specific,"Implement mechanisms enabling the model to clearly distinguish user-provided input instructions from data and system instructions (e.g., system prompts)."
BCR-01.1,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",BCR-01,Business Continuity Management Policy and Procedures,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain business continuity management and operational 
resilience policies and procedures.
Review and update the policies and procedures at least 
annually, or upon significant changes."
BCR-01.2,"Are policies and procedures reviewed and updated at least annually, or upon significant changes?",BCR-01,Business Continuity Management Policy and Procedures,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate 
and maintain business continuity management and operational 
resilience policies and procedures.
Review and update the policies and procedures at least 
annually, or upon significant changes."
BCR-02.1,Is the impact of business disruptions and risks determined to establish criteria for developing business continuity and operational resilience strategies and capabilities?,BCR-02,Risk Assessment and Impact Analysis,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Determine the impact of business disruptions and risks to establish criteria for developing business continuity and operational resilience  strategies and capabilities. Review and update the risk assessment and impact analysis at least annually, or upon significant changes."
BCR-02.2,"Is the risk assessment and impact analysis, reviewed and updated at least annually or upon significant changes?",BCR-02,Risk Assessment and Impact Analysis,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Determine the impact of business disruptions and risks to establish criteria for developing business continuity and operational resilience  strategies and capabilities. Review and update the risk assessment and impact analysis at least annually, or upon significant changes."
BCR-03.1,"Are strategies established to reduce the impact of business disruptions, and improve resiliency and recovery from business disruptions?",BCR-03,Business Continuity Strategy,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Establish strategies to reduce the impact of business disruptions, and improve resiliency and recovery from business disruptions."
BCR-04.1,"Is a business continuity plan - based on the results of operational resilience strategies and capabilities - established, documented, approved, communicated, applied, evaluated and maintained?",BCR-04,Business Continuity Planning,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and  maintain a business continuity plan based on the results of the operational resilience strategies and capabilities."
BCR-05.1,"Is relevant documentation, both internal and from external parties, for supporting the business continuity and operational resilience plans, developed, identified, and acquired?",BCR-05,Documentation,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Develop, identify, and acquire documentation,  both internally and from external parties, that is relevant to support the business continuity and operational resilience plans. Make the documentation available to authorized stakeholders and review at least annually, or upon significant changes."
BCR-05.2,"Is the documentation available to authorized stakeholders and reviewed at least annually, or upon significant changes?",BCR-05,Documentation,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Develop, identify, and acquire documentation,  both internally and from external parties, that is relevant to support the business continuity and operational resilience plans. Make the documentation available to authorized stakeholders and review at least annually, or upon significant changes."
BCR-06.1,"Are the business continuity and operational resilience plans exercised and tested at least annually, or upon significant changes?",BCR-06,Business Continuity Exercises,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Exercise and test business continuity and operational resilience plans at least annually, or upon significant changes."
BCR-07.1,Are communication channels with all relevant stakeholders established and maintained in the course of business continuity and resilience procedures?,BCR-07,Communication,Business Continuity Management and Operational Resilience,Cloud & AI Related,Establish and maintain communication channels with all relevant  stakeholders in the course of business continuity and resilience  procedures.
BCR-08.1,Are backups periodically performed?,BCR-08,Backup,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Periodically perform backups. Ensure the confidentiality, integrity  and availability of the backup, and verify restoration from backup for resiliency."
BCR-08.2,"Is the confidentiality, integrity and availability of the backup, ensured and data restoration from backup verified for resiliency?",BCR-08,Backup,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Periodically perform backups. Ensure the confidentiality, integrity  and availability of the backup, and verify restoration from backup for resiliency."
BCR-09.1,"Is a disaster response plan to recover from natural and man-made disasters established, documented, approved, communicated, applied, evaluated, and maintained?",BCR-09,Disaster Response Plan,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain a disaster response plan to recover from natural and man-made disasters. Update the plan at least annually, or upon significant changes."
BCR-09.2,Is the Disaster Response Plan updated at least annually or upon significant changes?,BCR-09,Disaster Response Plan,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain a disaster response plan to recover from natural and man-made disasters. Update the plan at least annually, or upon significant changes."
BCR-10.1,"Is the disaster response plan exercised annually or upon 
significant changes, including, if possible, the participation 
of local emergency authorities?",BCR-10,Response Plan Exercise,Business Continuity Management and Operational Resilience,Cloud & AI Related,"Exercise the disaster response plan annually or upon 
significant changes, including, if possible, the participation 
of local emergency authorities."
