status,old_id,new_id,old_title,new_title,change,spec_similarity,match_pass,review_needed
carried,A&A-01,A&A-01,Audit and Assurance Policy and Procedures,Audit and Assurance Policy and Procedures,spec-cosmetic,0.998,same-id+title,no
carried,A&A-02,A&A-02,Independent Assessments,Independent Assessments,unchanged,1.000,exact-spec,no
carried,A&A-03,A&A-03,Risk Based Planning Assessment,Risk Based Planning Assessment,spec-substantive,0.689,same-id+title,no
carried,A&A-04,A&A-04,Requirements Compliance,Requirements Compliance,unchanged,1.000,exact-spec,no
carried,A&A-05,A&A-05,Audit Management Process,Audit Management Process,spec-cosmetic,0.974,same-id+title,no
carried,A&A-06,A&A-06,Remediation,Remediation,unchanged,1.000,exact-spec,no
carried,AIS-01,AIS-01,Application and Interface Security Policy and Procedures,Application and Interface Security Policy and Procedures,spec-substantive,0.870,same-id+title,no
carried,AIS-02,AIS-02,Application Security Baseline Requirements,Application Security Baseline Requirements,spec-cosmetic,0.994,same-id+title,no
carried,AIS-03,AIS-03,Application Security Metrics,Application Security Metrics,unchanged,1.000,exact-spec,no
carried,AIS-04,AIS-04,Secure Application Development Lifecycle,Secure Application Development Lifecycle,spec-substantive,0.861,same-id+title,no
carried,AIS-05,AIS-05,Application Security Testing,Application Security Testing,unchanged,1.000,exact-spec,no
carried,AIS-06,AIS-06,Secure Application Deployment,Secure Application Deployment,unchanged,1.000,exact-spec,no
carried,AIS-07,AIS-07,Application Vulnerability Remediation,Application Vulnerability Remediation,unchanged,1.000,exact-spec,no
carried,AIS-10,AIS-08,API Security,API Security,id+spec-cosmetic,0.951,domain+title,no
carried,AIS-08,AIS-09,Input Validation,Input Validation,id+spec-cosmetic,0.995,domain+title,no
carried,AIS-09,AIS-10,Output Validation,Output Validation,id,1.000,exact-spec,no
carried,AIS-11,AIS-11,Agents Security Boundaries,Agents Security Boundaries,unchanged,1.000,exact-spec,no
carried,AIS-12,AIS-12,Source Code Managemement,Source Code Management,title,1.000,exact-spec,no
carried,AIS-13,AIS-13,AI Sandboxing,AI Sandboxing,unchanged,1.000,exact-spec,no
carried,AIS-14,AIS-14,AI Cache Protection,AI Cache Protection,unchanged,1.000,exact-spec,no
carried,AIS-15,AIS-15,Prompt Differentation,Prompt Differentiation,title,1.000,exact-spec,no
carried,BCR-01,BCR-01,Business Continuity Management Policy and Procedures,Business Continuity Management Policy and Procedures,spec-substantive,0.846,same-id+title,no
carried,BCR-02,BCR-02,Risk Assessment and Impact Analysis,Risk Assessment and Impact Analysis,spec-cosmetic,0.998,same-id+title,no
carried,BCR-03,BCR-03,Business Continuity Strategy,Business Continuity Strategy,unchanged,1.000,exact-spec,no
carried,BCR-04,BCR-04,Business Continuity Planning,Business Continuity Planning,unchanged,1.000,exact-spec,no
carried,BCR-05,BCR-05,Documentation,Documentation,spec-substantive,0.585,same-id+title,no
carried,BCR-06,BCR-06,Business Continuity Exercises,Business Continuity Exercises,spec-substantive,0.678,same-id+title,no
carried,BCR-07,BCR-07,Communication,Communication,unchanged,1.000,exact-spec,no
carried,BCR-08,BCR-08,Backup,Backup,unchanged,1.000,exact-spec,no
carried,BCR-09,BCR-09,Disaster Response Plan,Disaster Response Plan,spec-cosmetic,0.998,same-id+title,no
carried,BCR-10,BCR-10,Response Plan Exercise,Response Plan Exercise,spec-cosmetic,0.986,same-id+title,no
carried,BCR-11,BCR-11,Equipment Redundancy,Equipment Redundancy,unchanged,1.000,exact-spec,no
carried,CCC-01,CCC-01,Change Management Policy and Procedures,Change Management Policy and Procedures,unchanged,1.000,exact-spec,no
carried,CCC-02,CCC-02,Quality Testing,Quality Testing,unchanged,1.000,exact-spec,no
carried,CCC-03,CCC-03,Change Management Technology,Change Management Technology,unchanged,1.000,exact-spec,no
carried,CCC-04,CCC-04,Change Authorization,Unauthorized Change Protection,title+spec-cosmetic,0.954,same-id,no
carried,CCC-05,CCC-05,Change Agreements,Change Agreements,spec-cosmetic,0.960,same-id+title,no
carried,CCC-06,CCC-06,Change Management Baseline,Change Management Baseline,spec-substantive,0.762,same-id+title,no
carried,CCC-07,CCC-07,Detection of Baseline Deviation,Detection of Baseline Deviation,unchanged,1.000,exact-spec,no
carried,CCC-08,CCC-08,Exception Management,Exception Management,unchanged,1.000,exact-spec,no
