status,old_question_id,new_question_id,old_control_id,new_control_id,change,text_similarity,match_how,id_reuse
unchanged,A&A-01.1,A&A-01.1,A&A-01,A&A-01,unchanged,1.0,exact-text,no
unchanged,A&A-01.2,A&A-01.2,A&A-01,A&A-01,unchanged,1.0,exact-text,no
unchanged,A&A-02.1,A&A-02.1,A&A-02,A&A-02,unchanged,1.0,exact-text,no
changed,A&A-03.1,A&A-03.1,A&A-03,A&A-03,reworded,0.7,text(0.70),no
unchanged,A&A-04.1,A&A-04.1,A&A-04,A&A-04,unchanged,1.0,exact-text,no
changed,A&A-05.1,A&A-05.1,A&A-05,A&A-05,edited,0.974,text(0.97),no
unchanged,A&A-06.1,A&A-06.1,A&A-06,A&A-06,unchanged,1.0,exact-text,no
unchanged,AIS-01.1,AIS-01.1,AIS-01,AIS-01,unchanged,1.0,exact-text,no
changed,AIS-01.2,AIS-01.2,AIS-01,AIS-01,edited,0.996,text(1.00),no
unchanged,AIS-02.1,AIS-02.1,AIS-02,AIS-02,unchanged,1.0,exact-text,no
unchanged,AIS-03.1,AIS-03.1,AIS-03,AIS-03,unchanged,1.0,exact-text,no
changed,AIS-04.1,AIS-04.1,AIS-04,AIS-04,reworded,0.757,text(0.76),no
unchanged,AIS-05.1,AIS-05.1,AIS-05,AIS-05,unchanged,1.0,exact-text,no
unchanged,AIS-05.2,AIS-05.2,AIS-05,AIS-05,unchanged,1.0,exact-text,no
unchanged,AIS-06.1,AIS-06.1,AIS-06,AIS-06,unchanged,1.0,exact-text,no
unchanged,AIS-07.1,AIS-07.1,AIS-07,AIS-07,unchanged,1.0,exact-text,no
changed,AIS-10.1,AIS-08.1,AIS-10,AIS-08,renumbered,1.0,exact-text,yes
changed,AIS-10.2,AIS-08.2,AIS-10,AIS-08,renumbered,1.0,exact-text,no
changed,AIS-08.1,AIS-09.1,AIS-08,AIS-09,renumbered+edited,0.995,text(1.00),yes
changed,AIS-09.1,AIS-10.1,AIS-09,AIS-10,renumbered+edited,0.995,text(1.00),yes
