"control_id","control_domain","control_specification","architectural_relevance.phys","architectural_relevance.network","architectural_relevance.compute","architectural_relevance.storage","architectural_relevance.app","architectural_relevance.data","corp_gov_relevance","service_delivery_model.saas","service_delivery_model.paas","service_delivery_model.iaas","supplier_relationship.service_provider","supplier_relationship.tenant_consumer","framework_mappings.aicpa_2009_tsc_map","framework_mappings.aicpa_trust_service_criteria_soc_2sm_report","framework_mappings.aicpa_2014_tsc","framework_mappings.bits_shared_assessments_aup_v5_0","framework_mappings.bits_shared_assessments_sig_v6_0","framework_mappings.canada_pipeda","framework_mappings.ccm_v1_x","framework_mappings.cobit_4_1","framework_mappings.cobit_5_0","framework_mappings.coppa","framework_mappings.csa_enterprise_architecture_formerly_trusted_cloud_initiative","framework_mappings.csa_enterprise_architecture_formerly_trusted_cloud_initiative_2","framework_mappings.csa_enterprise_architecture_formerly_trusted_cloud_initiative_3","framework_mappings.csa_guidance_v3_0","framework_mappings.enisa_iaf","framework_mappings.95_46_ec_european_union_data_protection_directive","framework_mappings.fedramp_security_controls_final_release_jan_2012_low_impact_level","framework_mappings.fedramp_security_controls_final_release_jan_2012_moderate_impact_level","framework_mappings.gapp_aug_2009","framework_mappings.hipaa_hitech_act","framework_mappings.iso_iec_27001_2005","framework_mappings.iso_iec_27001_2013","framework_mappings.jericho_forum","framework_mappings.nerc_cip","framework_mappings.nist_sp800_53_r3","framework_mappings.nist_sp800_53_r4_app_j","framework_mappings.nzism","framework_mappings.odca_um_pa_r2_0","framework_mappings.odca_um_pa_r2_0_2","framework_mappings.pci_dss_v2_0","framework_mappings.pci_dss_v3_0","framework_mappings.tenant_consumer","framework_mappings.bsi_germany","framework_mappings.mexico_federal_law_on_protection_of_personal_data_held_by_private_parties","framework_mappings.itar","framework_mappings.ferpa"
"AAC-01","Audit Assurance & Compliance
Audit Planning","Audit plans shall be developed and maintained to address business process disruptions. Auditing plans shall focus on reviewing the effectiveness of the implementation of security operations. All audit activities must be agreed upon prior to executing any audits.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","S4.1.0


S4.2.0","(S4.1.0) The entity’s system security is periodically reviewed and compared with the defined system security policies.

(S4.2.0) There is a process to identify and address potential impairments to the entity’s ongoing ability to achieve its objectives in accordance with its defined system security policies.","CC4.1","","L.1, L.2, L.7, L.9, L.11","","CO-01","ME 2.1
ME 2.2
PO 9.5
PO 9.6","APO12.04
APO12.05
APO12.06
MEA02.01
MEA02.02","Title 16 Part 312","BOSS > Compliance > Audit Planning","shared","x","Domain 2, 4","6.01. (d)","","NIST SP 800-53 R3 CA-2
NIST SP 800-53 R3 CA-2 (1)
NIST SP 800-53 R3 CA-7","NIST SP 800-53 R3 CA-2
NIST SP 800-53 R3 CA-2 (1)
NIST SP 800-53 R3 CA-7
NIST SP 800-53 R3 CA-7 (2)
NIST SP 800-53 R3 PL-6","10.2.5","45 CFR 164.312(b)","Clause 4.2.3 e)
Clause 4.2.3b
Clause 5.1 g
Clause 6
A.15.3.1","Clauses
4.3(a),
4.3(b),
5.1(e),
5.1(f),
6.2(e),
9.1,
9.1(e),
9.2,
9.3(f),
A12.7.1","Commandment #1
Commandment #2
Commandment #3","","CA-2 
CA-7
PL-6","AR-4 Privacy Auditing and Monitoring.  To promote accountability, organizations identify and address gaps in privacy compliance, management, operational, and technical controls by conducting regular assessments (e.g., internal risk assessments).  Audit for effective implementation of all privacy controls identified in this appendix, organizations assess whether they: (i) implement a process to embed privacy considerations into the life cycle of personally identifiable information (PII), programs, information systems, mission/business processes, and technology; (ii) monitor for changes to applicable privacy laws, regulations, and policies; (iii) track programs, information systems, and applications that collect and maintain PII to ensure compliance; (iv) ensure that access to PII is only on a need-to-know basis; and (v) ensure that PII is being maintained and used only for the legally authorized purposes identified in the public notice(s).","5.1, 5.3, 5.4","PA15","SGP","2.1.2.b","","","58 (B)","","",""
"AAC-02","Audit Assurance & Compliance
Independent Audits","Independent reviews and assessments shall be performed at least annually to ensure that the organization addresses nonconformities of established policies, standards, procedures, and compliance obligations.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S4.1.0


S4.2.0","(S4.1.0) The entity’s system security is periodically reviewed and compared with the defined system security policies.

(S4.2.0) There is a process to identify and address potential impairments to the entity’s ongoing ability to achieve its objectives in accordance with its defined system security policies.","CC4.1","","L.2, L.4, L.7, L.9, L.11","","CO-02","DS5.5
ME2.5
ME 3.1
PO 9.6","APO12.04
APO12.05
DSS05.07
MEA02.06
MEA02.07
MEA02.08
MEA03.01","Title 16 Part 312","BOSS > Compliance > Independent Audits","shared","x","Domian 2, 4","6.03. (e)
6.07.01. (m)
6.07.01. (n)","","NIST SP 800-53 R3 CA-1
NIST SP 800-53 R3 CA-2
NIST SP 800-53 R3 CA-2 (1)
NIST SP 800-53 R3 CA-6
NIST SP 800-53 R3 RA-5","NIST SP 800-53 R3 CA-1
NIST SP 800-53 R3 CA-2
NIST SP 800-53 R3 CA-2 (1)
NIST SP 800-53 R3 CA-6
NIST SP 800-53 R3 RA-5
NIST SP 800-53 R3 RA-5 (1)
NIST SP 800-53 R3 RA-5 (2)
NIST SP 800-53 R3 RA-5 (3)
NIST SP 800-53 R3 RA-5 (6)
NIST SP 800-53 R3 RA-5 (9)","1.2.5
1.2.7
4.2.1
8.2.7
10.2.3
10.2.5","45 CFR 164.308 (a)(8)
45 CFR 164.308(a)(1)(ii)(D)","Clause 4.2.3e
Clause 5.1 g
Clause 5.2.1 d)
Clause 6
A.6.1.8","Clauses
4.3(a),
4.3(b),
5.1(e),
5.1(f),
9.1,
9.2,
9.3(f),
A18.2.1","Commandment #1
Commandment #2
Commandment #3","CIP-003-3 - R1.3 - R4.3
CIP-004-3 R4 - R4.2
CIP-005-3a - R1 - R1.1 - R1.2","CA-1
CA-2
CA-6 
RA-5","AR-4. Privacy Auditing and Monitoring.  These assessments can be self-assessments or thirdparty audits that result in reports on compliance gaps identified in programs, projects, and information systems.","6.1","PA18","GP","11.2
11.3
6.6
12.1.2.b","11.2
11.3
6.3.2, 6.6
11.2.1, 11.2.2, 11.2.3, 11.3.1, 11.3.2, 12.1.2.b, 12.8.4","X","58 (B)
59 (B)
61 (C+, A+)
76 (B)
77 (B)","Chapter VI, Section 1 
Article 39,  I. and VIII.

Chapter 8
Article 59","",""
"AAC-03","Audit Assurance & Compliance
Information System Regulatory Mapping","Organizations shall create and maintain a control framework which captures standards, regulatory, legal, and statutory requirements relevant for their business needs. The control framework shall be reviewed at least annually to ensure changes that could affect the business processes are reflected.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S3.1.0




x3.1.0","(S3.1.0) Procedures exist to (1) identify potential threats of disruption to systems operation that would impair system security commitments and (2) assess the risks associated with the identified threats.

(x3.1.0) Procedures exist to (1) identify potential threats of disruptions to systems operations that would impair system [availability, processing integrity, confidentiality] commitments and (2) assess the risks associated with the identified threats.","CC3.1","","L.1, L.2, L.4, L.7, L.9","Schedule 1 (Section 5) 4.5 - Limiting Use, Disclosure and Retention, Subsec. 4.1.3","CO-05","ME 3.1","APO12.01
APO12.02
APO12.03
MEA03.01","312.4","BOSS > Compliance > Information System Regulatory Mapping","shared","x","Domain 2, 4","6.10. (a)
6.10. (b)
6.10. (c)
6.10. (d)
6.10. (e)
6.10. (f)
6.10. (g)
6.10. (h)
6.10. (i)","","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AT-1
NIST SP 800-53 R3 AU-1
NIST SP 800-53 R3 CA-1
NIST SP 800-53 R3 CM-1
NIST SP 800-53 R3 CP-1
NIST SP 800-53 R3 IA-1
NIST SP 800-53 R3 IA-7
NIST SP 800-53 R3 IR-1
NIST SP 800-53 R3 MA-1
NIST SP 800-53 R3 MP-1
NIST SP 800-53 R3 PE-1
NIST SP 800-53 R3 PL-1
NIST SP 800-53 R3 PS-1
NIST SP 800-53 R3 RA-1
NIST SP 800-53 R3 RA-2
NIST SP 800-53 R3 SA-1
NIST SP 800-53 R3 SA-6
NIST SP 800-53 R3 SC-1
NIST SP 800-53 R3 SC-13
NIST SP 800-53 R3 SI-1","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AT-1
NIST SP 800-53 R3 AU-1
NIST SP 800-53 R3 CA-1
NIST SP 800-53 R3 CM-1
NIST SP 800-53 R3 CP-1
NIST SP 800-53 R3 IA-1
NIST SP 800-53 R3 IA-7
NIST SP 800-53 R3 IR-1
NIST SP 800-53 R3 MA-1
NIST SP 800-53 R3 MP-1
NIST SP 800-53 R3 PE-1
NIST SP 800-53 R3 PL-1
NIST SP 800-53 R3 PS-1
NIST SP 800-53 R3 RA-1
NIST SP 800-53 R3 RA-2
NIST SP 800-53 R3 SA-1
NIST SP 800-53 R3 SA-6
NIST SP 800-53 R3 SC-1
NIST SP 800-53 R3 SC-13
NIST SP 800-53 R3 SC-13 (1)
NIST SP 800-53 R3 SC-30
NIST SP 800-53 R3 SI-1","1.2.2
1.2.4
1.2.6
1.2.11
3.2.4
5.2.1","","ISO/IEC 27001:2005 
Clause 4.2.1 b) 2)
Clause 4.2.1 c) 1)
Clause 4.2.1 g)
Clause 4.2.3 d) 6)
Clause 4.3.3
Clause 5.2.1 a - f
Clause 7.3 c) 4)
A.7.2.1
A.15.1.1
A.15.1.3
A.15.1.4
A.15.1.6","Clauses
4.2(b),
4.4,
5.2(c),
5.3(ab),
6.1.2,
6.1.3,
6.1.3(b),
7.5.3(b),
7.5.3(d),
8.1,
8.3
9.2(g),
9.3,
9.3(b),
9.3(f),
10.2,
A.8.2.1,
A.18.1.1,
A.18.1.3,
A.18.1.4,
A.18.1.5","Commandment #1
Commandment #2
Commandment #3","","AC-1
AT-1
AU-1
CA-1
CM-1
CP-1
IA-1
IA-7
IR-1
MA-1
MP-1
PE-1
PL-1
PM-1
PS-1
RA-1
RA-2
SA-1
SA-6
SC-1
SC-13
SI-1","","1.2
2.2
3.3
5.2","","","3.1.1
3.1","3.1","X","76 (B)
77 (B)
78 (B)
83 (B)
84 (B)
85 (B)","","",""
"AIS-01","Application & Interface Security
Application Security","Applications and programming interfaces (APIs) shall be designed, developed, deployed, and tested in accordance with leading industry standards (e.g., OWASP for web applications) and adhere to applicable legal, statutory, or regulatory compliance obligations.","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","S3.10.0





S3.10.0","(S3.10.0) Design, acquisition, implementation, configuration, modification, and management of infrastructure and software are consistent with defined system security policies to enable authorized access and to prevent unauthorized access.

(S3.10.0) Design, acquisition, implementation, configuration, modification, and management of infrastructure and software are consistent with defined processing integrity and related security policies.","CC7.1","I.4","G.16.3, I.3","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","SA-04","AI2.4","APO09.03
APO13.01
BAI03.01
BAI03.02
BAI03.03
BAI03.05
MEA03.01
MEA03.02","312.8 and 312.10","Application Services > Development Process > Software Quality Assurance","shared","x","Domain 10","6.03.01. (c)","Article: 27 (3)","NIST SP 800-53 R3 SC-5
NIST SP 800-53 R3 SC-6
NIST SP 800-53 R3 SC-7
NIST SP 800-53 R3 SC-12
NIST SP 800-53 R3 SC-13
NIST SP 800-53 R3 SC-14","NIST SP 800-53 R3 SA-8
NIST SP 800-53 R3 SC-2
NIST SP 800-53 R3 SC-4
NIST SP 800-53 R3 SC-5
NIST SP 800-53 R3 SC-6
NIST SP 800-53 R3 SC-7
NIST SP 800-53 R3 SC-7 (1)
NIST SP 800-53 R3 SC-7 (2)
NIST SP 800-53 R3 SC-7 (3)
NIST SP 800-53 R3 SC-7 (4)
NIST SP 800-53 R3 SC-7 (5)
NIST SP 800-53 R3 SC-7 (7)
NIST SP 800-53 R3 SC-7 (8)
NIST SP 800-53 R3 SC-7 (12)
NIST SP 800-53 R3 SC-7 (13)
NIST SP 800-53 R3 SC-7 (18)
NIST SP 800-53 R3 SC-8
NIST SP 800-53 R3 SC-8 (1)
NIST SP 800-53 R3 SC-9
NIST SP 800-53 R3 SC-9 (1)
NIST SP 800-53 R3 SC-10
NIST SP 800-53 R3 SC-11
NIST SP 800-53 R3 SC-12
NIST SP 800-53 R3 SC-12 (2)
NIST SP 800-53 R3 SC-12 (5)
NIST SP 800-53 R3 SC-13
NIST SP 800-53 R3 SC-13 (1)
NIST SP 800-53 R3 SC-14
NIST SP 800-53 R3 SC-17
NIST SP 800-53 R3 SC-18","1.2.6","45 CFR 164.312(e)(2)(i)","A.11.5.6
A.11.6.1
A.12.2.1
A.12.2.2
A.12.2.3
A.12.2.4
A.12.5.2
A.12.5.4
A.12.5.5
A.12.6.1
A.15.2.1","A9.4.2
A9.4.1,
8.1*Partial, A14.2.3,
8.1*partial, A.14.2.7
A12.6.1,
A18.2.2","Commandment #1
Commandment #2
Commandment #4
Commandment #5
Commandment #11","CIP-007-3 - R5.1","SC-2
SC-3
SC-4
SC-5
SC-6
SC-7
SC-8
SC-9
SC-10
SC-11
SC-12
SC-13
SC-14
SC-17
SC-18
SC-20
SC-21
SC-22
SC-23","AR-7 The organization designs information systems to support privacy by automating privacy controls.","14.5
14.6","PA17
PA31","SGP
BSGP","6.5","6, 6.5","","","","",""
"AIS-02","Application & Interface Security
Customer Access Requirements","Prior to granting customers access to data, assets, and information systems, identified security, contractual, and regulatory requirements for customer access shall be addressed.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S3.2.a","(S3.2.a) a. Logical access security measures to restrict access to information resources not deemed to be public.","CC5.1","","C.2.1, C.2.3, C.2.4, C.2.6.1, H.1","Schedule 1 (Section 5) 4.1 Accountability, Subs. 4.1.3","SA-01","","APO09.01
APO09.02
APO09.03
APO13.01
BAI02
DSS05","312.3, 312.8 and 312.10","BOSS > Legal Services > Contracts","shared","x","Domain 10","","Article 17 (1), (2)","NIST SP 800-53 R3 CA-1
NIST SP 800-53 R3 CA-2
NIST SP 800-53 R3 CA-2 (1)
NIST SP 800-53 R3 CA-5
NIST SP 800-53 R3 CA-6","NIST SP 800-53 R3 CA-1
NIST SP 800-53 R3 CA-2
NIST SP 800-53 R3 CA-2 (1)
NIST SP 800-53 R3 CA-5
NIST SP 800-53 R3 CA-6","1.2.2
1.2.6
6.2.1
6.2.2","","A.6.2.1
A.6.2.2
A.11.1.1","A9.1.1.","Commandment #6
Commandment #7
Commandment #8","","CA-1
CA-2
CA-5
CA-6","AP-1 The organization determines and documents the legal authority that permits the collection, use, maintenance, and sharing of personally identifiable information (PII), either generally or in support of a specific program or information system need.","9.2","","","","4.1.1, 4.2, 4.3","X","10 (B)
11 (A+)","","",""
"AIS-03","Application & Interface Security
Data Integrity","Data input and output integrity routines (i.e., reconciliation and edit checks) shall be implemented for application interfaces and databases to prevent manual or systematic processing errors, corruption of data, or misuse.","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","I3.2.0



I3.3.0




I3.4.0



I3.5.0","(I3.2.0) The procedures related to completeness, accuracy, timeliness, and authorization of inputs are consistent with the documented system processing integrity policies. 

(I3.3.0) The procedures related to completeness, accuracy, timeliness, and authorization of system processing, including error correction and database management, are consistent with documented system processing integrity policies. 

(I3.4.0) The procedures related to completeness, accuracy, timeliness, and authorization of outputs are consistent with the documented system processing integrity policies.

(I3.5.0) There are procedures to enable tracing of information inputs from their source to their final disposition and vice versa.","PI1.2
PI1.3
PI1.5","I.4","G.16.3, I.3","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","SA-05","","DSS06.02
DSS06.04","312.8 and 312.10","Application Services > Programming Interfaces > Input Validation","shared","x","Domain 10","","","NIST SP 800-53 R3 SI-2
NIST SP 800-53 R3 SI-3","NIST SP 800-53 R3 SI-2
NIST SP 800-53 R3 SI-2 (2)
NIST SP 800-53 R3 SI-3
NIST SP 800-53 R3 SI-3 (1)
NIST SP 800-53 R3 SI-3 (2)
NIST SP 800-53 R3 SI-3 (3)
NIST SP 800-53 R3 SI-4
NIST SP 800-53 R3 SI-4 (2)
NIST SP 800-53 R3 SI-4 (4)
NIST SP 800-53 R3 SI-4 (5)
NIST SP 800-53 R3 SI-4 (6)
NIST SP 800-53 R3 SI-6
NIST SP 800-53 R3 SI-7
NIST SP 800-53 R3 SI-7 (1)
NIST SP 800-53 R3 SI-9
NIST SP 800-53 R3 SI-10
NIST SP 800-53 R3 SI-11","1.2.6","45 CFR 164.312 (c)(1)
45 CFR 164.312 (c)(2)
45 CFR 164.312(e)(2)(i)","A.10.9.2
A.10.9.3
A.12.2.1
A.12.2.2
A.12.2.3
A.12.2.4
A.12.6.1
A.15.2.1","A13.2.1,
A13.2.2,
A9.1.1,
A9.4.1,
A10.1.1
A18.1.4","Commandment #1
Commandment #9
Commandment #11","CIP-003-3 - R4.2","SI-10
SI-11
SI-2
SI-3
SI-4
SI-6
SI-7
SI-9","AR-7 The organization designs information systems to support privacy by automating privacy controls.","14.5
14.6","PA25","GP","6.3.1
6.3.2","6.3.1
6.3.2","X","","","",""
"AIS-04","Application & Interface Security
Data Security / Integrity","Policies and procedures shall be established and maintained in support of data security to include (confidentiality, integrity and availability) across multiple system interfaces, jurisdictions and business functions to prevent improper disclosure, alteration, or destruction.","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","S3.4","(S3.4) Procedures exist to protect against unauthorized access to system resources.","CC5.6","B.1","G.8.2.0.2, G.8.2.0.3, G.12.1, G.12.4, G.12.9, G.12.10, G.16.2, G.19.2.1, G.19.3.2, G.9.4, G.17.2, G.17.3, G.17.4, G.20.1","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","SA-03","DS5.11","APO09.01
APO09.02
APO09.03
APO13.01
DSS05.02
DSS06.06
MEA03.01
MEA03.02","312.8 and 312.10","BOSS > Data Governance > Rules for Information Leakage Prevention","shared","x","Domain 10","6.02. (b)
6.04.03. (a)","Article 17 (1), (2),(3), (4)","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 SC-1
NIST SP 800-53 R3 SC-13","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AC-4
NIST SP 800-53 R3 SC-1
NIST SP 800-53 R3 SC-8","1.1.0
1.2.2
1.2.6
4.2.3
5.2.1
7.1.2
7.2.1
7.2.2
7.2.3
7.2.4
8.2.1
8.2.2
8.2.3
8.2.5
9.2.1","","A.10.8.1
A.10.8.2
A.11.1.1
A.11.6.1
A.11.4.6
A.12.3.1
A.12.5.4
A.15.1.4","A13.2.1,
A13.2.2,
A9.1.1,
A9.4.1,
A10.1.1
A18.1.4","All","","AC-1
AC-4
SC-1
SC-16","AR-7 The organization designs information systems to support privacy by automating privacy controls.","16.5
16.8
17.4","PA20
PA25
PA29","GP
P
SGP","2.3
3.4.1
4.1
4.1.1
6.1
6.3.2a
6.5c
8.3
10.5.5
11.5","2.3
3.4.1
4.1
4.1.1
6.1
6.3.2a
6.5c, 7.1, 7.2, 7.3, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8
10.5.5, 10.8
11.5, 11.6","","6 (B)
26 (A+)","","",""
"BCR-01","Business Continuity Management & Operational Resilience
Business Continuity Planning","A consistent unified framework for business continuity planning and plan
 development shall be established, documented and adopted to ensure all 
business continuity plans are consistent in addressing priorities for 
testing, maintenance, and information security requirements. 
Requirements for business continuity plans include the following:
 • Defined purpose and scope, aligned with relevant dependencies
 • Accessible to and understood by those who will use them
 • Owned by a named person(s) who is responsible for their review, update, and approval
 • Defined lines of communication, roles, and responsibilities
 • Detailed recovery procedures, manual work-around, and reference information
 • Method for plan invocation","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","A3.1.0




A3.3.0




A3.4.0","(A3.1.0) Procedures exist to (1) identify potential threats of disruptions to systems operation that would impair system availability commitments and (2) assess the risks associated with the identified threats.

(A3.3.0) Procedures exist to provide for backup, offsite storage, restoration, and disaster recovery consistent with the entity’s defined system availability and related security policies.

(A3.4.0) Procedures exist to provide for the integrity of backup data and systems maintained to support the entity’s defined system availability and related security policies.","CC3.1

A1.2

A1.3","","K.1.2.3. K.1.2.4, K.1.2.5, K.1.2.6, K.1.2.7, K.1.2.11, K.1.2.13, K.1.2.15","","RS-03","","DSS04.01
DSS04.02
DSS04.03
DSS04.05","","BOSS > Operational Risk Management > Business Continuity","provider","x","Domain 7, 8","6.07. (a)
6.07. (b)
6.07. (c)","Article 17 (1), (2)","NIST SP800-53 R3 CP-1
NIST SP800-53 R3 CP-2
NIST SP800-53 R3 CP-3
NIST SP800-53 R3 CP-4
NIST SP800-53 R3 CP-9
NIST SP800-53 R3 CP-10","NIST SP800-53 R3 CP-1
NIST SP800-53 R3 CP-2
NIST SP800-53 R3 CP-2 (1)
NIST SP800-53 R3 CP-2 (2)
NIST SP800-53 R3 CP-3
NIST SP800-53 R3 CP-4
NIST SP800-53 R3 CP-4 (1)
NIST SP800-53 R3 CP-6
NIST SP800-53 R3 CP-6 (1)
NIST SP800-53 R3 CP-6 (3)
NIST SP800-53 R3 CP-7
NIST SP800-53 R3 CP-7 (1)
NIST SP800-53 R3 CP-7 (2)
NIST SP800-53 R3 CP-7 (3)
NIST SP800-53 R3 CP-7 (5)
NIST SP800-53 R3 CP-8
NIST SP800-53 R3 CP-8 (1)
NIST SP800-53 R3 CP-8 (2)
NIST SP800-53 R3 CP-9
NIST SP800-53 R3 CP-9 (1)
NIST SP800-53 R3 CP-9 (3)
NIST SP800-53 R3 CP-10
NIST SP800-53 R3 CP-10 (2)
NIST SP800-53 R3 CP-10 (3)
NIST SP800-53 R3 PE-17","","45 CFR 164.308 (a)(7)(i)
45 CFR 164.308 (a)(7)(ii)(B)
45 CFR 164.308 (a)(7)(ii)(C)
45 CFR 164.308 (a)(7)(ii)(E)
45 CFR 164.310 (a)(2)(i)
45 CFR 164.312 (a)(2)(ii)","Clause 5.1
A.6.1.2
A.14.1.3
A.14.1.4","Clause 5.1(h)
A.17.1.2
A.17.1.2","Commandment #1
Commandment #2
Commandment #3","","CP-1
CP-2
CP-3
CP-4
CP-6
CP-7
CP-8
CP-9
CP-10
PE-17","UL-2 INFORMATION SHARING WITH THIRD PARTIES - a. Shares personally identifiable information (PII) externally, only for the authorized purposes identified in the Privacy Act and/or described in its notice(s) or for a purpose that is compatible with those purposes; b. Where appropriate, enters into Memoranda of Understanding, Memoranda of Agreement, Letters of Intent, Computer Matching Agreements, or similar agreements, with third parties that specifically describe the PII covered and specifically enumerate the purposes for which the PII may be used; c. Monitors, audits, and trains its staff on the authorized sharing of PII with third parties and on the consequences of unauthorized use or sharing of PII; and d. Evaluates any proposed new instances of sharing PII with third parties to assess whether the sharing is authorized and whether additional or new public notice is required.","6.4","","","12.9.1
12.9.3
12.9.4
12.9.6","12.9.1
12.9.3
12.9.4
12.9.6","X","","","",""
"BCR-02","Business Continuity Management & Operational Resilience
Business Continuity Testing","Business continuity and security incident response plans shall be subject to testing at planned intervals or upon significant organizational or environmental changes. Incident response plans shall involve impacted customers (tenant) and other business relationships that represent critical intra-supply chain business process dependencies.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","A3.3","(A3.3) Procedures exist to provide for backup, offsite storage, restoration, and disaster recovery consistent with the entity’s defined system availability and related security policies.","A1.2","","K.1.3, K.1.4.3, K.1.4.6, K.1.4.7, K.1.4.8, K.1.4.9, K.1.4.10, K.1.4.11, K.1.4.12","","RS-04","","DSS04.04","","BOSS > Operational Risk Management > Business Continuity","provider","x","Domain 7, 8","6.07.01. (b)
6.07.01. (j)
6.07.01. (l)","","NIST SP800-53 R3 CP-2
NIST SP800-53 R3 CP-3
NIST SP800-53 R3 CP-4","NIST SP800-53 R3 CP-2
NIST SP800-53 R3 CP-2 (1)
NIST SP800-53 R3 CP-2 (2)
NIST SP800-53 R3 CP-3
NIST SP800-53 R3 CP-4
NIST SP800-53 R3 CP-4 (1)","","45 CFR 164.308 (a)(7)(ii)(D)","A.14.1.5","A17.3.1","Commandment #1
Commandment #2
Commandment #3","","CP-2
CP-3
CP-4","","4.4
5.2(time limit)
6.3(whenever change occurs)","PA15","SGP","12.9.2","12.9.2, 12.10.2","X","52 (B)
55 (A+)","","",""
"BCR-03","Business Continuity Management & Operational Resilience
Datacenter Utilities / Environmental Conditions","Datacenter utilities services and environmental conditions (e.g., water, power, temperature and humidity controls, telecommunications,and internet connectivity) shall be secured, monitored, maintained, and tested for continual effectiveness at planned intervals to ensure protection from unauthorized interception or damage, and designed with automated fail-over or other redundancies in the event of planned or unplanned disruptions.","Y","Y","N","N","N","N","N","Y","Y","Y","Y","N","A3.2.0



A3.4.0","(A3.2.0) Measures to prevent or mitigate threats have been implemented consistent with the risk assessment when commercially practicable.

(A3.4.0) Procedures exist to protect against unauthorized access to system resource.","A1.1
A1.2

A1.3","F.1","F.1.6, F.1.6.1, F.1.6.2, F.1.9.2, F.2.10, F.2.11, F.2.12","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","RS-08","","DSS01.03
DSS01.04
DSS01.05
DSS04.03","312.8 and 312.10","Infra Services > Facility Security > Environmental Risk Management","provider","x","Domain 7, 8","6.08. (a)
6.09. (c)
6.09. (f)
6.09. (g)","Article 17 (1), (2)","NIST SP800-53 R3 PE-1
NIST SP800-53 R3 PE-13
NIST SP800-53 R3 PE-13 (1)
NIST SP800-53 R3 PE-13 (2)
NIST SP800-53 R3 PE-13 (3)","NIST SP800-53 R3 PE-1
NIST SP800-53 R3 PE-4
NIST SP800-53 R3 PE-13
NIST SP800-53 R3 PE-13 (1)
NIST SP800-53 R3 PE-13 (2)
NIST SP800-53 R3 PE-13 (3)","","","A.9.2.2
A.9.2.3","A11.2.2,
A11.2.3","Commandment #1
Commandment #2
Commandment #3
Commandment #4
Commandment #9
Commandment #11","","PE-1
PE-4
PE-13","","10.1
10.2
10.3
10.4
10.5
10.6","PA15","SGP","","4.1, 4.1.1, 9.1, 9.2","","9 (B)
10 (B)","","",""
