"Item
No.",Rev. 5 Moderate Core Control ID
1,AC-2
2,AC-2 (1)
3,AC-2 (2)
4,AC-2 (3)
5,AC-2 (4)
6,AC-2 (5)
7,AC-2 (7)
8,AC-2 (9)
9,AC-2 (12)
10,AC-2 (13)
11,AC-3
12,AC-6
13,AC-6 (2)
14,AC-6 (5)
15,AC-6 (10)
16,AC-17 (2)
17,AU-2
18,AU-3
19,AU-3 (1)
20,AU-4
21,AU-5
22,AU-6
23,AU-6 (1)
24,AU-6 (3)
25,AU-8
26,AU-11
27,AU-12
28,CA-8 (1)
29,CA-8 (2)
30,CM-5
31,CM-6
32,CM-6 (1)
33,CM-7
34,CM-7 (1)
35,CM-7 (2)
36,CM-7 (5)
37,CM-8
38,CP-4
39,IA-2
40,IA-2 (1)
41,IA-2 (2)
42,IA-2 (5)
43,IA-2 (6)
44,IA-2 (8)
45,IA-2 (12)
46,IA-4
47,IA-5
48,IR-3
49,IR-4
50,IR-4 (1)
51,MA-3 (2)
52,PE-3
53,RA-5
54,RA-5 (2)
55,RA-5 (3)
56,SA-9
57,SA-11 (1)
58,SC-7
59,SC-7 (3)
60,SC-7 (4)
61,SC-7 (5)
62,SC-7 (7)
63,SC-7 (8)
64,SC-7 (12)
65,SC-7 (18)
66,SC-8
67,SC-12
68,SC-13
69,SC-21
70,SC-28
71,SC-45 (1)
72,SI-3
73,SI-4 (1)
74,SI-4 (2)
75,SI-4 (16)
76,SI-4 (23)
77,SI-6
78,SI-7
79,SI-7 (1)
80,SI-10
Total,80
,
,
,
,
,
,
,
,
,
