Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,SC-1,SC-01a.[01][02],"Determine if a system and communications protection policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SC-1,SC-01a.[03][04],"Determine if system and communications protection procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,SC-1,SC-01a.01(a),"Determine if the [organization-defined level] system and communications protection policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,SC-1,SC-01a.01(b),"Determine if the system and communications protection policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,SC-1,SC-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the system and communications protection policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SC-1,SC-01c.01,Determine if the current system and communications protection policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SC-1,SC-01c.02,Determine if the current system and communications protection procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Separation of System and User Functionality,SC-2,SC-02,"Determine if user functionality, including user interface services, is separated from system management functionality",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Security Function Isolation,SC-3,SC-03,Determine if security functions are isolated from non-security functions,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Information in Shared System Resources,SC-4,SC-04,Determine if unauthorized and unintended information transfer via shared system resources is prevented,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Denial-of-Service Protection,SC-5,SC-05a,Determine if the effects of [organization-defined types of denial-of-service events] are [organization-defined protect against; limit],"at a minimum: ICMP (ping) flood, SYN flood, slowloris, buffer overflow attack, and volume attack; protect against",,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SC-5,SC-05b,Determine if [organization-defined controls by type of denial-of-service event] are employed to achieve the denial-of-service protection objective,CSP-defined controls by type of denial-of-service event,,Test,,,,,,,,,,,,,,,,,,,
Boundary Protection,SC-7,SC-07a.[01][02],Determine if communications at external managed interfaces to the system are monitored and controlled,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SC-7,SC-07a.[03][04],Determine if communications at key internal managed interfaces within the system are monitored and controlled,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SC-7,SC-07b,Determine if subnetworks for publicly accessible system components are [organization-defined physically; logically] separated from internal organizational networks,see Additional FedRAMP Requirements / Guidance,"Guidance: SC-7 (b) should be met by subnet isolation. A subnetwork (subnet) is a physically or logically segmented section of a larger network defined at TCP/IP Layer 3, to both minimize traffic and, important for a FedRAMP Authorization, add a crucial layer of network isolation. Subnets are distinct from VLANs (Layer 2), security groups, and VPCs and are specifically required to satisfy SC-7 part b and other controls.  See the FedRAMP Subnets White Paper (https://www.fedramp.gov/assets/resources/documents/FedRAMP_subnets_white_paper.pdf) for additional information.","Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SC-7,SC-07c,Determine if external networks or systems are only connected to through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Access Points,SC-7 (3),SC-07(03),Determine if the number of external network connections to the system is limited,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
External Telecommunications Services,SC-7 (4),SC-07(04)(a),Determine if a managed interface is implemented for each external telecommunication service,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SC-7 (4),SC-07(04)(b),Determine if a traffic flow policy is established for each managed interface,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SC-7 (4),SC-07(04)(c),Determine if the confidentiality and integrity of the information being transmitted across each interface is protected,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SC-7 (4),SC-07(04)(d),Determine if each exception to the traffic flow policy is documented with a supporting mission or business need and duration of that need,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SC-7 (4),SC-07(04)(e),Determine if exceptions to the traffic flow policy are reviewed [organization-defined frequency] and the exception to the traffic flow policy that are no longer supported by an explicit mission or business need are removed,at least every ninety (90) days or whenever there is a change in the threat environment that warrants a review of the exceptions,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
