Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,AU-1,AU-01a.[01][02],"Determine if an audit and accountability policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-1,AU-01a.[03][04],"Determine if audit and accountability procedures to facilitate the implementation of the audit and accountability policy and associated audit and accountability controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,AU-1,AU-01a.01(a),"Determine if the [organization-defined level] audit and accountability policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,AU-1,AU-01a.01(b),"Determine if the audit and accountability policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,AU-1,AU-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the audit and accountability policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-1,AU-01c.01,Determine if the current audit and accountability policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-1,AU-01c.02,Determine if the current audit and accountability procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Event Logging,AU-2,AU-02a.,Determine if [organization-defined event types] that the system is capable of logging are identified in support of the audit logging function,"successful and unsuccessful account logon events, account management events, object access, policy change, privilege functions, process tracking, and system events. For Web applications: all administrator activity, authentication checks, authorization checks, data deletions, data access, data changes, and permission changes",,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-2,AU-02b.,Determine if the event logging function is coordinated with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-2,AU-02c.[01],Determine if [organization-defined event types (subset of organization-defined in AU-02.a)] are specified for logging within the system,CSP-defined subset of the auditable events defined in AU-2a to be audited continually for each identified event,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-2,AU-02c.[02],Determine if the specified event types are logged within the system [organization-defined frequency or situation],continuously,,Test,,,,,,,,,,,,,,,,,,,
,AU-2,AU-02d.,Determine if a rationale is provided for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents,,Requirement: Coordination between service provider and consumer shall be documented and accepted by the AO.,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-2,AU-02e.,Determine if the event types selected for logging are reviewed and updated [organization-defined frequency],annually and whenever there is a change in the threat environment,Guidance: Annually or whenever changes in the threat environment are communicated to the service provider by the AO,Test,,,,,,,,,,,,,,,,,,,
Content of Audit Records,AU-3,AU-03,"Determine if audit records contain information that establishes:
 - what type of event occurred;
 - when the event occurred;
 - where the event occurred;
 - the source of the event;
 - the outcome of the event;
 - the identity of any individuals, subjects, or objects/entities associated with the event",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Audit Log Storage Capacity,AU-4,AU-04,Determine if audit log storage capacity is allocated to accommodate [organization-defined audit log retention requirements],CSP-defined audit log retention requirements,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Response to Audit Logging Process Failures,AU-5,AU-05a.,Determine if [organization-defined personnel or roles] are alerted in the event of an audit logging process failure within [organization-defined time period],CSP-defined personnel or roles within CSP-defined time period,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AU-5,AU-05b.,Determine if [organization-defined additional actions] are taken in the event of an audit logging process failure,overwrite oldest record,,"Interview, Test",,,,,,,,,,,,,,,,,,,
"Audit Record Review, Analysis, and Reporting",AU-6,AU-06a.,Determine if system audit records are reviewed and analyzed [organization-defined frequency] for indications of [organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity,at least weekly; CSP-defined inappropriate or unusual activity,"Requirement: Coordination between service provider and consumer shall be documented and accepted by the AO. In multi-tenant environments, capability and means for providing review, analysis, and reporting to consumer for data pertaining to consumer shall be documented.","Interview, Test",,,,,,,,,,,,,,,,,,,
,AU-6,AU-06b.,Determine if findings are reported to [organization-defined personnel or roles],CSP-defined personnel or roles,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AU-6,AU-06c.,"Determine if the level of audit record review, analysis, and reporting within the system is adjusted when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Time Stamps,AU-8,AU-08a.,Determine if internal system clocks are used to generate timestamps for audit records,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AU-8,AU-08b.,"Determine if timestamps are recorded for audit records that meet [organization-defined granularity of time measurement] and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or include the local time offset as part of the timestamp",one second of granularity of time measurement,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Protection of Audit Information,AU-9,AU-09a.,"Determine if audit information and audit logging tools are protected from unauthorized access, modification, and deletion",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AU-9,AU-09b.,"Determine if [organization-defined personnel or roles] are alerted upon detection of unauthorized access, modification, or deletion of audit information",CSP-defined personnel or roles,,"Interview, Test",,,,,,,,,,,,,,,,,,,
