"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"AC-1","Policy and Procedures","false","","High","L,M,H","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:

        1. [Selection (one-or-more): organization-level; mission/business process-level; system-level] access control policy that:

            (a)   Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and

            (b)   Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and

        2. Procedures to facilitate the implementation of the access control policy and the associated access controls;

    b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and

    c. Review and update the current access control:

        1. Policy [FedRAMP Assignment: at least annually] and following [Assignment: organization-defined events]; and

        2. Procedures [FedRAMP Assignment: at least annually] and following [FedRAMP Assignment: significant changes].","at least annually
at least annually
significant changes"
"AC-2","Account Management","false","","High","L,M,H","a. Define and document the types of accounts allowed and specifically prohibited for use within the system;

    b. Assign account managers;

    c. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;

    d. Specify:

        1. Authorized users of the system;

        2. Group and role membership; and

        3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;

    e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;

    f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];

    g. Monitor the use of accounts;

    h. Notify account managers and [Assignment: organization-defined personnel or roles] within:

        1. [FedRAMP Assignment: twenty-four (24) hours] when accounts are no longer required;

        2. [FedRAMP Assignment: eight (8) hours] when users are terminated or transferred; and

        3. [FedRAMP Assignment: eight (8) hours] when system usage or need-to-know changes for an individual;

    i. Authorize access to the system based on:

        1. A valid access authorization;

        2. Intended system usage; and

        3. [Assignment: organization-defined attributes (as required)];

    j. Review accounts for compliance with account management requirements [FedRAMP Assignment: monthly for privileged accessed, every six (6) months for non-privileged access];

    k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and

    l. Align account management processes with personnel termination and transfer processes.","twenty-four (24) hours
eight (8) hours
eight (8) hours
monthly for privileged accessed, every six (6) months for non-privileged access"
"AC-2(1)","Automated System Account Management","true","AC-2","High","M,H","Support the management of system accounts using [Assignment: organization-defined automated mechanisms].",""
"AC-2(2)","Automated Temporary and Emergency Account Management","true","AC-2","High","M,H","Automatically [FedRAMP Assignment: disables] temporary and emergency accounts after [FedRAMP Assignment: no more than twenty-four (24) hours from last use].","disables
no more than twenty-four (24) hours from last use"
"AC-2(3)","Disable Accounts","true","AC-2","High","M,H","Disable accounts within [FedRAMP Assignment: twenty-four (24) hours for user accounts] when the accounts:

    a. Have expired;

    b. Are no longer associated with a user or individual;

    c. Are in violation of organizational policy; or

    d. Have been inactive for [FedRAMP Assignment: thirty-five (35) days (See additional requirements and guidance.)].

__ AC-2 (3) Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ For DoD clouds, see DoD cloud website for specific DoD requirements that go above and beyond FedRAMP <https://public.cyber.mil/dccs/>.

__ Requirement:__ The service provider defines the time period for non-user accounts (e.g., accounts associated with devices). The time periods are approved and accepted by the JAB/AO. Where user management is a function of the service, reports of activity of consumer users shall be made available.

__ (d) Requirement:__ The service provider defines the time period of inactivity for device identifiers.","twenty-four (24) hours for user accounts
thirty-five (35) days (See additional requirements and guidance.)"
"AC-2(4)","Automated Audit Actions","true","AC-2","High","M,H","Automatically audit account creation, modification, enabling, disabling, and removal actions.",""
"AC-2(5)","Inactivity Logout","true","AC-2","High","M,H","Require that users log out when [FedRAMP Assignment: inactivity is anticipated to exceed fifteen (15) minutes].

__ AC-2 (5) Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ Should use a shorter timeframe than AC-12.","inactivity is anticipated to exceed fifteen (15) minutes"
"AC-2(7)","Privileged User Accounts","true","AC-2","High","M,H","(a)   Establish and administer privileged user accounts in accordance with [Selection: Assignment: a role-based access scheme; an attribute-based access scheme];

        (b)   Monitor privileged role or attribute assignments;

        (c)   Monitor changes to roles or attributes; and

        (d)   Revoke access when privileged role or attribute assignments are no longer appropriate.",""
"AC-2(9)","Restrictions on Use of Shared and Group Accounts","true","AC-2","High","M,H","Only permit the use of shared and group accounts that meet [FedRAMP Assignment: organization-defined need with justification statement that explains why such accounts are necessary].

__ AC-2 (9) Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ Required if shared/group accounts are deployed.","organization-defined need with justification statement that explains why such accounts are necessary"
"AC-2(11)","Usage Conditions","true","AC-2","High","H","Enforce [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined system accounts].",""
"AC-2(12)","Account Monitoring for Atypical Usage","true","AC-2","High","M,H","(a)   Monitor system accounts for [Assignment: organization-defined atypical usage]; and

        (b)   Report atypical usage of system accounts to [FedRAMP Assignment: at a minimum, the ISSO and/or similar role within the organization].

__ AC-2 (12) Additional FedRAMP Requirements and Guidance:__

__ (a) Requirement:__ Required for privileged accounts.

__ (b) Requirement:__ Required for privileged accounts.","at a minimum, the ISSO and/or similar role within the organization"
"AC-2(13)","Disable Accounts for High-risk Individuals","true","AC-2","High","M,H","Disable accounts of individuals within [FedRAMP Assignment: one (1) hour] of discovery of [Assignment: organization-defined significant risks].","one (1) hour"
"AC-3","Access Enforcement","false","","High","L,M,H","Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.",""
"AC-4","Information Flow Enforcement","false","","High","M,H","Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].",""
"AC-4(4)","Flow Control of Encrypted Information","true","AC-4","High","H","Prevent encrypted information from bypassing [FedRAMP Assignment: intrusion detection mechanisms] by [Selection (one-or-more): decrypting the information; blocking the flow of the encrypted information; terminating communications sessions attempting to pass encrypted information; [Assignment: organization-defined procedure or method]].

__ AC-4 (4) Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ The service provider must support Agency requirements to comply with M-21-31 (<https://www.whitehouse.gov/wp-content/uploads/2021/08/M-21-31-Improving-the-Federal-Governments-Investigative-and-Remediation-Capabilities-Related-to-Cybersecurity-Incidents.pdf>) and M-22-09 (<https://www.whitehouse.gov/wp-content/uploads/2022/01/M-22-09.pdf>).","intrusion detection mechanisms"
"AC-4(21)","Physical or Logical Separation of Information Flows","true","AC-4","High","M,H","Separate information flows logically or physically using [Assignment: organization-defined mechanisms and/or techniques] to accomplish [Assignment: organization-defined required separations by types of information].",""
"AC-5","Separation of Duties","false","","High","M,H","a. Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and

    b. Define system access authorizations to support separation of duties.

__ AC-5 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ CSPs have the option to provide a separation of duties matrix as an attachment to the SSP.",""
"AC-6","Least Privilege","false","","High","M,H","Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",""
"AC-6(1)","Authorize Access to Security Functions","true","AC-6","High","M,H","Authorize access for [Assignment: organization-defined individuals or roles] to:

        (a)    [FedRAMP Assignment: all functions not publicly accessible]; and

        (b)    [FedRAMP Assignment: all security-relevant information not publicly available].","all functions not publicly accessible
all security-relevant information not publicly available"
"AC-6(2)","Non-privileged Access for Nonsecurity Functions","true","AC-6","High","M,H","Require that users of system accounts (or roles) with access to [FedRAMP Assignment: all security functions] use non-privileged accounts or roles, when accessing nonsecurity functions.

__ AC-6 (2) Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ Examples of security functions include but are not limited to: establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters, system programming, system and security administration, other privileged functions.","all security functions"
"AC-6(3)","Network Access to Privileged Commands","true","AC-6","High","H","Authorize network access to [FedRAMP Assignment: all privileged commands] only for [Assignment: organization-defined compelling operational needs] and document the rationale for such access in the security plan for the system.","all privileged commands"
"AC-6(5)","Privileged Accounts","true","AC-6","High","M,H","Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].",""
"AC-6(7)","Review of User Privileges","true","AC-6","High","M,H","(a)   Review [FedRAMP Assignment: at a minimum, annually] the privileges assigned to [FedRAMP Assignment: all users with privileges] to validate the need for such privileges; and

        (b)   Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.","at a minimum, annually
all users with privileges"
"AC-6(8)","Privilege Levels for Code Execution","true","AC-6","High","H","Prevent the following software from executing at higher privilege levels than users executing the software: [FedRAMP Assignment: any software except software explicitly documented].","any software except software explicitly documented"
"AC-6(9)","Log Use of Privileged Functions","true","AC-6","High","M,H","Log the execution of privileged functions.",""
"AC-6(10)","Prohibit Non-privileged Users from Executing Privileged Functions","true","AC-6","High","M,H","Prevent non-privileged users from executing privileged functions.",""
"AC-7","Unsuccessful Logon Attempts","false","","High","L,M,H","a. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]; and

    b. Automatically [Selection (one-or-more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded.

__ AC-7 Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ In alignment with NIST SP 800-63B.",""
