"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"AC-1","Policy and Procedures","false","","Low","L,M,H","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:

        1. [Selection (one-or-more): organization-level; mission/business process-level; system-level] access control policy that:

            (a)   Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and

            (b)   Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and

        2. Procedures to facilitate the implementation of the access control policy and the associated access controls;

    b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and

    c. Review and update the current access control:

        1. Policy [FedRAMP Assignment: at least every 3 years] and following [Assignment: organization-defined events]; and

        2. Procedures [FedRAMP Assignment: at least annually] and following [FedRAMP Assignment: significant changes].","at least every 3 years
at least annually
significant changes"
"AC-2","Account Management","false","","Low","L,M,H","a. Define and document the types of accounts allowed and specifically prohibited for use within the system;

    b. Assign account managers;

    c. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;

    d. Specify:

        1. Authorized users of the system;

        2. Group and role membership; and

        3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;

    e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;

    f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];

    g. Monitor the use of accounts;

    h. Notify account managers and [Assignment: organization-defined personnel or roles] within:

        1. [FedRAMP Assignment: twenty-four (24) hours] when accounts are no longer required;

        2. [FedRAMP Assignment: eight (8) hours] when users are terminated or transferred; and

        3. [FedRAMP Assignment: eight (8) hours] when system usage or need-to-know changes for an individual;

    i. Authorize access to the system based on:

        1. A valid access authorization;

        2. Intended system usage; and

        3. [Assignment: organization-defined attributes (as required)];

    j. Review accounts for compliance with account management requirements [FedRAMP Assignment: at least annually];

    k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and

    l. Align account management processes with personnel termination and transfer processes.","twenty-four (24) hours
eight (8) hours
eight (8) hours
at least annually"
"AC-3","Access Enforcement","false","","Low","L,M,H","Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.",""
"AC-7","Unsuccessful Logon Attempts","false","","Low","L,M,H","a. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]; and

    b. Automatically [Selection (one-or-more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded.

__ AC-7 Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ In alignment with NIST SP 800-63B.",""
"AC-8","System Use Notification","false","","Low","L,M,H","a. Display [FedRAMP Assignment: see additional Requirements and Guidance] to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that:

        1. Users are accessing a U.S. Government system;

        2. System usage may be monitored, recorded, and subject to audit;

        3. Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and

        4. Use of the system indicates consent to monitoring and recording.

    b. Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; and

    c. For publicly accessible systems:

        1. Display system use information [FedRAMP Assignment: see additional Requirements and Guidance], before granting further access to the publicly accessible system;

        2. Display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and

        3. Include a description of the authorized uses of the system.

__ AC-8 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ If performed as part of a Configuration Baseline check, then the percent of items requiring setting that are checked and that pass (or fail) check can be provided.

__ Requirement:__ The service provider shall determine elements of the cloud environment that require the System Use Notification control. The elements of the cloud environment that require System Use Notification are approved and accepted by the JAB/AO.

__ Requirement:__ The service provider shall determine how System Use Notification is going to be verified and provide appropriate periodicity of the check. The System Use Notification verification and periodicity are approved and accepted by the JAB/AO.

__ Requirement:__ If not performed as part of a Configuration Baseline check, then there must be documented agreement on how to provide results of verification and the necessary periodicity of the verification by the service provider. The documented agreement on how to provide verification of the results are approved and accepted by the JAB/AO.","see additional Requirements and Guidance
see additional Requirements and Guidance"
"AC-14","Permitted Actions Without Identification or Authentication","false","","Low","L,M,H","a. Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and

    b. Document and provide supporting rationale in the security plan for the system user actions not requiring identification or authentication.",""
"AC-17","Remote Access","false","","Low","L,M,H","a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and

    b. Authorize each type of remote access to the system prior to allowing such connections.",""
"AC-18","Wireless Access","false","","Low","L,M,H","a. Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and

    b. Authorize each type of wireless access to the system prior to allowing such connections.",""
"AC-19","Access Control for Mobile Devices","false","","Low","L,M,H","a. Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and

    b. Authorize the connection of mobile devices to organizational systems.",""
"AC-20","Use of External Systems","false","","Low","L,M,H","a. [Selection (one-or-more): Establish [Assignment: organization-defined terms and conditions]; Identify [Assignment: organization-defined controls asserted to be implemented on external systems]], consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to:

        1. Access the system from external systems; and

        2. Process, store, or transmit organization-controlled information using external systems; or

    b. Prohibit the use of [Assignment: organizationally defined types of external systems].

__ AC-20 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ The interrelated controls of AC-20, CA-3, and SA-9 should be differentiated as follows:

__ __AC-20 describes system access to and from external systems.

        CA-3 describes documentation of an agreement between the respective system owners when data is exchanged between the CSO and an external system.

        SA-9 describes the responsibilities of external system owners. These responsibilities would typically be captured in the agreement required by CA-3.",""
