"activity_id","process_prefix","title"
"AQ-1","AQ","PREPARE FOR THE ACQUISITION"
"AQ-2","AQ","ADVERTISE THE ACQUISITION AND SELECT THE SUPPLIER"
"AQ-3","AQ","ESTABLISH AND MAINTAIN AN AGREEMENT"
"AQ-4","AQ","MONITOR THE AGREEMENTS"
"AQ-5","AQ","ACCEPT THE PRODUCT OR SERVICE"
"AR-1","AR","PREPARE FOR SYSTEM ARCHITECTURE DEFINITION"
"AR-2","AR","CREATE THE SYSTEM ARCHITECTURE CANDIDATE(S)"
"AR-3","AR","EVALUATE THE SYSTEM ARCHITECTURE CANDIDATE(S)"
"AR-4","AR","MANAGE THE RESULTS OF SYSTEM ARCHITECTURE DEFINITION"
"BA-1","BA","PREPARE FOR BUSINESS OR MISSION ANALYSIS"
"BA-2","BA","DEFINE THE PROBLEM OR OPPORTUNITY SPACE"
"BA-3","BA","CHARACTERIZE THE SOLUTION SPACE"
"BA-4","BA","EVALUATE ALTERNATIVE SOLUTION CLASSES"
"BA-5","BA","MANAGE THE BUSINESS OR MISSION ANALYSIS"
"CM-1","CM","PREPARE FOR CONFIGURATION MANAGEMENT"
"CM-2","CM","PERFORM CONFIGURATION IDENTIFICATION"
"CM-3","CM","PERFORM CONFIGURATION CHANGE MANAGEMENT"
"CM-4","CM","PERFORM CONFIGURATION STATUS ACCOUNTING"
"CM-5","CM","PERFORM CONFIGURATION EVALUATION"
"DE-1","DE","PREPARE FOR DESIGN DEFINITION"
"DE-2","DE","CREATE THE SYSTEM DESIGN"
"DE-3","DE","EVALUTE THE SYSTEM DESIGN"
"DE-4","DE","MANAGE THE RESULTS OF DESIGN DEFINITION"
"DM-1","DM","PREPARE FOR DECISIONS"
"DM-2","DM","ANALYZE THE DECISION INFORMATION"
"DM-3","DM","MAKE AND MANAGE DECISIONS"
"DS-1","DS","PREPARE FOR DISPOSAL"
"DS-2","DS","PERFORM DISPOSAL"
"DS-3","DS","FINALIZE THE DISPOSAL"
"HR-1","HR","IDENTIFY SKILLS"
"HR-2","HR","DEVELOP SKILLS"
"HR-3","HR","ACQUIRE AND PROVIDE SKILLS"
"IF-1","IF","ESTABLISH THE INFRASTRUCTURE"
"IF-2","IF","MAINTAIN THE INFRASTRUCTURE"
"IM-1","IM","PREPARE FOR INFORMATION MANAGEMENT"
"IM-2","IM","PERFORM INFORMATION MANAGEMENT"
"IN-1","IN","PREPARE FOR INTEGRATION"
"IN-2","IN","PERFORM INTEGRATION"
"IN-3","IN","MANAGE RESULTS OF INTEGRATION"
"IP-1","IP","PREPARE FOR IMPLEMENTATION"
"IP-2","IP","PERFORM IMPLEMENTATION"
"IP-3","IP","MANAGE RESULTS OF IMPLEMENTATION"
"KM-1","KM","PLAN KNOWLEDGE MANAGEMENT"
"KM-2","KM","SHARE KNOWLEDGE AND SKILLS THROUGHOUT THE ORGANIZATION"
"KM-3","KM","SHARE KNOWLEDGE ASSETS THROUGHOUT THE ORGANIZATION"
"KM-4","KM","MANAGE KNOWLEDGE, SKILLS, AND KNOWLEDGE ASSETS"
"LM-1","LM","ESTABLISH THE LIFE CYCLE PROCESSES"
"LM-2","LM","ASSESS THE LIFE CYCLE PROCESS"
"LM-3","LM","IMPROVE THE PROCESS"
"MA-1","MA","PREPARE FOR MAINTENANCE AND LOGISTICS"
"MA-2","MA","PERFORM MAINTENANCE"
"MA-3","MA","PERFORM LOGISTICS SUPPORT"
"MA-4","MA","MANAGE RESULTS OF MAINTENANCE AND LOGISTICS"
"MS-1","MS","PREPARE FOR MEASUREMENT"
"MS-2","MS","PERFORM MEASUREMENT"
"OP-1","OP","PREPARE FOR OPERATION"
"OP-2","OP","PERFORM OPERATION"
"OP-3","OP","MANAGE RESULTS OF OPERATION"
"OP-4","OP","SUPPORT STAKEHOLDERS"
"PA-1","PA","PLAN FOR PROJECT ASSESSMENT AND CONTROL"
"PA-2","PA","ASSESS THE PROJECT"
"PA-3","PA","CONTROL THE PROJECT"
"PL-1","PL","DEFINE THE PROJECT"
"PL-2","PL","PLAN PROJECT AND TECHNICAL MANAGEMENT"
"PL-3","PL","ACTIVATE THE PROJECT"
"PM-1","PM","DEFINE AND AUTHORIZE PROJECTS"
"PM-2","PM","EVALUATE THE PORTFOLIO OF PROJECTS"
"PM-3","PM","TERMINATE PROJECTS"
"QA-1","QA","PREPARE FOR QUALITY ASSURANCE"
"QA-2","QA","PERFORM PRODUCT OR SERVICE EVALUATIONS"
"QA-3","QA","PERFORM PROCESS EVALUATIONS"
"QA-4","QA","MANAGE QUALITY ASSURANCE RECORDS AND REPORTS"
"QA-5","QA","TREAT INCIDENTS AND PROBLEMS"
"QM-1","QM","PLAN QUALITY MANAGEMENT"
"QM-2","QM","ASSESS QUALITY MANAGEMENT"
"QM-3","QM","PERFORM QUALITY MANAGEMENT CORRECTIVE AND PREVENTIVE ACTIONS"
"RM-1","RM","PLAN RISK MANAGEMENT"
"RM-2","RM","MANAGE THE RISK PROFILE"
"RM-3","RM","ANALYZE RISK"
"RM-4","RM","TREAT RISKS THAT EXCEED THEIR RISK THRESHOLD"
"RM-5","RM","MONITOR RISK"
"SA-1","SA","PREPARE FOR SYSTEM ANALYSIS"
"SA-2","SA","PERFORM SYSTEM ANALYSIS"
"SA-3","SA","MANAGE SYSTEM ANALYSIS"
"SN-1","SN","PREPARE FOR STAKEHOLDER NEEDS AND REQUIREMENTS DEFINITION"
"SN-2","SN","DEVELOP THE OPERATIONAL AND OTHER LIFE CYCLE CONCEPTS"
"SN-3","SN","DEFINE STAKEHOLDER NEEDS"
"SN-4","SN","TRANSFORM STAKEHOLDER NEEDS INTO STAKEHOLDER REQUIREMENTS"
"SN-5","SN","ANALYZE STAKEHOLDER NEEDS AND REQUIREMENTS"
"SN-6","SN","MANAGE THE STAKEHOLDER NEEDS AND REQUIREMENTS DEFINITION"
"SP-1","SP","PREPARE FOR THE SUPPLY"
"SP-2","SP","RESPOND TO A REQUEST FOR SUPPLY OF PRODUCTS OR SERVICES"
"SP-3","SP","ESTABLISH AND MAINTAIN AN AGREEMENT"
"SP-4","SP","EXECUTE THE AGREEMENT"
"SP-5","SP","DELIVER AND SUPPORT THE PRODUCT OR SERVICE"
"SR-1","SR","PREPARE FOR SYSTEM REQUIREMENTS DEFINITION"
"SR-2","SR","DEFINE SYSTEM REQUIREMENTS"
"SR-3","SR","ANALYZE SYSTEM REQUIREMENTS"
"SR-4","SR","MANAGE THE SYSTEM REQUIREMENTS"
"TR-1","TR","PREPARE FOR TRANSITION"
"TR-2","TR","PERFORM TRANSITION"
"TR-3","TR","MANAGE RESULTS OF TRANSITION"
"VA-1","VA","PREPARE FOR VALIDATION"
"VA-2","VA","PERFORM VALIDATION"
"VA-3","VA","MANAGE RESULTS OF VALIDATION"
"VE-1","VE","PREPARE FOR VERIFICATION"
"VE-2","VE","PERFORM VERIFICATION"
"VE-3","VE","MANAGE RESULTS OF VERIFICATION"
