"task_id","activity_id","activity_title","process_prefix","description"
"AQ-1.1","AQ-1","PREPARE FOR THE ACQUISITION","AQ","Define the security aspects of the strategy for how the acquisition will be conducted."
"AQ-1.2","AQ-1","PREPARE FOR THE ACQUISITION","AQ","Prepare a request for a product or service that includes the security requirements."
"AQ-2.1","AQ-2","ADVERTISE THE ACQUISITION AND SELECT THE SUPPLIER","AQ","Securely communicate the request for the supply of a product or service to potential suppliers."
"AQ-2.2","AQ-2","ADVERTISE THE ACQUISITION AND SELECT THE SUPPLIER","AQ","Select one or more suppliers that meet the security criteria."
"AQ-3.1","AQ-3","ESTABLISH AND MAINTAIN AN AGREEMENT","AQ","Develop and approve an agreement with the supplier that includes security acceptance criteria."
"AQ-3.2","AQ-3","ESTABLISH AND MAINTAIN AN AGREEMENT","AQ","Identify necessary security-relevant changes to the agreement."
"AQ-3.3","AQ-3","ESTABLISH AND MAINTAIN AN AGREEMENT","AQ","Evaluate the security impact of changes to the agreement."
"AQ-3.4","AQ-3","ESTABLISH AND MAINTAIN AN AGREEMENT","AQ","Update the security criteria in the agreement with the supplier, as necessary."
"AQ-4.1","AQ-4","MONITOR THE AGREEMENTS","AQ","Assess the execution of the security aspects of the agreement."
"AQ-4.2","AQ-4","MONITOR THE AGREEMENTS","AQ","Securely provide data needed by the supplier, and resolve issues in a timely manner."
"AQ-5.1","AQ-5","ACCEPT THE PRODUCT OR SERVICE","AQ","Confirm that the delivered product or service complies with the security aspects of the agreement."
"AQ-5.2","AQ-5","ACCEPT THE PRODUCT OR SERVICE","AQ","Securely provide payment or other agreed consideration."
"AQ-5.3","AQ-5","ACCEPT THE PRODUCT OR SERVICE","AQ","Accept the product or service from the supplier or other party, as directed by the security criteria in the agreement."
"AQ-5.4","AQ-5","ACCEPT THE PRODUCT OR SERVICE","AQ","Close the agreement in accordance with agreement security criteria."
"AR-1.1","AR-1","PREPARE FOR SYSTEM ARCHITECTURE DEFINITION","AR","Define the security aspects of the system architecture definition strategy."
"AR-1.2","AR-1","PREPARE FOR SYSTEM ARCHITECTURE DEFINITION","AR","Identify the set of existing security-relevant architectures or reference architectures that may have direct applicability and are to be used as guiding oversight."
"AR-1.3","AR-1","PREPARE FOR SYSTEM ARCHITECTURE DEFINITION","AR","Establish the security aspects of the architecture description framework(s), viewpoints, and modeling templates to be used throughout the system architecture definition effort."
"AR-1.4","AR-1","PREPARE FOR SYSTEM ARCHITECTURE DEFINITION","AR","Establish security-specific viewpoints and modeling templates to be used throughout the system architecture definition effort."
"AR-1.5","AR-1","PREPARE FOR SYSTEM ARCHITECTURE DEFINITION","AR","Determine the security evaluation objectives and criteria with respect to the concerns of key stakeholders."
"AR-1.6","AR-1","PREPARE FOR SYSTEM ARCHITECTURE DEFINITION","AR","Determine security evaluation methods, and integrate them with evaluation objectives and criteria."
"AR-1.7","AR-1","PREPARE FOR SYSTEM ARCHITECTURE DEFINITION","AR","Collect and review security evaluation-related information."
