"identifier","family","base_control","enhancement","is_enhancement","sort_as","name","withdrawn","in_privacy_baseline","in_low_baseline","in_moderate_baseline","in_high_baseline"
"AC-1","AC","AC-1","","False","AC-01-00","Policy and Procedures","False","True","True","True","True"
"AC-2","AC","AC-2","","False","AC-02-00","Account Management","False","False","True","True","True"
"AC-2(1)","AC","AC-2","1","True","AC-02-01","Account Management | Automated System Account Management","False","False","False","True","True"
"AC-2(2)","AC","AC-2","2","True","AC-02-02","Account Management | Automated Temporary and Emergency Account Management","False","False","False","True","True"
"AC-2(3)","AC","AC-2","3","True","AC-02-03","Account Management | Disable Accounts","False","False","False","True","True"
"AC-2(4)","AC","AC-2","4","True","AC-02-04","Account Management | Automated Audit Actions","False","False","False","True","True"
"AC-2(5)","AC","AC-2","5","True","AC-02-05","Account Management | Inactivity Logout","False","False","False","True","True"
"AC-2(6)","AC","AC-2","6","True","AC-02-06","Account Management | Dynamic Privilege Management","False","False","False","False","False"
"AC-2(7)","AC","AC-2","7","True","AC-02-07","Account Management | Privileged User Accounts","False","False","False","False","False"
"AC-2(8)","AC","AC-2","8","True","AC-02-08","Account Management | Dynamic Account Management","False","False","False","False","False"
"AC-2(9)","AC","AC-2","9","True","AC-02-09","Account Management | Restrictions on Use of Shared and Group Accounts","False","False","False","False","False"
"AC-2(10)","AC","AC-2","10","True","AC-02-10","Account Management | Shared and Group Account Credential Change","False","False","False","False","False"
"AC-2(11)","AC","AC-2","11","True","AC-02-11","Account Management | Usage Conditions","False","False","False","False","True"
"AC-2(12)","AC","AC-2","12","True","AC-02-12","Account Management | Account Monitoring for Atypical Usage","False","False","False","False","True"
"AC-2(13)","AC","AC-2","13","True","AC-02-13","Account Management | Disable Accounts for High-risk Individuals","False","False","False","True","True"
"AC-3","AC","AC-3","","False","AC-03-00","Access Enforcement","False","False","True","True","True"
"AC-3(1)","AC","AC-3","1","True","AC-03-01","Access Enforcement | Restricted Access to Privileged Functions","False","False","False","False","False"
"AC-3(2)","AC","AC-3","2","True","AC-03-02","Access Enforcement | Dual Authorization","False","False","False","False","False"
