"control_id","family","family_name","title","ot_discussion","content"
"AC-1","AC","Access Control","Access Control Policy And Procedures","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems. OT access by vendors and maintenance staff can occur over a large facility footprint or geographic area and into unobserved spaces, such as mechanical or electrical rooms, ceilings, floors, field substations, switch and valve vaults, and pump stations. | CNTL | CONTROL NAME | | CONTROL BASELINES | | |----------------------|------------------------------------------------------------------------------|--------|-------------------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | AC-2 | Account Management | Select | Select | Select | | AC-2 (1) | ACCOUNT MANAGEMENT AUTOMATED SYSTEM ACCOUNT<br>MANAGEMENT | | Select | Select | | AC-2 (2) | ACCOUNT MANAGEMENT AUTOMATED TEMPORARY AND<br>EMERGENCY ACCOUNT MANAGEMENT | | Select | Select | | AC-2 (3) | ACCOUNT MANAGEMENT DISABLE ACCOUNTS | | Select | Select | | AC-2 (4) | ACCOUNT MANAGEMENT AUTOMATED AUDIT ACTIONS | | Select | Select | | AC-2 (5) | ACCOUNT MANAGEMENT INACTIVITY LOGOUT | | Select | Select | | AC-2<br>(11) | ACCOUNT MANAGEMENT USAGE CONDITIONS | | | Select | | AC-2 | ACCOUNT MANAGEMENT ACCOUNT MONITORING FOR ATYPICAL | | | Select | | (12)<br>AC-2<br>(13) | USAGE<br>ACCOUNT MANAGEMENT DISABLE ACCOUNTS FOR HIGH-RISK<br>INDIVIDUALS | | Select | Select | OT Discussion: In OT systems, physical security, personnel security, intrusion detection, or auditing measures may support this control objective.","| CNTL<br>CONTROL NAME<br>Control Enhancement Name<br>NO. | CONTROL BASELINES | | | | |---------------------------------------------------------|-----------------------|--------|--------|--------| | | | LOW | MOD | HIGH | | AC-1 | Policy and Procedures | Select | Select | Select | OT Discussion: The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems. OT access by vendors and maintenance staff can occur over a large facility footprint or geographic area and into unobserved spaces, such as mechanical or electrical rooms, ceilings, floors, field substations, switch and valve vaults, and pump stations. | CNTL | CONTROL NAME | | CONTROL BASELINES | | |----------------------|------------------------------------------------------------------------------|--------|-------------------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | AC-2 | Account Management | Select | Select | Select | | AC-2 (1) | ACCOUNT MANAGEMENT AUTOMATED SYSTEM ACCOUNT<br>MANAGEMENT | | Select | Select | | AC-2 (2) | ACCOUNT MANAGEMENT AUTOMATED TEMPORARY AND<br>EMERGENCY ACCOUNT MANAGEMENT | | Select | Select | | AC-2 (3) | ACCOUNT MANAGEMENT DISABLE ACCOUNTS | | Select | Select | | AC-2 (4) | ACCOUNT MANAGEMENT AUTOMATED AUDIT ACTIONS | | Select | Select | | AC-2 (5) | ACCOUNT MANAGEMENT INACTIVITY LOGOUT | | Select | Select | | AC-2<br>(11) | ACCOUNT MANAGEMENT USAGE CONDITIONS | | | Select | | AC-2 | ACCOUNT MANAGEMENT ACCOUNT MONITORING FOR ATYPICAL | | | Select | | (12)<br>AC-2<br>(13) | USAGE<br>ACCOUNT MANAGEMENT DISABLE ACCOUNTS FOR HIGH-RISK<br>INDIVIDUALS | | Select | Select | OT Discussion: In OT systems, physical security, personnel security, intrusion detection, or auditing measures may support this control objective. Control Enhancement: (1) (3) (4) No OT discussion for this control. Control Enhancement: (2) OT Discussion: When the OT (e.g., field devices) cannot support temporary or emergency accounts, this enhancement does not apply. Example compensating controls include employing nonautomated mechanisms or procedures. Control Enhancement: (5) OT Discussion: This control enhancement defines situations or timeframes in which users log out of accounts in the policy. Automatic enforcement is not addressed by this control enhancement. Organizations determine whether this control enhancement is appropriate for the mission and/or functions of the OT system and define the timeframe or scenarios. If no timeframe or scenarios apply, the organization-defined parameter reflects as much. Control Enhancement: (11) (12) No OT Discussion for this control. Control Enhancement: (13) OT Discussion: Close coordination occurs between OT, HR, IT, and physical security personnel to ensure the timely removal of high-risk individuals."
"AC-3","AC","Access Control","Access Enforcement","The organization ensures that access enforcement mechanisms do not adversely impact the operational performance of the OT. Example compensating controls include encapsulation. The policy for logical access control to non-addressable and non-routable system resources and the associated information is made explicit. Access control mechanisms include hardware, firmware, and software that control the device or have device access, such as device drivers and communications controllers. Physical access control may serve as a compensating control for logical access control. However, it may not provide sufficient granularity when users require access to different functions.","| CNTL | CONTROL NAME | | SUPPLEMENTED<br>CONTROL BASELINES | | | |--------------|-----------------------------------------------------------------------|--------|-----------------------------------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | AC-3 | Access Enforcement | Select | Select | Select | | | AC-3<br>(11) | ACCESS ENFORCEMENT RESTRICT ACCESS TO SPECIFIC<br>INFORMATION TYPES | | | Add | | OT Discussion: The organization ensures that access enforcement mechanisms do not adversely impact the operational performance of the OT. Example compensating controls include encapsulation. The policy for logical access control to non-addressable and non-routable system resources and the associated information is made explicit. Access control mechanisms include hardware, firmware, and software that control the device or have device access, such as device drivers and communications controllers. Physical access control may serve as a compensating control for logical access control. However, it may not provide sufficient granularity when users require access to different functions. Control Enhancement: (11) OT Discussion: The organization identifies and restricts access to information that could impact the OT environment and accounts for information types that are sensitive, proprietary, contain trade secrets, or support safety functions. Rationale for adding AC-3 (11) to HIGH baseline: The loss of availability, integrity, and confidentiality of certain types of information that reside on a high-impact OT system may result in severe or catastrophic adverse effects on operations, assets, or individuals, including severe degradation or loss of mission capability, major damage to organizational assets, or harm to individuals involving the loss of life or life-threatening injuries."
"AC-4","AC","Access Control","Information Flow Enforcement","Information flow policy may be achieved using a combination of logical and physical flow restriction techniques. The inspection of message content may enforce information flow policy. For example, industrial OT protocols may be restricted using inbound and outbound traffic rules on a network control device between OT and IT networks. For non-routable communication, such as serial connections, devices may be configured to limit commands to and from specific tags within the OT device. The information flow policy may be supported by labeling or coloring physical connectors to aid in connecting networks. Devices that do not have a business need to communicate should not be connected (i.e., air gapped).","| CNTL | CONTROL NAME<br>Control Enhancement Name | CONTROL BASELINES | | | |----------|-------------------------------------------------------------------------|-------------------|--------|--------| | NO. | | LOW | MOD | HIGH | | AC-4 | Information Flow Enforcement | | Select | Select | | AC-4 (4) | INFORMATION FLOW ENFORCEMENT FLOW CONTROL OF<br>ENCRYPTED INFORMATION | | | Select | OT Discussion: Information flow policy may be achieved using a combination of logical and physical flow restriction techniques. The inspection of message content may enforce information flow policy. For example, industrial OT protocols may be restricted using inbound and outbound traffic rules on a network control device between OT and IT networks. For non-routable communication, such as serial connections, devices may be configured to limit commands to and from specific tags within the OT device. The information flow policy may be supported by labeling or coloring physical connectors to aid in connecting networks. Devices that do not have a business need to communicate should not be connected (i.e., air gapped). Control Enhancement: (4) No OT discussion for this control."
"AC-5","AC","Access Control","Separation Of Duties","Example compensating controls include providing increased personnel security and auditing. The organization carefully considers the appropriateness of a single individual performing multiple critical roles.","| CNTL<br>CONTROL NAME<br>NO.<br>Control Enhancement Name | | | CONTROL BASELINES | | |---------------------------------------------------------|----------------------|-----|-------------------|--------| | | | LOW | MOD | HIGH | | AC-5 | Separation of Duties | | Select | Select | OT Discussion: Example compensating controls include providing increased personnel security and auditing. The organization carefully considers the appropriateness of a single individual performing multiple critical roles."
"AC-6","AC","Access Control","Least Privilege","Example compensating controls include providing increased personnel security and auditing. The organization carefully considers the appropriateness of a single individual having multiple critical privileges. System privilege models may be tailored to enforce integrity and availability (e.g., lower privileges include read access, and higher privileges include write access).","| CNTL | CONTROL NAME | CONTROL BASELINES | | | | |--------------|----------------------------------------------------------------------------------------|-------------------|--------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | AC-6 | Least Privilege | | Select | Select | | | AC-6 (1) | LEAST PRIVILEGE AUTHORIZE ACCESS TO SECURITY FUNCTIONS | | Select | Select | | | AC-6 (2) | LEAST PRIVILEGE NON-PRIVILEGED ACCESS FOR NONSECURITY<br>FUNCTIONS | | Select | Select | | | AC-6 (3) | LEAST PRIVILEGE NETWORK ACCESS TO PRIVILEGED COMMANDS | | | Select | | | AC-6 (5) | LEAST PRIVILEGE PRIVILEGED ACCOUNTS | | Select | Select | | | AC-6 (7) | LEAST PRIVILEGE REVIEW OF USER PRIVILEGES | | Select | Select | | | AC-6 (9) | LEAST PRIVILEGE LOG USE OF PRIVILEGED FUNCTIONS | | Select | Select | | | AC-6<br>(10) | LEAST PRIVILEGE PROHIBIT NON-PRIVILEGED USERS FROM<br>EXECUTING PRIVILEGED FUNCTIONS | | Select | Select | | OT Discussion: Example compensating controls include providing increased personnel security and auditing. The organization carefully considers the appropriateness of a single individual having multiple critical privileges. System privilege models may be tailored to enforce integrity and availability (e.g., lower privileges include read access, and higher privileges include write access). Control Enhancement: (1) (2) (3) (5) (9) OT Discussion: When OT components (e.g., PLCs) cannot support the logging of privileged functions, other system components within the authorization boundary may be used (e.g., engineering workstations or physical access monitoring). Control Enhancement: (7) No OT Discussion for this control. Control Enhancement: (10) OT Discussion: Example compensating controls include enhanced auditing."
"AC-7","AC","Access Control","Unsuccessful Logon Attempts","Many OT systems remain in continuous operation, and operators remain logged onto the system at all times. A ""log-over"" capability may be employed. Example compensating controls include logging or recording all unsuccessful logon attempts and alerting OT security personnel through alarms or other means when the number of organization-defined consecutive invalid access attempts is exceeded. Unsuccessful logon attempt limits are enforced for accounts (e.g., administrator) or systems (e.g., engineering workstations) that are not required for continuous operation.","| CNTL | CONTROL NAME | CONTROL BASELINES | | | |------|-----------------------------|-------------------|--------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | AC-7 | Unsuccessful Logon Attempts | Select | Select | Select | OT Discussion: Many OT systems remain in continuous operation, and operators remain logged onto the system at all times. A ""log-over"" capability may be employed. Example compensating controls include logging or recording all unsuccessful logon attempts and alerting OT security personnel through alarms or other means when the number of organization-defined consecutive invalid access attempts is exceeded. Unsuccessful logon attempt limits are enforced for accounts (e.g., administrator) or systems (e.g., engineering workstations) that are not required for continuous operation."
"AC-8","AC","Access Control","System Use Notification","Many OT systems must remain in continuous operation, and system use notification may not be supported or effective. Example compensating controls include posting physical notices in OT facilities or providing recurring training on system use prior to permitting access.","| | CNTL<br>CONTROL NAME<br>Control Enhancement Name<br>NO. | CONTROL BASELINES | | | |------|---------------------------------------------------------|-------------------|--------|--------| | | | LOW | MOD | HIGH | | AC-8 | System Use Notification | Select | Select | Select | OT Discussion: Many OT systems must remain in continuous operation, and system use notification may not be supported or effective. Example compensating controls include posting physical notices in OT facilities or providing recurring training on system use prior to permitting access."
"AC-10","AC","Access Control","Concurrent Session Control","The number, account type, and privileges of concurrent sessions consider the roles and responsibilities of the affected individuals. Example compensating controls include providing increased auditing measures.","| | CNTL<br>CONTROL NAME<br>Control Enhancement Name<br>NO. | CONTROL BASELINES | | | | |-------|---------------------------------------------------------|-------------------|-----|--------|--| | | | LOW | MOD | HIGH | | | AC-10 | Concurrent Session Control | | | Select | | OT Discussion: The number, account type, and privileges of concurrent sessions consider the roles and responsibilities of the affected individuals. Example compensating controls include providing increased auditing measures."
"AC-11","AC","Access Control","Device Lock","This control assumes a staffed environment where users interact with system displays. This control may be tailored appropriately where systems do not have displays configured, systems are placed in an access-controlled facility or locked enclosure, or immediate operator response is required in emergency situations. Example compensating controls include locating the display in an area with physical access controls that limit access to individuals with permission and need-to-know for the displayed information.","| CNTL | CONTROL NAME<br>NO.<br>Control Enhancement Name | CONTROL BASELINES | | | |--------------|-------------------------------------------------|-------------------|--------|--------| | | | LOW | MOD | HIGH | | AC-11 | Device Lock | | Select | Select | | AC-11<br>(1) | DEVICE LOCK PATTERN-HIDING DISPLAYS | | Select | Select | OT Discussion: This control assumes a staffed environment where users interact with system displays. This control may be tailored appropriately where systems do not have displays configured, systems are placed in an access-controlled facility or locked enclosure, or immediate operator response is required in emergency situations. Example compensating controls include locating the display in an area with physical access controls that limit access to individuals with permission and need-to-know for the displayed information. Control Enhancement: (1) OT Discussion: Physical protection may be employed to prevent access to a display or the attachment of a display. When the OT cannot conceal displayed information, the organization employs nonautomated mechanisms or procedures as compensating controls in accordance with the general tailoring guidance."
"AC-12","AC","Access Control","Session Termination","Example compensating controls include providing increased auditing measures or limiting remote access privileges to key personnel.","| CNTL<br>CONTROL NAME<br>NO.<br>Control Enhancement Name | | | CONTROL BASELINES | | |---------------------------------------------------------|---------------------|-----|-------------------|--------| | | | LOW | MOD | HIGH | | AC-12 | Session Termination | | Select | Select | OT Discussion: Example compensating controls include providing increased auditing measures or limiting remote access privileges to key personnel."
