"subcategory_id","function","category_id","category_name","description"
"ID.BE-P1","Identify-P","ID.BE-P","Business Environment","The organization's role(s) in the data processing"
"ID.BE-P2","Identify-P","ID.BE-P","Business Environment","Priorities for organizational mission, objectives, and"
"ID.BE-P3","Identify-P","ID.BE-P","Business Environment","Systems/products/services that support organizational"
"ID.DE-P1","Identify-P","ID.DE-P","Data Processing Ecosystem Risk Management","Data processing ecosystem risk management policies,"
"ID.DE-P2","Identify-P","ID.DE-P","Data Processing Ecosystem Risk Management","Data processing ecosystem parties (e.g., service"
"ID.DE-P3","Identify-P","ID.DE-P","Data Processing Ecosystem Risk Management","Contracts with data processing ecosystem parties are"
"ID.DE-P4","Identify-P","ID.DE-P","Data Processing Ecosystem Risk Management","Interoperability frameworks or similar multi-party"
"ID.DE-P5","Identify-P","ID.DE-P","Data Processing Ecosystem Risk Management","Data processing ecosystem parties are routinely assessed"
"ID.IM-P1","Identify-P","ID.IM-P","Inventory and Mapping",""
"ID.IM-P2","Identify-P","ID.IM-P","Inventory and Mapping",""
"ID.IM-P3","Identify-P","ID.IM-P","Inventory and Mapping","Categories of individuals (e.g., customers, employees or"
"ID.IM-P4","Identify-P","ID.IM-P","Inventory and Mapping","Data actions of the systems/products/services are"
"ID.IM-P5","Identify-P","ID.IM-P","Inventory and Mapping","The purposes for the data actions are inventoried."
"ID.IM-P6","Identify-P","ID.IM-P","Inventory and Mapping","Data elements within the data actions are inventoried."
"ID.IM-P7","Identify-P","ID.IM-P","Inventory and Mapping","The data processing environment is identified (e.g.,"
"ID.IM-P8","Identify-P","ID.IM-P","Inventory and Mapping","Data processing is mapped, illustrating the data actions and"
"ID.RA-P1","Identify-P","ID.RA-P","Risk Assessment","Contextual factors related to the systems/products/services"
"ID.RA-P2","Identify-P","ID.RA-P","Risk Assessment","Data analytic inputs and outputs are identified and"
"ID.RA-P3","Identify-P","ID.RA-P","Risk Assessment","Potential problematic data actions and associated problems"
"ID.RA-P4","Identify-P","ID.RA-P","Risk Assessment",""
"ID.RA-P5","Identify-P","ID.RA-P","Risk Assessment","Risk responses are identified, prioritized, and"
"GV.AT-P1","Govern-P","GV.AT-P","Awareness and Training","The workforce is informed and trained on its roles and"
"GV.AT-P2","Govern-P","GV.AT-P","Awareness and Training","Senior executives understand their roles and"
