Area,ID,Title,Basic Criteria,Additional Criteria,"Supplementary Information -
About the Criteria","Supplementary Information -
Complementary Customer Criteria","Supplementary Information -
Notes on Continuous Auditing - Feasibility","Supplementary Information -
Notes on Continuous Auditing"
Organisation of Information Security (OIS),OIS-01 ,Information Security Management System (ISMS),"The Cloud Service Provider operates an information security management system (ISMS) in accordance with ISO/IEC 27001. The scope of the ISMS covers the Cloud Service Provider's organisational units, locations and procedures for providing the cloud service.
The measures for setting up, implementing, maintaining and continuously improving the ISMS are documented. 
The documentation includes:

- Scope of the ISMS (Section 4.3 of ISO/IEC 27001);

- Declaration of applicability (Section 6.1.3), and

- Results of the last management review (Section 9.3).",The Information Security Management System (ISMS) has a valid certification according to ISO/IEC 27001 or ISO 27001 based on IT-Grundschutz.,"The basic criterion can also be fulfilled without valid certification of the ISMS according to ISO/IEC 27001 or ISO 27001 based on IT-Grundschutz, if the submitted documentation meets the requirements of ISO/IEC 27001.",,partially,"A continuous audit of the ISO 27001 certificate is partially feasible because the existence of a certificate can be continuously verified through the creation date of the certificate and passing an authenticity check. However, the certificate is usually issued for three years and there will be no dynamic changes as a rule."
Organisation of Information Security (OIS),OIS-02,Information Security Policy,"The top management of the Cloud Service Provider has adopted an information security policy and communicated it to internal and external employees as well as cloud customers.
The policy describes:

- the importance of information security, based on the requirements of cloud customers in relation to information security;

- the security objectives and the desired security level, based on the business goals and tasks of the Cloud Service Provider;

- the most important aspects of the security strategy to achieve the security objectives set; and

- the organisational structure for information security in the ISMS application area.",,The top management is a natural person or group of persons who make the final decision for the institution and is responsible for that decision.,,partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically. "
Organisation of Information Security (OIS),OIS-03,Interfaces and Dependencies,"Interfaces and dependencies between cloud service delivery activities performed by the Cloud Service Provider and activities performed by third parties are documented and communicated. This includes dealing with the following events:

- Vulnerabilities;

- Security incidents; and

- Malfunctions.

The type and scope of the documentation is geared towards the information requirements of the subject matter experts of the affected organisations in order to carry out the activities appropriately (e.g. definition of roles and responsibilities in guidelines, description of cooperation obligations in service descriptions and contracts).

The communication of changes to the interfaces and dependencies takes place in a timely manner so that the affected organisations and third parties can react appropriately with organisational and technical measures before the changes take effect.",,"The Cloud Service Provider can define and document the interfaces and dependencies described in the basic criterion in guidelines and instructions. For example, Cloud customers' obligations to cooperate should be described in service descriptions and contracts.

Third parties in the sense of this basic criterion are, e.g. cloud customers and sub-service providers.","Cloud customers ensure through suitable controls, that the guidelines and requirements for compliance with the contractual agreements with the Cloud Service Provider (i.e., responsibilities, cooperation obligations and interfaces for reporting security incidents) are adequately defined, documented and set up.",no,An automated continuous audit for critical dependencies and interfaces is currently only possible at a high cost to the Cloud Service Provider.
Organisation of Information Security (OIS),OIS-04,Segregation of Duties,"Conflicting tasks and responsibilities are separated based on an OIS-06 risk assessment to reduce the risk of unauthorised or unintended changes or misuse of cloud customer data processed, stored or transmitted in the cloud service.

The risk assessment covers the following areas, insofar as these are applicable to the provision of the Cloud Service and are in the area of responsibility of the Cloud Service Provider:

- Administration of rights profiles, approval and assignment of access and access authorisations (cf. IDM-01);

- Development, testing and release of changes (cf. DEV-01); and

- Operation of the system components.

If separation cannot be established for organisational or technical reasons, measures are in place to monitor the activities in order to detect unauthorised or unintended changes as well as misuse and to take appropriate actions.",,"Identified events that may constitute unauthorised or unintentional changes to or misuse of cloud customer data may, for example, be treated as a security incident, cf. SIM-01.",,yes,"A continuous audit is possible, especially in the case of changes to role profiles and responsibilities. This would require an initial check of the defined roles and responsibilities by the Cloud Service Provider. The roles that are added or changed on a monthly basis could then be automated and continuously checked."
Organisation of Information Security (OIS),OIS-05,Contact with Relevant Government Agencies and Interest Groups,The Cloud Service Provider leverages relevant authorities and interest groups in order to stay informed about current threats and vulnerabilities. The information flows into the procedures for handling risks (cf. OIS-06) and vulnerabilities (cf. OPS-19).,"If the cloud service is used by public sector organisations in Germany, the Cloud Service Provider leverages contacts with the National IT Situation Centre and the CERT Association of the BSI.","Relevant contacts are for example:

- Federal Office for Information Security (BSI);

- OWASP Foundation; and

- CERT networks DFN-CERT, TF-CSIRT etc.

Public sector organisations in Germany are e.g. authorities and ministries.",,yes,"A continuous audit of the Cloud Service Provider's contacts with relevant authorities and stakeholders can be achieved by continuously storing relevant information on a monthly basis, such as a list of contacted entities and evidence of receipt of a response. A continuous flow of information demonstrates a constant connection to relevant authorities and interest groups. Furthermore, the distribution of the information and, if necessary, the documentation of the handling of identified risks and vulnerabilities could be continuously audited for the coverage of this criterion."
Organisation of Information Security (OIS),OIS-06,Risk Management Policy,"Policies and instructions for risk management procedures are documented, communicated and provided in accordance with SP-01 for the following aspects:

- Identification of risks associated with the loss of confidentiality, integrity, availability and authenticity of information within the scope of the ISMS and assigning risk owners;

- Analysis of the probability and impact of occurrence and determination of the level of risk;

- Evaluation of the risk analysis based on defined criteria for risk acceptance and prioritisation of handling;

- Handling of risks through measures, including approval of authorisation and acceptance of residual risks by risk owners; and

- Documentation of the activities implemented to enable consistent, valid and comparable results.",,"The risk level can be determined by qualitative, semi-quantitative and quantitative methods (cf. ISO 31010) based on the likelihood and impacts.",,partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Organisation of Information Security (OIS),OIS-07,Application of the Risk Management Policy,"The Cloud Service Provider executes the process for handling risks as needed or at least once a year. The following aspects are taken into account when identifying risks, insofar as they are applicable to the cloud service provided and are within the area of responsibility of the Cloud Service Provider:

- Processing, storage or transmission of data of cloud customers with different protection needs;

- Occurrence of vulnerabilities and malfunctions in technical protective measures for separating shared resources;

- Attacks via access points, including interfaces accessible from public networks;

- Conflicting tasks and areas of responsibility that cannot be separated for organisational or technical reasons; and

- Dependencies on subservice organisations.

The analysis, evaluation and treatment of risks, including the approval of actions and acceptance of residual risks, is reviewed for adequacy at least annually by the risk owners.",,"This criterion applies only to risks that reside within the area of responsibility of the cloud service provider. Risks that arise for the cloud customer when using the cloud service are not covered by this criterion. When outsourcing activities for the provision of cloud services to subservice organisations, the responsibility for these risks remains with the Cloud Service Provider. Requirements for measures to manage these risks can be found in the criteria area “Control and Monitoring of Service Providers and Suppliers (SSO)”.

Shared resources are e.g. networks, RAM or storage.",,partially,"The procedure for handling risks must be tested at least once a year and is therefore part of the standard audit cycle. However, the continuous audit of handling risk is only partially feasible as the only attributes that can be tested are the last review date and the status of review or approval, as far as this information is stored in a system. The content of the risks can hardly be tested automatically."
Security Policies and Instructions (SP),SP-01,"Documentation, communication and provision of policies and instructions","Policies and instructions (incl. concepts and guidelines) are derived from the information security policy and are documented according to a uniform structure. They are communicated and made available to all internal and external employees of the Cloud Service Provider in an appropriate manner.

The policies and instructions are version controlled and approved by the top management of the Cloud Service Provider or an authorised body.

The policies and instructions describe at least the following aspects:

- Objectives;

- Scope;

- Roles and responsibilities, including staff qualification requirements and the establishment of substitution rules;

- Roles and dependencies on other organisations (especially cloud customers and subservice organisations);

- Steps for the execution of the security strategy; and

- Applicable legal and regulatory requirements.",,"The appropriateness of the demand-oriented communication and provision must be assessed against the size and complexity of the Cloud Service Provider's organisation and the type of cloud service offered. Possible criteria are:

- Integration of guidelines and instructions in the onboarding of new employees

- Training and information campaigns when adopting new or revising existing policies and instructions

- Form of provision

Policies and instructions are required for the following basic criteria in which the content is specified in more detail:

- Risk management policy (OIS-06)

- Acceptable use and handling of assets policy (AM-02)

- Security requirements for premises and buildings (PS-01)

- Physical site access control (PS-04)

- Concept for protection against malware (OPS-04)

- Concept for data protection and recovery (OPS-06)

- Concept for logging and monitoring (OPS-10)

- Concept for meta data handling (OPS-11)

- Concept for handling of vulnerabilities, malfunctions and errors (OPS-18)

- Policy for system and data access authorisations (IDM-01)

- Policy for the use of encryption procedures and key management (CRY-01)

- Policies for data transmission (COS-08)

- Policies for the development/procurement of information systems (DEV-01)

- Policies for changes to information systems (DEV-03)

- Policies and instructions for controlling and monitoring third parties (SSO-01)

- Policy for security incident management (SIM-01)

- Business impact analysis policies and procedures (BCM-02)

- Policy for planning and conducting audits (COM-02)",,partially,"Regarding the uniformity and content of the policies and instructions, there is a need for manual testing, so continuous testing cannot be fully achieved.

The communication/provision of policies and instructions can be queried via various registers. Registries for all approved policies and instructions can serve as a basis for reviewing the policies/rejections provided in the usual channels and may be combined with a conditional access check. These requirements must first be met by the Cloud Service Provider.

Versioning after approval by authorised personnel can be automatically audited and is therefore suitable for continuous audit."
Security Policies and Instructions (SP),SP-02,Review and Approval of Policies and Instructions,"Information security policies and instructions are reviewed at least annually for adequacy by the Cloud Service Provider's subject matter experts.

The review shall consider at least the following aspects:

- Organisational and technical changes in the procedures for providing the cloud service; and

- Legal and regulatory changes in the Cloud Service Provider's environment.

Revised policies and instructions are approved before they become effective.",,,,partially,"A continuous, automated audit of the content changes to policies and instructions is only partially practicable at the current state-of-the-art.

A continuous audit of the reviewers' authorisation and expertise does not appear to be effective either, as this cannot be linked to specified parameters of an automated evaluation. A continuous examination of this criterion could therefore only consist of returning the date of the last examination."
Security Policies and Instructions (SP),SP-03,Exceptions from Existing Policies and Instructions,"Exceptions to the policies and instructions for information security as well as respective controls go through the OIS-06 risk management process, including approval of these exceptions and acceptance of the associated risks by the risk owners. The approvals of exceptions are documented, limited in time and are reviewed for appropriateness at least annually by the risk owners.",,"About the Criterion
Exceptions in the sense of the basic criterion can have organisational or technical causes, such as

- An organisational unit should deviate from the intended processes and procedures in order to meet the requirements of a cloud customer; and

- A system component lacks technical properties to configure it according to the applicable requirements.

Cloud customers can use appropriate controls to ensure that they obtain information from the Cloud Service Provider about deviations from information security policies and instructions in order to assess and appropriately manage the associated risks to their own information security.",,partially,"Exceptions to policies and instructions are to be reviewed annually. However, the continuous audit of these exceptions is only partially feasible as the only attributes that can be tested are the last change date and the status or review or approval, as far as this information is stored in a system. The content of an exception can hardly be tested automatically."
