Identification Number,Source,Title,Date,Document Link,SSP,SAP,SAR,ISCP,FIPS 199,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
FIPS PUB 140-2,Federal Information Processing Standards Publication ,Security Requirements for Cryptographic Modules ,2001-05-01,FIPS 140-2,x,x,x,x,,,,,,,,,,,,,,,,,
FIPS PUB 140-3,Federal Information Processing Standards Publication ,Security Requirements for Cryptographic Modules (supersedes FIPS PUB 140-2). This standard becomes effective six months after approval.,2019-03-01,FIPS 140-3,x,x,x,x,,,,,,,,,,,,,,,,,
FIPS PUB 199,Federal Information Processing Standards Publication ,Standards for Security Categorization of Federal Information and Information Systems ,2004-02-01,FIPS 199,x,,x,x,x,,,,,,,,,,,,,,,,
FIPS PUB 200,Federal Information Processing Standards Publication ,Minimum Security Requirements for Federal Information and Information Systems ,2006-03-01,FIPS 200,x,,x,x,x,,,,,,,,,,,,,,,,
FIPS PUB 201-2,Federal Information Processing Standards Publication ,Personal Identity Verification (PIV) of Federal Employees and Contractors ,2013-08-01,FIPS 201-2,x,x,x,x,x,,,,,,,,,,,,,,,,
NIST SP 800-18 ,National Institute of Standards and Technology,"Guide for Developing Security Plans for Federal Information Systems, Revision 1",2006-02-01,SP 800-18,x,x,x,x,x,,,,,,,,,,,,,,,,
NIST SP 800-30 ,National Institute of Standards and Technology,"Guide for Conducting Risk Assessments, Revision 1",2012-09-01,SP 800-30,x,x,x,x,x,,,,,,,,,,,,,,,,
NIST SP 800-34,National Institute of Standards and Technology,"Contingency Planning Guide for Federal Information Systems, Revision 1 [includes updates as of 11-11-10]",2010-05-01,SP 800-34 ,x,x,x,x,x,,,,,,,,,,,,,,,,
NIST SP 800-37 ,National Institute of Standards and Technology,"Risk Management Framework for Information Systems and Organizations: A System Life Cycle Approach for Security and Privacy, Revision 2",2018-12-01,SP 800-37,x,x,x,x,x,,,,,,,,,,,,,,,,
NIST SP 800-39,National Institute of Standards and Technology,"Managing Information Security Risk: Organization, Mission, and Information System View",2011-03-01,SP 800-39,,x,x,x,,,,,,,,,,,,,,,,,
