Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,AC-1,AC-01a.[01][02],"Determine if an access control policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-1,AC-01a.[03][04],"Determine if access control procedures to facilitate the implementation of the access control policy and associated access controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,AC-1,AC-01a.01(a),"Determine if the [organization-defined level] access control policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,AC-1,AC-01a.01(b),"Determine if the access control policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,AC-1,AC-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the access control policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-1,AC-01c.01,Determine if the current access control policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-1,AC-01c.02,Determine if the current access control procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Account Management,AC-2,AC-02a.[01][02],Determine if account types allowed and specifically prohibited for use within the system are defined and documented,,,Examine,,,,,,,,,,,,,,,,,,,
,AC-2,AC-02b.,Determine if account managers are assigned,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02c.,Determine if [organization-defined prerequisites and criteria] for group and role membership are required,CSP-defined prerequisites and criteria,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02d.,"Determine if:
 - authorized users of the system are specified;
 - group and role membership are specified;
 - access authorizations (i.e., privileges) are specified for each account;
 - [organization-defined attributes (as required)] are specified for each account",CSP-defined attributes,,Examine,,,,,,,,,,,,,,,,,,,
,AC-2,AC-02e.,Determine if approvals are required by [organization-defined personnel or roles] for requests to create accounts,CSP-defined personnel or roles,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02f.,"Determine if accounts are created, enabled, modified, disabled, and removed in accordance with [organization-defined policy, procedures, prerequisites, and criteria]","CSP-defined policy, procedures, prerequisites, and criteria",,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02g.,Determine if the use of accounts is monitored,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02h.,"Determine if account managers and [organization-defined personnel or roles] are notified within [organization-defined time period] when accounts are no longer required, within [organization-defined time period] when users are terminated/transferred, and within [organization-defined time period] when system usage or the need to know changes for an individual",CSP-defined personnel or roles; twenty-four (24) hours; eight (8) hours; eight (8) hours,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02i.01,Determine if access to the system is authorized based on a valid access authorization,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02i.02,Determine if access to the system is authorized based on intended system usage,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02i.03,Determine if access to the system is authorized based on [organization-defined attributes],CSP-defined attributes,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02j.,Determine if accounts are reviewed for compliance with account management requirements [organization-defined frequency],monthly for privileged access; every six (6) months for non-privileged access,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02k.[01][02],Determine if a process is established and implemented for changing shared or group account authenticators (if deployed) when individuals are removed from the group,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2,AC-02l.,Determine if account management processes are aligned with personnel termination and transfer processes,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Automated System Account Management,AC-2 (1),AC-02(01),Determine if the management of system accounts is supported using [organization-defined automated mechanisms],CSP-defined automated mechanisms,,"Interview, Test",,,,,,,,,,,,,,,,,,,
