Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,SI-1,SI-01a.[01][02],"Determine if a system and information integrity policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-1,SI-01a.[03][04],"Determine if system and information integrity procedures to facilitate the implementation of the system and information integrity policy and associated system and information integrity controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,SI-1,SI-01a.01(a),"Determine if the [organization-defined level] system and information integrity policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,SI-1,SI-01a.01(b),"Determine if the system and information integrity policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,SI-1,SI-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the system and information integrity policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-1,SI-01c.01,Determine if the current system and information integrity policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-1,SI-01c.02,Determine if the current system and information integrity procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Flaw Remediation,SI-2,SI-02a.,"Determine if system flaws are identified, reported and corrected",,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-2,SI-02b.,Determine if software and firmware updates related to flaw remediation are tested for effectiveness and potential side effects before installation,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-2,SI-02c.,Determine if security-relevant software and firmware updates are installed within [organization-defined time period] of the release of the updates,within thirty (30) days of release of updates,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-2,SI-02d.,Determine if flaw remediation is incorporated into the organizational configuration management process,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Automated Flaw Remediation Status,SI-2 (2),SI-02(02),Determine if system components have applicable security-relevant software and firmware updates installed [organization-defined frequency] using [organization-defined automated mechanisms],at least monthly,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Time to Remediate Flaws and Benchmarks for Corrective Actions,SI-2 (3),SI-02(03)(a),Determine if the time between flaw identification and flaw remediation is measured,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-2 (3),SI-02(03)(b),Determine if [organization-defined benchmarks] for taking corrective actions have been established,CSP-defined benchmarks,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Malicious Code Protection,SI-3,SI-03a.,Determine if [signature based; non-signature-based] malicious code protection mechanisms are implemented at system entry and exit points to detect and eradicate malicious code,signature based and non-signature-based,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03b.,Determine if malicious code protection mechanisms are updated automatically as new releases are available in accordance with organizational configuration management policy and procedures,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03c.01[01],Determine if malicious code protection mechanisms are configured to perform periodic scans of the system [organization-defined frequency],at least weekly,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03c.01[02],"Determine if malicious code protection mechanisms are configured to perform real-time scans of files from external sources at [organization-defined endpoint; network entry and exit points] as the files are downloaded, opened, or executed in accordance with organizational policy",to include endpoints and network entry and exit points,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03c.02[01] ,Determine if malicious code protection mechanisms are configured to [Selection: block malicious code; quarantine malicious code; take action to be taken in response to malicious code detection] in response to malicious code detection,to include blocking and quarantining malicious code and alerting administrators or defined security personnel near-real-time,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03c.02[02],Determine if malicious code protection mechanisms are configured to send alerts to [organization-defined personnel or roles] in response to malicious code detection,CSP-defined personnel or roles,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03d.,Determine if the receipt of false positives during malicious code detection and eradication and the resulting potential impact on the availability of the system are addressed,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
System Monitoring,SI-4,SI-04a.01,Determine if the system is monitored to detect attacks and indicators of potential attacks in accordance with [organization-defined monitoring objectives],see Additional FedRAMP Requirements / Guidance,Guidance: See US-CERT Incident Response Reporting Guidelines,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04a.02,"Determine if the system is monitored to detect unauthorized local, network and remote connections",,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04b,Determine if unauthorized use of the system is identified through [organization-defined techniques and methods],see Additional FedRAMP Requirements / Guidance,Guidance: See US-CERT Incident Response Reporting Guidelines,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04c.01,Determine if internal monitoring capabilities are invoked or monitoring devices are deployed strategically within the system to collect organization-determined essential information,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04c.02,Determine if internal monitoring capabilities are invoked or monitoring devices are deployed at ad hoc locations within the system to track specific types of transactions of interest to the organization,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04d.,Determine if detected events and anomalies are analyzed,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04e,"Determine if the level of system monitoring activity is adjusted when there is a change in risk to organizational operations and assets, individuals, other organizations, or the Nation",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04f,Determine if a legal opinion regarding system monitoring activities is obtained,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04g,"Determine if [organization-defined system monitoring information] is provided to [organization-defined
personnel or roles] [organization-defined as needed;
organization-defined frequency]",see Additional FedRAMP Requirements / Guidance,Guidance: See US-CERT Incident Response Reporting Guidelines,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
System-wide Intrusion Detection System,SI-4 (1),SI-04(01)[01][02],Determine if individual intrusion detection tools are connected and configured to a system-wide intrusion detection system;,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Automated Tools and Mechanisms for Real-time Analysis,SI-4 (2),SI-04(02),Determine if automated tools and mechanisms are employed to support a near real-time analysis of events,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Inbound and Outbound Communications Traffic,SI-4 (4),SI-04(04)(a),Determine if criteria for unusual or unauthorized activities or conditions for inbound and outbound communications traffic are defined,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-4 (4),SI-04(04)(b),Determine if inbound and outbound communications traffic is monitored [organization-defined frequency] for [organization-defined unusual or unauthorized activities or conditions],continuously; CSP-defined unusual or unauthorized activities or conditions,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
System-Generated Alerts,SI-4 (5),SI-04(05),Determine if [organization-defined personnel or roles] are alerted when system-generated [organization-defined compromise indicators] occur,CSP-defined personnel or roles; CSP-defined compromise indicators,Guidance: In accordance with the incident response plan,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Visibility of Encrypted Communications,SI-4 (10),SI-04(10),Determine if provisions are made so that [organization-defined encrypted communications traffic] is visible to [organization-defined system monitoring tools and mechanisms],see Additional FedRAMP Requirements / Guidance,Requirement: The service provider must support Agency requirements to comply with M-21-31 (https://www.whitehouse.gov/wp-content/uploads/2021/08/M-21-31-Improving-the-Federal-Governments-Investigative-and-Remediation-Capabilities-Related-to-Cybersecurity-Incidents.pdf) and M-22-09 (https://www.whitehouse.gov/wp-content/uploads/2022/01/M-22-09.pdf).,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Analyze Communications Traffic Anomalies,SI-4 (11),SI-04(11),Determine if outbound communications traffic at the external interfaces and [organization-defined interior points] to the system is analyzed to discover anomalies,CSP-defined interior points,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Automated Organization-generated Alerts,SI-4 (12),SI-04(12),Determine if [organization-defined personnel or roles] is/are alerted using [organization-defined automated mechanisms] when [organization-defined activities that trigger alerts] indicate inappropriate or unusual activities with security or privacy implications,CSP-defined personnel or roles; CSP-defined automated mechanisms; CSP-defined activities that trigger alerts,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Wireless Intrusion Detection,SI-4 (14),SI-04(14),"Determine if a wireless intrusion detection system is employed to identify rogue wireless devices, detect attack attempts and detect potential compromises or breaches to the system",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Correlate Monitoring Information,SI-4 (16),SI-04(16),Determine if information from monitoring tools and mechanisms employed throughout the system is correlated,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Analyze Traffic and Covert Exfiltration,SI-4 (18),SI-04(18),Determine if outbound communications traffic is analyzed at interfaces external to the system and [organization-defined interior points] to detect covert exfiltration of information,CSP-defined interior points,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Risk for Individuals,SI-4 (19),SI-04(19),Determine if [organization-defined additional monitoring] is implemented on individuals who have been identified by [organization-defined sources] as posing an increased level of risk,CSP-defined additional monitoring; CSP-defined sources,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Privileged Users,SI-4 (20),SI-04(20),Determine if [organization-defined additional monitoring] of privileged users is implemented,CSP-defined additional monitoring,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
