Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,RA-1,RA-01a.[01][02],"Determine if a risk assessment policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,RA-1,RA-01a.[03][04],"Determine if risk assessment procedures to facilitate the implementation of the risk assessment policy and associated risk assessment controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,RA-1,RA-01a.01(a),"Determine if the [organization-defined level] risk assessment policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,RA-1,RA-01a.01(b),"Determine if the risk assessment policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,RA-1,RA-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the risk assessment policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,RA-1,RA-01c.01,Determine if the current risk assessment policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,RA-1,RA-01c.02,Determine if the current risk assessment procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Security Categorization,RA-2,RA-02a.,"Determine if the system and information it processes, stores, and transmits are categorized",,,Examine,,,,,,,,,,,,,,,,,,,
,RA-2,RA-02b.,"Determine if the security categorization results, including supporting rationale, are documented in the security plan for the system",,,Examine,,,,,,,,,,,,,,,,,,,
,RA-2,RA-02c.,Determine if the authorizing official or authorizing official designated representative reviews and approves the security categorization decision,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Risk Assessment,RA-3,RA-03a.01-02,"Determine if a risk assessment is conducted to identify threats to and vulnerabilities in the system, including the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system; the information it processes, stores, or transmits; and any related information",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,RA-3,RA-03a.03,Determine if a risk assessment is conducted to determine the likelihood and impact of adverse effects on individuals arising from the processing of personally identifiable information,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,RA-3,RA-03b.,Determine if risk assessment results and risk management decisions from the organization and mission or business process perspectives are integrated with system-level risk assessments,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,RA-3,RA-03c.,"Determine if risk assessment results are documented in [organization-defined selection: security and privacy plans; risk assessment report, organization-defined document]",security assessment report,,Examine,,,,,,,,,,,,,,,,,,,
,RA-3,RA-03d.,Determine if risk assessment results are reviewed [organization-defined frequency],at least every three (3) years and whenever a significant change occurs,"Guidance: Significant change is defined in NIST Special Publication 800-37 Revision 2, Appendix F","Interview, Test",,,,,,,,,,,,,,,,,,,
,RA-3,RA-03e.,Determine if risk assessment results are disseminated to [organization-defined personnel or roles],CSP-defined personnel or roles,"Requirement: Include all Authorizing Officials
","Interview, Test",,,,,,,,,,,,,,,,,,,
,RA-3,RA-03f.,"Determine if the risk assessment is updated [organization-defined frequency] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system",at least every three (3) years,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Supply Chain Risk Assessment,RA-3 (1),RA-03(01)(a),"Determine if supply chain risks associated with [organization-defined systems, system components, and system services] are assessed","CSP-defined systems, system components, and system services",,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,RA-3 (1),RA-03(01)(b),"Determine if the supply chain risk assessment is updated [organization-defined frequency], when there are significant changes to the relevant supply chain, or when changes to the system, environments of operation, or other conditions may necessitate a change in the supply chain",CSP-defined frequency,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Vulnerability Monitoring and Scanning,RA-5,RA-05a.,"Determine if systems and hosted applications are monitored and scanned for vulnerabilities:
-at [organization-defined frequency and/or randomly in accordance with organization-defined process];
-when new vulnerabilities potentially affecting the system are identified and reported",monthly operating system/infrastructure; monthly web applications (including APIs) and databases,"Guidance: See the FedRAMP Documents page> Vulnerability Scanning Requirements 
https://www.FedRAMP.gov/documents/

Requirement: an accredited independent assessor scans operating systems/infrastructure, web applications, and databases once annually
","Interview, Test",,,,,,,,,,,,,,,,,,,
,RA-5,RA-05b.,Determine if vulnerability monitoring tools and techniques are employed to facilitate interoperability among tools,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,RA-5,RA-05b.01.02.03,"Determine if vulnerability monitoring tools and techniques use standards: 
-for enumeration in regards to platforms, software flaws, and improper configurations
-for formatting checklists and test procedures 
-for measuring vulnerability impact",,"Guidance: Informational findings from a scanner are detailed as a returned result that holds no vulnerability risk or severity and for FedRAMP does not require an entry onto the POA&M or entry onto the RET during any assessment phase.
Warning findings, on the other hand, are given a risk rating (low, moderate, high or critical) by the scanning solution and should be treated like any other finding with a risk or severity rating for tracking purposes onto either the POA&M or RET depending on when the findings originated (during assessments or during monthly continuous monitoring). If a warning is received during scanning, but further validation turns up no actual issue then this item should be categorized as a false positive. If this situation presents itself during an assessment phase (initial assessment, annual assessment or any SCR), follow guidance on how to report false positives in the Security Assessment Report (SAR). If this situation happens during monthly continuous monitoring, a deviation request will need to be submitted per the FedRAMP Vulnerability Deviation Request Form.
Warnings are commonly associated with scanning solutions that also perform compliance scans, and if the scanner reports a “warning” as part of the compliance scanning of a CSO, follow guidance surrounding the tracking of compliance findings during either the assessment phases (initial assessment, annual assessment or any SCR) or monthly continuous monitoring as it applies. Guidance on compliance scan findings can be found by searching on “Tracking of Compliance Scans” in FAQs.","Interview, Test",,,,,,,,,,,,,,,,,,,
,RA-5,RA-05c.,Determine if vulnerability scan reports and results from vulnerability monitoring are analyzed,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,RA-5,RA-05d.,Determine if legitimate vulnerabilities are remediated [organization-defined response times] in accordance with an organizational assessment of risk,high-risk vulnerabilities mitigated within thirty (30) days from date of discovery; moderate-risk vulnerabilities mitigated within ninety (90) days from date of discovery; low risk vulnerabilities mitigated within one hundred and eighty (180) days from date of discovery,Requirement: If a vulnerability is listed among the CISA Known Exploited Vulnerability (KEV) Catalog (https://www.cisa.gov/known-exploited-vulnerabilities-catalog) the KEV remediation date supersedes the FedRAMP parameter requirement.,"Interview, Test",,,,,,,,,,,,,,,,,,,
,RA-5,RA-05e.,Determine if information obtained from the vulnerability monitoring process and control assessments is shared with [organization-defined personnel or roles] to help eliminate similar vulnerabilities in other systems,CSP-defined personnel or roles,"Requirement: to include all Authorizing Officials

","Interview, Test",,,,,,,,,,,,,,,,,,,
