Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,AT-1,AT-01a.[01][02],"Determine if an awareness and training policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-1,AT-01a.[03][04],"Determine if awareness and training procedures to facilitate the implementation of the awareness and training policy and associated awareness and training controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,AT-1,AT-01a.01(a),"Determine if the [organization-defined level] awareness and training policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,AT-1,AT-01a.01(b),"Determine if the awareness and training policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,AT-1,AT-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the awareness and training policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-1,AT-01c.01,Determine if the current awareness and training policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-1,AT-01c.02,Determine if the current awareness and training procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Literacy Training and Awareness,AT-2,AT-02a.01[01][03],"Determine if security literacy training is provided to system users (including managers, senior executives, and contractors) as part of initial training for new users and [organization-defined frequency] thereafter",at least annually,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-2,AT-02a.01[02][04],"Determine if privacy literacy training is provided to system users (including managers, senior executives, and contractors) as part of initial training for new users and [organization-defined frequency] thereafter",at least annually,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-2,AT-02a.02,"Determine if security and privacy literacy training is provided to system users (including managers, senior executives, and contractors) when required by system changes or following [organization-defined events]",CSP-defined events,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-2,AT-02b.,Determine if [organization-defined awareness techniques] are employed to increase the security and privacy awareness of system users,CSP-defined awareness techniques,,Test,,,,,,,,,,,,,,,,,,,
,AT-2,AT-02c.,Determine if literacy training and awareness content is updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually and after significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-2,AT-02d.,Determine if lessons learned from internal or external security incidents or breaches are incorporated into literacy training and awareness techniques,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Insider Threat,AT-2 (2),AT-02(02),Determine if literacy training on recognizing and reporting potential indicators of insider threat is provided,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Social Engineering and Mining,AT-2 (3),AT-02(03),Determine if literacy training on recognizing and reporting potential and actual instances of social engineering and social mining is provided,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Role-Based Training,AT-3,AT-03a.01,"Determine if role-based security and privacy training is provided to [organization-defined roles and responsibilities] before authorizing access to the system, information, or performing assigned duties and [organization-defined frequency] thereafter",CSP-defined roles and responsibilities; at least annually,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-3,AT-03a.02,Determine if role-based security and privacy training is provided to personnel with assigned security roles and responsibilities when required by system changes,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-3,AT-03b.,Determine if role-based training content is updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually,,Test,,,,,,,,,,,,,,,,,,,
,AT-3,AT-03c.,Determine if lessons learned from internal or external security incidents or breaches are incorporated into role-based training,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Training Records,AT-4,AT-04a.,"Determine if information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training, are documented and monitored",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AT-4,AT-04b.,Determine if individual training records are retained for [organization-defined time period],at least one (1) year or 1 year after completion of specific training program,,Test,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
