Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,MA-1,MA-01a.[01][02],"Determine if a maintenance policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MA-1,MA-01a.[03][04],"Determine if maintenance procedures to facilitate the implementation of the maintenance policy and associated maintenance controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,MA-1,MA-01a.01(a),"Determine if the [organization-defined level] maintenance policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,MA-1,MA-01a.01(b),"Determine if the maintenance policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,MA-1,MA-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the maintenance policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MA-1,MA-01c.01,Determine if the current maintenance policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MA-1,MA-01c.02,Determine if the current maintenance procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Controlled Maintenance,MA-2,MA-02a.,"Determine if maintenance, repair, and replacement of system components are scheduled, documented, and reviewed in accordance with manufacturer or vendor specifications and/or organizational requirements",,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,MA-2,MA-02b.,"Determine if all maintenance activities, whether performed on site or remotely and whether the system or system components are serviced on site or removed to another location, are approved and monitored",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MA-2,MA-02c.,"Determine if [organization-defined personnel or roles] is/are required to explicitly approve the removal of the system or system components from organizational facilities for off-site maintenance, repair, or replacement",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MA-2,MA-02d.,"Determine if equipment is sanitized to remove [organization-defined information] from associated media prior to removal from organizational facilities for off-site maintenance, repair, or replacement",CSP-defined information,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MA-2,MA-02e.,"Determine if all potentially impacted controls are checked to verify that the controls are still functioning properly following maintenance, repair, or replacement actions",,,Test,,,,,,,,,,,,,,,,,,,
,MA-2,MA-02f.,Determine if [organization-defined information] is included in organizational maintenance records,CSP-defined information,,Test,,,,,,,,,,,,,,,,,,,
Maintenance Tools,MA-3,MA-03a.,"Determine if the use of system maintenance tools is approved, controlled, and monitored",,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,MA-3,MA-03b.,Determine if previously approved system maintenance tools are reviewed [in accordance with the organization-defined frequency],at least annually,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
