Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,AU-1,AU-01a.[01][02],"Determine if an audit and accountability policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-1,AU-01a.[03][04],"Determine if audit and accountability procedures to facilitate the implementation of the audit and accountability policy and associated audit and accountability controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,AU-1,AU-01a.01(a),"Determine if the [organization-defined level] audit and accountability policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,AU-1,AU-01a.01(b),"Determine if the audit and accountability policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,AU-1,AU-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the audit and accountability policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-1,AU-01c.01,Determine if the current audit and accountability policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-1,AU-01c.02,Determine if the current audit and accountability procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Event Logging,AU-2,AU-02a.,Determine if [organization-defined event types] that the system is capable of logging are identified in support of the audit logging function,"successful and unsuccessful account logon events, account management events, object access, policy change, privilege functions, process tracking, and system events. For Web applications: all administrator activity, authentication checks, authorization checks, data deletions, data access, data changes, and permission changes",,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-2,AU-02b.,Determine if the event logging function is coordinated with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-2,AU-02c.[01],Determine if [organization-defined event types (subset of organization-defined in AU-02.a)] are specified for logging within the system,CSP-defined event types,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-2,AU-02c.[02],Determine if the specified event types are logged within the system [organization-defined frequency or situation],continuously,,Test,,,,,,,,,,,,,,,,,,,
,AU-2,AU-02d.,Determine if a rationale is provided for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents,,Requirement: Coordination between service provider and consumer shall be documented and accepted by the AO.,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AU-2,AU-02e.,Determine if the event types selected for logging are reviewed and updated [organization-defined frequency],annually and whenever there is a change in the threat environment,Guidance: Annually or whenever changes in the threat environment are communicated to the service provider by the AO,Test,,,,,,,,,,,,,,,,,,,
Content of Audit Records,AU-3,AU-03,"Determine if audit records contain information that establishes:
 - what type of event occurred;
 - when the event occurred;
 - where the event occurred;
 - the source of the event;
 - the outcome of the event;
 - the identity of any individuals, subjects, or objects/entities associated with the event",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Additional Audit Information,AU-3 (1),AU-03(01),Determine if generated audit records contain the following [organization-defined additional information],"session, connection, transaction, or activity duration; for client-server transactions, the number of bytes received and bytes sent; additional informational messages to diagnose or identify the event; characteristics that describe or identify the object or resource being acted upon; individual identities of group account users; full-text of privileged commands","Guidance: For client-server transactions, the number of bytes sent and received gives bidirectional transfer information that can be helpful during an investigation or inquiry.","Interview, Test",,,,,,,,,,,,,,,,,,,
Audit Log Storage Capacity,AU-4,AU-04,Determine if audit log storage capacity is allocated to accommodate [organization-defined audit log retention requirements],CSP-defined audit log retention requirements,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Response to Audit Logging Process Failures,AU-5,AU-05a.,Determine if [organization-defined personnel or roles] are alerted in the event of an audit logging process failure within [organization-defined time period],CSP-defined personnel or roles within CSP-defined time period,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AU-5,AU-05b.,Determine if [organization-defined additional actions] are taken in the event of an audit logging process failure,overwrite oldest record,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Storage Capacity Warning,AU-5 (1),AU-05(01),"Determine if a warning is provided to [organization-defined personnel, roles, and/or locations] within [organization-defined time period] when allocated audit log storage volume reaches [organization-defined percentage] of repository maximum audit log storage capacity","CSP-defined personnel, roles, and/or locations; CSP-defined time period; CSP-defined percentage",,"Interview, Test",,,,,,,,,,,,,,,,,,,
Real-time Alerts,AU-5 (2),AU-05(02),"Determine if an alert is provided within [organization-defined real-time period] to [organization-defined personnel, roles, and/or locations] when [organization-defined audit logging failure events requiring real-time alerts] occur","real-time; service provider personnel with authority to address failed audit events; audit failure events requiring real-time alerts, as defined by organization audit policy",,"Interview, Test",,,,,,,,,,,,,,,,,,,
"Audit Record Review, Analysis, and Reporting",AU-6,AU-06a.,Determine if system audit records are reviewed and analyzed [organization-defined frequency] for indications of [organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity,at least weekly; CSP-defined inappropriate or unusual activity,"Requirement: Coordination between service provider and consumer shall be documented and accepted by the AO. In multi-tenant environments, capability and means for providing review, analysis, and reporting to consumer for data pertaining to consumer shall be documented.","Interview, Test",,,,,,,,,,,,,,,,,,,
,AU-6,AU-06b.,Determine if findings are reported to [organization-defined personnel or roles],CSP-defined personnel or roles,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AU-6,AU-06c.,"Determine if the level of audit record review, analysis, and reporting within the system is adjusted when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Automated Process Integration,AU-6 (1),AU-06(01),"Determine if audit record review, analysis, and reporting processes are integrated using [organization-defined automated mechanisms]",CSP-defined automated mechanisms,,"Interview, Test",,,,,,,,,,,,,,,,,,,
