Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,CA-1,CA-01a.[01][02],"Determine if an assessment, authorization, and monitoring policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CA-1,CA-01a.[03][04],"Determine if assessment, authorization, and monitoring procedures to facilitate the implementation of the assessment, authorization, and monitoring policy and associated assessment, authorization, and monitoring controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,CA-1,CA-01a.01(a),"Determine if the [organization-defined level] assessment, authorization, and monitoring policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,CA-1,CA-01a.01(b),"Determine if the assessment, authorization, and monitoring policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,CA-1,CA-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the assessment, authorization, and monitoring policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CA-1,CA-01c.01,"Determine if the current assessment, authorization, and monitoring policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events]",at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CA-1,CA-01c.02,"Determine if the current assessment, authorization, and monitoring procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events]",at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Control Assessments,CA-2,CA-02a.,Determine if an appropriate assessor or assessment team is selected for the type of assessment to be conducted,,Guidance: Reference FedRAMP Annual Assessment Guidance,Examine,,,,,,,,,,,,,,,,,,,
,CA-2,CA-02b.01,"Determine if a control assessment plan is developed that describes the scope of the assessment, including controls and control enhancements under assessment",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CA-2,CA-02b.02,"Determine if a control assessment plan is developed that describes the scope of the assessment, including assessment procedures to be used to determine control effectiveness",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
