Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,CP-1,CP-01a.[01][02],"Determine if a contingency planning policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CP-1,CP-01a.[03][04],"Determine if contingency planning procedures to facilitate the implementation of the contingency planning policy and associated contingency planning controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,CP-1,CP-01a.01(a),"Determine if the [organization-defined level] contingency planning policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,CP-1,CP-01a.01(b),"Determine if the contingency planning policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,CP-1,CP-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the contingency planning policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CP-1,CP-01c.01,Determine if the current contingency planning policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CP-1,CP-01c.02,Determine if the current contingency planning procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Contingency Plan,CP-2,CP-02a.01,Determine if a contingency plan for the system is developed that identifies essential mission and business functions and associated contingency requirements,,Requirement: CSPs must use the FedRAMP Information System Contingency Plan (ISCP) Template (available on the fedramp.gov: https://www.fedramp.gov/assets/resources/templates/SSP-A06-FedRAMP-ISCP-Template.docx). ,Examine,,,,,,,,,,,,,,,,,,,
,CP-2,CP-02a.02,"Determine if a contingency plan for the system is developed that provides recovery objectives, restoration priorities and metrics",,,Examine,,,,,,,,,,,,,,,,,,,
,CP-2,CP-02a.03,"Determine if a contingency plan for the system is developed that addresses contingency roles, responsibilities and assigned individuals with contact information",,Requirement: For authorizations the contingency lists include designated FedRAMP personnel.,Examine,,,,,,,,,,,,,,,,,,,
,CP-2,CP-02a.04,"Determine if a contingency plan for the system is developed that addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure",,,Examine,,,,,,,,,,,,,,,,,,,
,CP-2,CP-02a.05,"Determine if a contingency plan for the system is developed that addresses eventual, full-system restoration without deterioration of the controls originally planned and implemented",,,Examine,,,,,,,,,,,,,,,,,,,
,CP-2,CP-02a.06,Determine if a contingency plan for the system is developed that addresses the sharing of contingency information,,,Examine,,,,,,,,,,,,,,,,,,,
,CP-2,CP-02a.07,Determine if a contingency plan for the system is developed that is reviewed and approved by [organization-defined personnel or roles],CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,CP-2,CP-02b.[01],Determine if copies of the contingency plan are distributed to [organization-defined key contingency personnel (identified by name and/or by role) to whom copies of the contingency plan are distributed],CSP-defined key contingency personnel (identified by name and/or role) to whom copies of the contingency plan are distributed,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
