Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,SA-1,SA-01a.[01][02],"Determine if a system and services acquisition policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-1,SA-01a.[03][04],"Determine if system and services acquisition procedures to facilitate the implementation of the system and services acquisition policy and associated system and services acquisition controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,SA-1,SA-01a.01(a),"Determine if the [organization-defined level] system and services acquisition policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,SA-1,SA-01a.01(b),"Determine if the system and services acquisition policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,SA-1,SA-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the system and services acquisition policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-1,SA-01c.01,Determine if the current system and services acquisition policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-1,SA-01c.02,Determine if the current system and services acquisition procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Allocation of Resources,SA-2,SA-02a.[01],Determine if the high-level security requirements for the system or system service are determined in mission and business process planning,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-2,SA-02a.[02],Determine if the high-level privacy requirements for the system or system service are determined in mission and business process planning,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-2,SA-02b.[01],Determine if the resources required to protect the system or system service are determined and documented as part of the organizational capital planning and investment control process,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-2,SA-02b.[02],Determine if the resources required to protect the system or system service are allocated as part of the organizational capital planning and investment control process,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-2,SA-02c.[01],Determine if a discrete line item for information security is established in organizational programming and budgeting documentation,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-2,SA-02c.[02],Determine if a discrete line item for privacy is established in organizational programming and budgeting documentation,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
System Development Life Cycle,SA-3,SA-03a.[01],"Determine if the system is acquired, developed, and managed using [organization-defined system 
development life cycle] that incorporates information security considerations",CSP-defined system development life cycle,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-3,SA-03a.[02],"Determine if the system is acquired, developed, and managed using [organization-defined system 
development life cycle] that incorporates privacy considerations",CSP-defined system development life cycle,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-3,SA-03b.[01],Determine if information security roles and responsibilities are defined and documented throughout the system development life cycle,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-3,SA-03b.[02],Determine if privacy roles and responsibilities are defined and documented throughout the system development life cycle,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-3,SA-03c.[01],Determine if individuals with information security roles and responsibilities are identified,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-3,SA-03c.[02],Determine if individuals with privacy roles and responsibilities are identified,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-3,SA-03d.[01],Determine if organizational information security risk management processes are integrated into system development life cycle activities,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-3,SA-03d.[02],Determine if organizational privacy risk management processes are integrated into system development life cycle activities,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Acquisition Process,SA-4,SA-04a.[01]c.[01]d.[01],"Determine if the following are included explicitly or by reference using [Selection: standardized contract language; organization-defined contract language] in the acquisition contract for the system, system component, or system service:
-security functional requirements, descriptions, and criteria
-security assurance requirements, descriptions, and criteria
-controls needed to satisfy the security requirements, descriptions, and criteria
",see Additional FedRAMP Requirements / Guidance,"Requirement: The service provider must comply with Federal Acquisition Regulation (FAR) Subpart 7.103, and Section 889 of the John S. McCain National Defense Authorization Act (NDAA) for Fiscal Year 2019 (Pub. L. 115-232), and FAR Subpart 4.21, which implements Section 889 (as well as any added updates related to FISMA to address security concerns in the system acquisitions process)

Guidance: The use of Common Criteria (ISO/IEC 15408) evaluated products is strongly preferred. See https://www.niap-ccevs.org/Product/index.cfm or https://www.commoncriteriaportal.org/products/","Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-4,SA-04a.[02]c.[02]d.[02],"Determine if the following are included explicitly or by reference using [Selection: standardized contract language; organization-defined contract language] in the acquisition contract for the system, system component, or system service:
-privacy functional requirements, descriptions, and criteria
-privacy assurance requirements, descriptions, and criteria
-controls needed to satisfy the privacy requirements, descriptions, and criteria",see Additional FedRAMP Requirements / Guidance,"Requirement: The service provider must comply with Federal Acquisition Regulation (FAR) Subpart 7.103, and Section 889 of the John S. McCain National Defense Authorization Act (NDAA) for Fiscal Year 2019 (Pub. L. 115-232), and FAR Subpart 4.21, which implements Section 889 (as well as any added updates related to FISMA to address security concerns in the system acquisitions process)

Guidance: The use of Common Criteria (ISO/IEC 15408) evaluated products is strongly preferred. See https://www.niap-ccevs.org/Product/index.cfm or https://www.commoncriteriaportal.org/products/","Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-4,SA-04b.,"Determine if strength of mechanism requirements, descriptions, and criteria are included explicitly or by reference using [Selection: standardized contract language; organization-defined contract language] in the acquisition contract for the system, system component, or system service",see Additional FedRAMP Requirements / Guidance,"Requirement: The service provider must comply with Federal Acquisition Regulation (FAR) Subpart 7.103, and Section 889 of the John S. McCain National Defense Authorization Act (NDAA) for Fiscal Year 2019 (Pub. L. 115-232), and FAR Subpart 4.21, which implements Section 889 (as well as any added updates related to FISMA to address security concerns in the system acquisitions process)

Guidance: The use of Common Criteria (ISO/IEC 15408) evaluated products is strongly preferred. See https://www.niap-ccevs.org/Product/index.cfm or https://www.commoncriteriaportal.org/products/","Examine, Interview",,,,,,,,,,,,,,,,,,,
,SA-4,SA-04e.,"Determine if security and privacy documentation requirements, descriptions, and criteria are included explicitly or by reference using [Selection: standardized contract language; organization-defined contract language] in the acquisition contract for the system, system component, or system service",see Additional FedRAMP Requirements / Guidance,"Requirement: The service provider must comply with Federal Acquisition Regulation (FAR) Subpart 7.103, and Section 889 of the John S. McCain National Defense Authorization Act (NDAA) for Fiscal Year 2019 (Pub. L. 115-232), and FAR Subpart 4.21, which implements Section 889 (as well as any added updates related to FISMA to address security concerns in the system acquisitions process)

Guidance: The use of Common Criteria (ISO/IEC 15408) evaluated products is strongly preferred. See https://www.niap-ccevs.org/Product/index.cfm or https://www.commoncriteriaportal.org/products/","Examine, Interview",,,,,,,,,,,,,,,,,,,
