Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,SR-1,SR-01a.[01][02],"Determine if a supply chain risk management policy is developed, documented and disseminated to [organization-defined personnel or roles]","CSP-defined personnel or roles, to include chief privacy and ISSO and/or similar role or designees",,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SR-1,SR-01a.[03][04],"Determine if supply chain risk management procedures to facilitate the implementation of the supply chain risk management policy and associated supply chain risk management controls are developed, documented and disseminated to [organization-defined personnel or roles]","CSP-defined personnel or roles, to include chief privacy and ISSO and/or similar role or designees",,Examine,,,,,,,,,,,,,,,,,,,
,SR-1,SR-01a.01(a),"Determine if the [organization-defined level] supply chain risk management policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,SR-1,SR-01a.01(b),"Determine if the supply chain risk management policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,SR-1,SR-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the supply chain risk management policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SR-1,SR-01c.01,Determine if the current supply chain risk management policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SR-1,SR-01c.02,Determine if the current supply chain risk management procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Supply Chain Risk Management Plan,SR-2,SR-02a.[01],Determine if a plan for managing supply chain risks is developed,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SR-2,SR-02a.[02][03][04][05][06][07][08][09],"Determine if the supply chain risk management plan addresses risks associated with the research, development, design, manufacturing, acquisition, delivery, integration, operation and disposal of [organization-defined systems, system components, or system services]","CSP-defined systems, system components, or system services",,Examine,,,,,,,,,,,,,,,,,,,
,SR-2,SR-02b.,"Determine if the supply chain risk management plan is reviewed and updated [organization-defined frequency] or as required to address threat, organizational, or environmental changes",at least annually,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SR-2,SR-02c.,Determine if the supply chain risk management plan is protected from unauthorized disclosure and modification,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Establish SCRM Team,SR-2 (1),SR-02(01),"Determine if a supply chain risk management team consisting of [organization-defined personnel, roles and responsibilities] is established to lead and support [organization-defined supply chain risk management activities]","CSP-defined personnel, roles, and responsibilities; CSP-defined supply chain risk management activities",,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Supply Chain Controls and Processes,SR-3,SR-03a.[01],Determine if a process or processes is/are established to identify and address weaknesses or deficiencies in the supply chain elements and processes of [organization-defined system or system component],see Additional FedRAMP Requirements / Guidance,"Requirement: CSOs must document and maintain the supply chain custody, including replacement devices, to ensure the integrity of the devices before being introduced to the boundary","Examine, Interview",,,,,,,,,,,,,,,,,,,
,SR-3,SR-03a.[02],Determine if the process or processes to identify and address weaknesses or deficiencies in the supply chain elements and processes of [organization-defined system or system component] is/are coordinated with [organization-defined supply chain personnel],CSP-defined system or system component; CSP-defined supply chain personnel,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SR-3,SR-03b.,"Determine if [organization-defined supply chain controls] are employed to protect against supply chain risks to the system, system component, or system service and to limit the harm or consequences from supply chain-related events",CSP-defined supply chain controls,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SR-3,SR-03c.,Determine if the selected and implemented supply chain processes and controls are documented in [Selection: security and privacy plans; supply chain risk management plan; organization-defined document identifying the selected and implemented supply chain processes and controls],"CSP-defined security and privacy plans,  supply chain risk management plan, CSP-defined document identifying the selected and implemented supply chain processes and controls",,"Interview, Test",,,,,,,,,,,,,,,,,,,
"Acquisition Strategies, Tools, and Methods",SR-5,SR-05,"Determine if [organization-defined acquisition strategies, contract tools, and procurement methods] are employed to protect, identify and mitigate against supply chain risks","CSP-defined strategies, tools, and methods",,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Supplier Assessments and Reviews,SR-6,SR-06,"Determine if the supply chain-related risks associated with suppliers or contractors and the systems, system components, or system services they provide are assessed and reviewed [organization-defined frequency]",at least annually,Requirement: CSOs must ensure that their supply chain vendors build and test their systems in alignment with NIST SP 800-171 or a commensurate security and compliance framework. CSOs must ensure that vendors are compliant with physical facility access and logical access controls to supplied products.  ,"Interview, Test",,,,,,,,,,,,,,,,,,,
Notification Agreements,SR-8,SR-08,"Determine if agreements and procedures are established with entities involved in the supply chain for the system, system components, or system service for [Selection: notification of supply chain compromises; results of assessments or audits; organization-defined information]",notification of supply chain compromises and results of assessment or audits,Requirement: CSOs must ensure and document how they receive notifications from their supply chain vendor of newly discovered vulnerabilities including zero-day vulnerabilities.,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Tamper Resistance and Detection,SR-9,SR-09,"Determine if a tamper protection program is implemented for the system, system component, or system service",,Requirement: CSOs must ensure vendors provide authenticity of software and patches supplied to the service provider including documenting the safeguards in place. ,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Multiple Stages of System Development Life Cycle,SR-9 (1),SR-09(01),"Determine if anti-tamper technologies, tools, and techniques are employed throughout the system development life cycle",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Inspection of Systems or Components,SR-10,SR-10,Determine if [organization-defined systems or system components] are inspected [at random; at [organization-defined frequency]; upon [organization-defined indications of need for inspection] to detect tampering,CSP-defined systems or system components] are inspected [at random; at [organization-defined frequency]; upon [organization-defined indications of need for inspection,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Component Authenticity,SR-11,SR-11a.[01][02],Determine if anti-counterfeit policy and anti-counterfeit procedures are developed and implemented,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SR-11,SR-11a.[03][04],Determine if the anti-counterfeit procedures include the means to detect and prevent counterfeit components entering the system,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SR-11,SR-11b,"Determine if counterfeit system components are reported to [organization-defined source of counterfeit component, external reporting organizations, personnel or roles]",see Additional FedRAMP Requirements / Guidance,Requirement: CSOs must ensure that their supply chain vendors provide authenticity of software and patches and the vendor must have a plan to protect the development pipeline. ,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Anti-Counterfeit Training,SR-11 (1),SR-11(01),"Determine if [organization-defined personnel or roles] are trained to detect counterfeit system components (including hardware, software, and firmware).",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
