Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,PE-1,PE-01a.[01][02],"Determine if a physical and environmental protection policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-1,PE-01a.[03][04],"Determine if physical and environmental protection procedures to facilitate the implementation of the physical and environmental protection policy and associated physical and environmental protection controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,PE-1,PE-01a.01(a),"Determine if the [organization-defined level] physical and environmental protection policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,PE-1,PE-01a.01(b),"Determine if the physical and environmental protection policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,PE-1,PE-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the physical and environmental protection policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-1,PE-01c.01,Determine if the current physical and environmental protection policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-1,PE-01c.02,Determine if the current physical and environmental protection procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Physical Access Authorizations,PE-2,PE-02a.,"Determine if a list of individuals with authorized access to the facility where the system resides has been developed, approved, and maintained",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-2,PE-02b.,Determine if authorization credentials are issued for facility access,,,Test,,,,,,,,,,,,,,,,,,,
,PE-2,PE-02c.,Determine if the access list detailing authorized facility access by individuals is reviewed in accordance with [organization-defined frequency],at least annually,,Test,,,,,,,,,,,,,,,,,,,
,PE-2,PE-02d.,Determine if individuals are removed from the facility access list when access is no longer required,,,Test,,,,,,,,,,,,,,,,,,,
