Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,SI-1,SI-01a.[01][02],"Determine if a system and information integrity policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-1,SI-01a.[03][04],"Determine if system and information integrity procedures to facilitate the implementation of the system and information integrity policy and associated system and information integrity controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,SI-1,SI-01a.01(a),"Determine if the [organization-defined level] system and information integrity policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,SI-1,SI-01a.01(b),"Determine if the system and information integrity policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,SI-1,SI-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the system and information integrity policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-1,SI-01c.01,Determine if the current system and information integrity policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-1,SI-01c.02,Determine if the current system and information integrity procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Flaw Remediation,SI-2,SI-02a.,"Determine if system flaws are identified, reported and corrected",,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-2,SI-02b.,Determine if software and firmware updates related to flaw remediation are tested for effectiveness and potential side effects before installation,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-2,SI-02c.,Determine if security-relevant software and firmware updates are installed within [organization-defined time period] of the release of the updates,within thirty (30) days of release of updates,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-2,SI-02d.,Determine if flaw remediation is incorporated into the organizational configuration management process,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Malicious Code Protection,SI-3,SI-03a.,Determine if [signature based; non-signature-based] malicious code protection mechanisms are implemented at system entry and exit points to detect and eradicate malicious code,signature based and non-signature-based,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03b.,Determine if malicious code protection mechanisms are updated automatically as new releases are available in accordance with organizational configuration management policy and procedures,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03c.01[01],Determine if malicious code protection mechanisms are configured to perform periodic scans of the system [organization-defined frequency],at least weekly,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03c.01[02],"Determine if malicious code protection mechanisms are configured to perform real-time scans of files from external sources at [organization-defined endpoint; network entry and exit points] as the files are downloaded, opened, or executed in accordance with organizational policy",to include endpoints and network entry and exit points,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03c.02[01] ,Determine if malicious code protection mechanisms are configured to [Selection: block malicious code; quarantine malicious code; take action to be taken in response to malicious code detection] in response to malicious code detection,to include blocking and quarantining malicious code and alerting administrators or defined security personnel near-real-time,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03c.02[02],Determine if malicious code protection mechanisms are configured to send alerts to [organization-defined personnel or roles] in response to malicious code detection,CSP-defined personnel or roles,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-3,SI-03d.,Determine if the receipt of false positives during malicious code detection and eradication and the resulting potential impact on the availability of the system are addressed,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
System Monitoring,SI-4,SI-04a.01,Determine if the system is monitored to detect attacks and indicators of potential attacks in accordance with [organization-defined monitoring objectives],see Additional FedRAMP Requirements / Guidance,Guidance: See US-CERT Incident Response Reporting Guidelines,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04a.02,"Determine if the system is monitored to detect unauthorized local, network and remote connections",,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04b,Determine if unauthorized use of the system is identified through [organization-defined techniques and methods],see Additional FedRAMP Requirements / Guidance,Guidance: See US-CERT Incident Response Reporting Guidelines,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04c.01,Determine if internal monitoring capabilities are invoked or monitoring devices are deployed strategically within the system to collect organization-determined essential information,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04c.02,Determine if internal monitoring capabilities are invoked or monitoring devices are deployed at ad hoc locations within the system to track specific types of transactions of interest to the organization,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04d.,Determine if detected events and anomalies are analyzed,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04e,"Determine if the level of system monitoring activity is adjusted when there is a change in risk to organizational operations and assets, individuals, other organizations, or the Nation",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04f,Determine if a legal opinion regarding system monitoring activities is obtained,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,SI-4,SI-04g,"Determine if [organization-defined system monitoring information] is provided to [organization-defined
personnel or roles] [organization-defined as needed;
organization-defined frequency]",see Additional FedRAMP Requirements / Guidance,Guidance: See US-CERT Incident Response Reporting Guidelines,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
"Security Alerts, Advisories, and Directives",SI-5,SI-05a,"Determine if system security alerts, advisories, and directives are received from [organization-defined external organizations] on an ongoing basis",to include US-CERT and Cybersecurity and Infrastructure Security Agency (CISA) Directives,Requirement: Service Providers must address the CISA Emergency and Binding Operational Directives applicable to their cloud service offering per FedRAMP guidance.  This includes listing the applicable directives and stating compliance status,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-5,SI-05b.,"Determine if internal security alerts, advisories, and directives are generated as deemed necessary",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-5,SI-05c,"Determine if security alerts, advisories, and directives are disseminated to [organization-defined [organization-defined personnel or roles]; [organization-defined elements]; [organization-defined external organizations]",to include system security personnel and administrators with configuration/patch-management responsibilities,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,SI-5,SI-05d,Determine if security directives are implemented in accordance with established time frames or if the issuing organization is notified of the degree of noncompliance,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Information Management and Retention,SI-12,SI-12,"Determine if information within the system and information output from the system is managed and retained in accordance with applicable laws, Executive Orders, directives, regulations, policies, standards, guidelines, and operational requirements",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
