Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,CM-1,CM-01a.[01][02],"Determine if a configuration management policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CM-1,CM-01a.[03][04],"Determine if configuration management procedures to facilitate the implementation of the configuration management policy and associated configuration management controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,CM-1,CM-01a.01(a),"Determine if the [organization-defined level] configuration management policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,CM-1,CM-01a.01(b),"Determine if the configuration management policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,CM-1,CM-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the configuration management policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CM-1,CM-01c.01,Determine if the current configuration management policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CM-1,CM-01c.02,Determine if the current configuration management procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Baseline Configuration,CM-2,CM-02a.,"Determine if a current baseline configuration of the system is developed, documented and maintained under configuration control",,,Examine,,,,,,,,,,,,,,,,,,,
,CM-2,CM-02b.01,Determine if the baseline configuration of the system is reviewed and updated [in accordance with the organization-defined frequency],at least annually and when a significant change occurs,"Guidance: Significant change is defined in NIST Special Publication 800-37 Revision 2, Appendix F
","Examine, Interview",,,,,,,,,,,,,,,,,,,
,CM-2,CM-02b.02,Determine if the baseline configuration of the system is reviewed and updated when required due to [organization-defined circumstances],to include when directed by the AO,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,CM-2,CM-02b.03,Determine if the baseline configuration of the system is reviewed and updated when system components are installed or upgraded.,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Automation Support for Accuracy and Currency,CM-2 (2),CM-02(02),"Determine if the currency, completeness, accuracy, availability of the baseline configuration of the system is maintained using [organization-defined automated mechanisms]",CSP-defined automated mechanisms,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Retention of Previous Configurations,CM-2 (3),CM-02(03),Determine if [organization-defined number] of previous baseline configuration version(s) of the system is/are retained to support rollback.,CSP-defined number of previous versions of baseline configurations of the previously approved baseline configuration of IS components,,Test,,,,,,,,,,,,,,,,,,,
