Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,IR-1,IR-01a.[01][02],"Determine if an incident response policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,IR-1,IR-01a.[03][04],"Determine if incident response procedures to facilitate the implementation of the incident response policy and associated incident response controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,IR-1,IR-01a.01(a),"Determine if the [organization-defined level] incident response policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,IR-1,IR-01a.01(b),"Determine if the incident response policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,IR-1,IR-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the incident response policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,IR-1,IR-01c.01,Determine if the current incident response policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,IR-1,IR-01c.02,Determine if the current incident response procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Incident Response Training,IR-2,IR-02a.01,Determine if incident response training is provided to system users consistent with assigned roles and responsibilities within [organization-defined time period] of assuming an incident response role or responsibility or acquiring system access,"ten (10) days for privileged users, thirty (30) days for Incident Response Roles",,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,IR-2,IR-02a.02,Determine if incident response training is provided to system users consistent with assigned roles and responsibilities when required by system changes,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,IR-2,IR-02a.03,Determine if incident response training is provided to system users consistent with assigned roles and responsibilities [organization-defined frequency] thereafter,at least annually,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,IR-2,IR-02b.[01],Determine if incident response training content is reviewed and updated within the [organization-defined frequency],at least annually,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,IR-2,IR-02b.[02],Determine if incident response training content is reviewed and updated following [organization-defined events],CSP-defined events,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Incident Response Testing,IR-3,IR-03,Determine if the effectiveness of the incident response capability for the system is tested [organization-defined frequency] using [organization-defined tests],functional at least annually; CSP-defined tests,Requirement: The service provider defines tests and/or exercises in accordance with NIST Special Publication 800-61 (as amended). Functional testing must occur prior to testing for initial authorization. Annual functional testing may be concurrent with required penetration tests (see CA-8). The service provider provides test plans to the AO annually. Test plans are approved and accepted by the AO prior to test commencing,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Coordination with Related Plans,IR-3 (2),IR-03(02),Determine if incident response testing is coordinated with organizational elements responsible for related plans,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Incident Handling,IR-4,IR-04a.[01],Determine if an incident handling capability for incidents is implemented that is consistent with the incident response plan,,"Requirement: The FISMA definition of ""incident"" shall be used: ""An occurrence that actually or imminently jeopardizes, without lawful authority, the confidentiality, integrity, or availability of information or an information system; or constitutes a violation or imminent threat of violation of law, security policies, security procedures, or acceptable use policies.""

Requirement: The service provider ensures that individuals conducting incident handling meet personnel security requirements commensurate with the criticality/sensitivity of the information being processed, stored, and transmitted by the information system.
","Examine, Test",,,,,,,,,,,,,,,,,,,
,IR-4,IR-04a.[02],"Determine if the incident handling capability for incidents includes preparation, detection and analysis, containment, eradication, and recovery",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,IR-4,IR-04b.,Determine if incident handling activities are coordinated with contingency planning activities,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,IR-4,IR-04c.[01],"Determine if lessons learned from ongoing incident handling activities are incorporated into incident response procedures, training, and testing",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,IR-4,IR-04c.[02],Determine if the changes resulting from the incorporated lessons learned are implemented accordingly,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,IR-4,IR-04d.,"Determine if the rigor, intensity, scope, and results of incident handling activities is comparable and predictable across the organization",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Automated Incident Handling Processes,IR-4 (1),IR-04(01),Determine if the incident handling process is supported using [organization-defined automated mechanisms],CSP-defined automated mechanisms,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Incident Monitoring,IR-5,IR-05,Determine if incidents are tracked and documented,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Incident Reporting,IR-6,IR-06a.,Determine if personnel is/are required to report suspected incidents to the organizational incident response capability within [organization-defined time period],US-CERT incident reporting timelines as specified in NIST Special Publication 800-61 (as amended),Requirement: Reports security incident information according to FedRAMP Incident Communications Procedure,"Examine, Interview",,,,,,,,,,,,,,,,,,,
