Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,MP-1,MP-01a.[01][02],"Determine if a media protection policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MP-1,MP-01a.[03][04],"Determine if media protection procedures to facilitate the implementation of the media protection policy and associated media protection controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,MP-1,MP-01a.01(a),"Determine if the [organization-defined level] media protection policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,MP-1,MP-01a.01(b),"Determine if the media protection policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,MP-1,MP-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the media protection policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MP-1,MP-01c.01,Determine if the current media protection policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MP-1,MP-01c.02,Determine if the current media protection procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Media Access,MP-2,MP-02[01],Determine if access to [organization-defined types of digital media] is restricted to [organization-defined personnel or roles],all types of digital media containing sensitive information; CSP-defined personnel or roles,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,MP-2,MP-02[02],Determine if access to [organization-defined types of non-digital media] is restricted to [organization-defined personnel or roles],all types of non-digital media containing sensitive information; CSP-defined personnel or roles,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Media Marking,MP-3,MP-03a.,"Determine if system media is marked to indicate distribution limitations, handling caveats, and applicable security markings (if any) of the information",,,Test,,,,,,,,,,,,,,,,,,,
,MP-3,MP-03b.,Determine if [organization-defined types of media exempted from marking] remain within [organization-defined controlled areas],no removable media types; CSP-defined security safeguards not applicable,Guidance: Second parameter not applicable,Test,,,,,,,,,,,,,,,,,,,
Media Storage,MP-4,MP-04a.[01][03],Determine if [organization-defined types of digital media] are physically controlled and securely stored within [organization-defined controlled areas],all types of digital media with sensitive information; see additional FedRAMP requirements and guidance,Requirement: The service provider defines controlled areas within facilities where the information and information system reside.,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,MP-4,MP-04a.[02][04],Determine if [organization-defined types of non-digital media] are physically controlled and securely stored within [organization-defined controlled areas],all types of non-digital media with sensitive information; see additional FedRAMP requirements and guidance,Requirement: The service provider defines controlled areas within facilities where the information and information system reside.,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,MP-4,MP-04b.,"Determine if system media types [organization-defined types of digital and non-digital media] are protected until the media are destroyed or sanitized using approved equipment, techniques, and procedures",all types of digital and non-digital media with sensitive information,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Media Transport,MP-5,MP-05a.,Determine if [organization-defined types of system media] are protected and controlled during transport outside of controlled areas using [organization-defined controls],"all media with sensitive information; prior to leaving secure/controlled environment: for digital media, encryption in compliance with Federal requirements and utilizes FIPS validated or NSA approved cryptography (see SC-13.); for non-digital media, secured in locked container",Requirement: The service provider defines security measures to protect digital and non-digital media in transport.  The security measures are approved and accepted by the AO,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,MP-5,MP-05b.,Determine if accountability for system media is maintained during transport outside of controlled areas,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,MP-5,MP-05c.,Determine if activities associated with the transport of system media are documented,,,Examine,,,,,,,,,,,,,,,,,,,
,MP-5,MP-05d.[01],Determine if personnel authorized to conduct media transport activities is/are identified,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,MP-5,MP-05d.[02],Determine if activities associated with the transport of system media are restricted to identified authorized personnel,,,Test,,,,,,,,,,,,,,,,,,,
Media Sanitization,MP-6,MP-06a.,"Determine if [organization-defined system media] is sanitized using [organization-defined sanitization techniques and procedures] prior to 
-disposal
-release from organizational control
-release for reuse",CSP-defined system media; techniques and procedures IAW NIST SP 800-88 Section 4: Reuse and Disposal of Storage Media and Hardware,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,MP-6,MP-06b.,Determine if sanitization mechanisms with strength and integrity commensurate with the security category or classification of the information are employed,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
Media Use,MP-7,MP-07a.,Determine if the use of [organization-defined types of system media] is/are [restricted and/or prohibited] on [organization-defined systems or system components] using [organization-defined controls],CSP-defined types of system media; CSP-defined as restricted and/or prohibited; CSP-defined systems or system components; CSP-defined controls,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,MP-7,MP-07b.,Determine if the use of portable storage devices in organizational systems is prohibited when such devices have no identifiable owner,,,"Examine, Interview, Test",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
