Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,PL-1,PL-01a.[01][02],"Determine if a planning policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PL-1,PL-01a.[03][04],"Determine if planning procedures to facilitate the implementation of the planning policy and associated planning controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,PL-1,PL-01a.01(a),"Determine if the [organization-defined level] planning policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,PL-1,PL-01a.01(b),"Determine if the planning policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,PL-1,PL-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the planning policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PL-1,PL-01c.01,Determine if the current planning policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PL-1,PL-01c.02,Determine if the current planning procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
System Security and Privacy Plans,PL-2,PL-02a.01[01]02[01]03[01],"Determine if a security plan for the system is developed that is:
-consistent with the organization's enterprise architecture
-explicitly defines the constituent system components
-describes the operational context of the system in terms of mission and business processes",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.01[02]02[02]03[02],"Determine if a privacy plan for the system is developed that is:
-consistent with the organization's enterprise architecture
-explicitly defines the constituent system components
-describes the operational context of the system in terms of mission and business processes",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.04[01],Determine if the security plan for the system identifies the individuals that fulfill system roles and responsibilities,,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.04[02],Determine if the privacy plan for the system identifies the individuals that fulfill system roles and responsibilities,,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.05,"Determine if the security and privacy plans identify the information types processed, stored, and transmitted by the system",,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.06,"Determine if the security and privacy plans provide the security categorization of the system, including supporting rationale",,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.07,Determine if the security and privacy plans describe any specific threats to the system that are of concern to the organization,,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.08,Determine if the security and privacy plans provide the results of a privacy risk assessment for systems processing personally identifiable information,,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.09,Determine if the security and privacy plans describe the operational environment for the system and any dependencies on or connections to other systems or system components,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.10[01],Determine if the security plan for the system provides an overview of the security requirements for the system,,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.10[02],Determine if a privacy plan for the system is developed that provides an overview of the privacy requirements for the system,,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.11,"Determine if the security and privacy plans identify any relevant control baselines or overlays, if applicable",,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.12[01],"Determine if the security plan for the system describes the controls in place or planned for meeting the security requirements, including rationale for any tailoring decisions",,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.12[02],"Determine if the privacy plan for the system describes the controls in place or planned for meeting the privacy requirements, including rationale for any tailoring decisions",,,Examine,,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.13[01],Determine if a security plan for the system is developed that includes risk determinations for security architecture and design decisions,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.13[02],Determine if a privacy plan for the system is developed that includes risk determinations for privacy architecture and design decisions,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PL-2,PL-02a.14[01],Determine if a security plan for the system is developed that includes security-related activities affecting the system that require planning and coordination with [organization-defined individuals or groups],to include chief privacy and ISSO and/or similar role or designees,,"Interview, Test",,,,,,,,,,,,,,,,,,,
