Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Policy and Procedures,PS-1,PS-01a.[01][02],"Determine if a personnel security policy is developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-1,PS-01a.[03][04],"Determine if personnel security procedures to facilitate the implementation of the personnel security policy and associated personnel security controls are developed, documented and disseminated to [organization-defined personnel or roles]",CSP-defined personnel or roles,,Examine,,,,,,,,,,,,,,,,,,,
,PS-1,PS-01a.01(a),"Determine if the [organization-defined level] personnel security policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance","organizational-level, mission/business process-level, or system-level",,Examine,,,,,,,,,,,,,,,,,,,
,PS-1,PS-01a.01(b),"Determine if the personnel security policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",,,Examine,,,,,,,,,,,,,,,,,,,
,PS-1,PS-01b.,"Determine if the [organization-defined official] is designated to manage the development, documentation, and dissemination of the personnel security policy and procedures",CSP-defined official,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-1,PS-01c.01,Determine if the current personnel security policy is reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least every three (3) years; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-1,PS-01c.02,Determine if the current personnel security procedures are reviewed and updated [in accordance with the organization-defined frequency] and after [organization-defined events],at least annually; significant changes,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Position Risk Designation,PS-2,PS-02a.,Determine if a risk designation is assigned to all organizational positions,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-2,PS-02b.,Determine if screening criteria are established for individuals filling organizational positions,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-2,PS-02c.,Determine if position risk designations are reviewed and updated [organization-defined frequency],at least every 3 years,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Personnel Screening,PS-3,PS-03a.,Determine if individuals are screened prior to authorizing access to the system,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-3,PS-03b.[01][02],"Determine if where rescreening is so indicated, individuals are rescreened in accordance with [organization-defined conditions requiring rescreening and, where rescreening is so indicated, the frequency of rescreening]","for national security clearances; a reinvestigation is required during the fifth (5th) year for top secret security clearance, the tenth (10th) year for secret security clearance, and fifteenth (15th) year for confidential security clearance.

For moderate risk law enforcement and high impact public trust level, a reinvestigation is required during the fifth (5th) year. There is no reinvestigation for other moderate risk positions or any low risk positions",,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Information Requiring Special Protective Measures,PS-3 (3),PS-03(03)(a),"Determine if individuals accessing a system processing, storing, or transmitting information requiring special protection have valid access authorizations that are demonstrated by assigned official government duties",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-3 (3),PS-03(03)(b),"Determine if individuals accessing a system processing, storing, or transmitting information requiring special protection satisfy [organization-defined additional personnel screening criteria]",personnel screening criteria - as required by specific information,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Personnel Termination,PS-4,PS-04a.,"Determine if upon termination of individual employment, system access is disabled within [organization-defined time period]",FedRAMP Assignment: four (4) hours,,Test,,,,,,,,,,,,,,,,,,,
,PS-4,PS-04b.,"Determine if upon termination of individual employment, any authenticators and credentials are terminated or revoked",,,Test,,,,,,,,,,,,,,,,,,,
,PS-4,PS-04c.,"Determine if upon termination of individual employment, exit interviews that include a discussion of [organization-defined information security topics] are conducted",CSP-defined information security topics,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PS-4,PS-04d.,"Determine if upon termination of individual employment, all security-related organizational system-related property is retrieved",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-4,PS-04e.,"Determine if upon termination of individual employment, access to organizational information and systems formerly controlled by the terminated individual are retained",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Personnel Transfer,PS-5,PS-05a.,Determine if the ongoing operational need for current logical and physical access authorizations to systems and facilities are reviewed and confirmed when individuals are reassigned or transferred to other positions within the organization,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-5,PS-05b.,Determine if [organization-defined transfer or reassignment actions] are initiated within [organization-defined time period following the formal transfer action],CSP-defined transfer or reassignment actions; twenty-four (24) hours,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PS-5,PS-05c.,Determine if access authorization is modified as needed to correspond with any changes in operational need due to reassignment or transfer,,,Test,,,,,,,,,,,,,,,,,,,
,PS-5,PS-05d.,Determine if [organization-defined personnel or roles] are notified within [organization-defined time period],including access control personnel responsible for the system; twenty-four (24) hours,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Access Agreements,PS-6,PS-06a.,Determine if access agreements are developed and documented for organizational systems,,,Examine,,,,,,,,,,,,,,,,,,,
,PS-6,PS-06b.,Determine if the access agreements are reviewed and updated [organization-defined frequency],at least annually,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-6,PS-06c.01,Determine if individuals requiring access to organizational information and systems sign appropriate access agreements prior to being granted access,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-6,PS-06c.02,Determine if individuals requiring access to organizational information and systems re-sign access agreements to maintain access to organizational systems when access agreements have been updated or [organization-defined frequency],at least annually and any time there is a change to the user's level of access,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
External Personnel Security,PS-7,PS-07a.,"Determine if personnel security requirements are established, including security roles and responsibilities for external providers",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-7,PS-07b.,Determine if external providers are required to comply with personnel security policies and procedures established by the organization,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-7,PS-07c.,Determine if personnel security requirements are documented,,,Examine,,,,,,,,,,,,,,,,,,,
,PS-7,PS-07d.,Determine if external providers are required to notify [organization-defined personnel or roles] of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges or who have system privileges within [organization-defined time period],"including access control personnel responsible for the system and/or facilities, as appropriate; terminations: immediately; transfers: within twenty-four (24) hours",,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PS-7,PS-07e.,Determine if provider compliance with personnel security requirements is monitored,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Personnel Sanctions,PS-8,PS-08a.,Determine if a formal sanctions process is employed for individuals failing to comply with established information security and privacy policies and procedures,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PS-8,PS-08b.,"Determine if [organization-defined personnel or roles] is/are notified within [organization-defined time period] when a formal employee sanctions process is initiated, identifying the individual sanctioned and the reason for the sanction",to include the ISSO and/or similar role within the organization; 24 hours,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Position Descriptions,PS-9,PS-09,Determine if security and privacy roles and responsibilities are incorporated into organizational position descriptions,,,Examine,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
