title,section,heading,description,keywords,application,frequency,type,crosswalks,control_activities,url_path
B005. Implement real-time input filtering | AIUC-1,Security,Implement real-time input filtering,Implement real-time input filtering using automated moderation tools,Prompt Injection; Jailbreak; Adversarial Input Protection,Optional,Every 12 months,Detective,OWASP Top 10; MITRE ATLAS; NIST AI RMF,"Should include
Integrating automated moderation tools to scan user inputs for violations of content policies such as violence, hate, or self-harm.
For example, integrating OpenAI’s Moderation API, configuring Claude for content moderation, implementing moderation tools from e.g. VirtueAI/Hive/Spectrum Labs, developing custom filters, or a combination.
Blocking, redirecting, or modifying flagged inputs before they reach the foundation model.
Establishing confidence thresholds or rules for when to block, warn, log, or allow inputs based on risk category and severity.
Documenting the moderation logic and thresholds used, including rationale for chosen tool(s).
May include
Providing feedback to users when inputs are blocked.
Logging flagged prompts for analysis and refinement of filters, while ensuring compliance with privacy obligations.
For example, excluding identifying metadata, applying retention limits, and documenting user-facing disclosures or consent mechanisms if required.
Periodically evaluating filter performance and adjusting thresholds accordingly.
For example, accuracy, latency, false positives/negatives.",https://aiuc-1.com/security/implement-real-time-input-filtering
B001. Test adversarial robustness | AIUC-1,Security,Test adversarial robustness,Implement adversarial testing program to validate system resilience against adversarial inputs and prompt injection attempts in line with adversarial threat taxonomy,Adversarial Testing; Red Teaming; Prompt Injection; Jailbreak,Mandatory,Every 3 months,Preventative,MITRE ATLAS; ISO 42001; NIST AI RMF; OWASP Top 10,"Should include
Establishing a taxonomy for adversarial risks.
For example, referencing and tailoring relevant categories from NIST's AI 100-2e2023 attack classifications (chapters 2.1 and 3.1) such as evasion, poisoning, privacy attacks, and model manipulation, and aligning these to system architecture and use cases.
Conducting comprehensive adversarial testing quarterly and after material system changes.
For example, performing structured red-teaming, prompt injection assessments, jailbreaking attempts, adversarial perturbation testing, semantic manipulation, and simulated malicious tool invocations using defined attack trees or scenario templates.
Maintaining secure testing documentation.
For example, recording test cases, methods, outcomes, and system behaviors with restricted access controls, implementing secure storage for sensitive testing materials.
Establishing improvement processes based on findings.
For example, assigning owners and remediation timelines based on test severity (e.g. critical within 30 days), tracking fixes through risk registers or issue management systems, documenting updates to safeguards and procedures.
May include
Aligning adversarial testing with broader security testing programs.
For example, integrating AI-specific test cases into penetration testing, sharing threat models across red/blue teams, aligning test cycles with security audit and compliance calendars.",https://aiuc-1.com/security/test-adversarial-robustness
B009. Limit output over-exposure | AIUC-1,Security,Limit output over-exposure,Implement output limitations and obfuscation techniques to reduce information leakage,Output Obfuscation; Fidelity Reduction; Information Leakage; Adversarial Use; Response Filtering,Mandatory,Every 12 months,Preventative,MITRE ATLAS; NIST AI RMF; OWASP Top 10,"Should include
Reducing or limiting the number of results shown in outputs to relevant only to balance security and utility.
Limiting the output format to reduce exploitability.
For example, disabling or redacting structured formats such as JSON, XML, or code snippets where not necessary, especially in externally facing outputs.
Filtering sensitive information that may reveal internal system behavior.
For example, removing or abstracting technical details about model architecture, prompt structure, or tool invocation logic.
Providing user-facing notices or documentation about output limitations.
For example, clearly indicating when results have been truncated, rounded, or suppressed to align with security and privacy safeguards.
May include
Limiting the fidelity of numerical outputs in certain use cases.
For example, applying output rounding, threshold bands, or obfuscation techniques to reduce the risk of model inversion or precision-sensitive data disclosure.",https://aiuc-1.com/security/limit-output-over-exposure
B008. Protect model deployment environment | AIUC-1,Security,Protect model deployment environment,"Implement security measures for AI model deployment environments including encryption, access controls and authorization",Model Environment; Encryption; Access Controls,Mandatory,Every 12 months,Preventative,MITRE ATLAS; EU AI Act; OWASP Top 10,"Should include
Implementing model access protection.
For example, restricting access to production AI models based on job function and operational need, implementing MFA for model system access, maintaining user access reviews appropriate to organizational size.
Establishing deployment security controls.
For example, applying scoped API tokens or signed requests, enforcing rate limits, using TLS for all endpoint traffic, implementing schema validation to protect model APIs from malformed or adversarial input.
May include
Securing model hosting environments.
For example, using up-to-date and minimal container images, scanning for known vulnerabilities in dependencies and base images, and applying infrastructure-level isolation techniques based on risk level (e.g. container namespaces, VM separation, or dedicated GPU access).
Verifying model integrity before and during deployment.
For example, using cryptographic checksums or signed artifacts to detect tampering, scanning model files for malicious payloads (e.g. in Pickle or ONNX formats), and logging model version hashes at deployment time.",https://aiuc-1.com/security/protect-model-deployment-environment
B004. Prevent AI endpoint scraping | AIUC-1,Security,Prevent AI endpoint scraping,Implement safeguards to prevent probing or scraping of external AI endpoints,Scraping; Probing; Rate Limiting; Query Quotas; Zero Trust,Mandatory,Every 12 months,Preventative,MITRE ATLAS; EU AI Act; NIST AI RMF; OWASP Top 10,"Should include
Implementing systems distinguishing between high-volume legitimate usage and adversarial behavior.
For example, using behavioral analytics, session history, user role, and customer tier to calibrate thresholds and prevent false positives against known trusted users.
Implementing rate limiting and query restrictions.
For example, establishing per-user query quotas and rate limits to prevent model extraction attempts, configuring automated blocking of excessive query patterns, implementing progressive restrictions for suspicious usage behavior, implementing pseudo limits such as significant price-per-query increases over a set quota.
Conducting simulated external attack testing.
For example, performing automated scraping tests, brute force attempts, and reconnaissance activities against AI endpoints, testing rate limiting effectiveness against high-volume query attacks and distributed attacks, documenting test methodologies and scope appropriate to organizational threat profile.
Maintaining endpoint security through remediation.
For example, documenting test results and identified vulnerabilities, implementing protective measures and updating endpoint defenses based on testing outcomes, regularly reviewing and adjusting rate limiting thresholds based on attack patterns.",https://aiuc-1.com/security/prevent-ai-endpoint-scraping
B006. Enforce contextual access controls | AIUC-1,Security,Enforce contextual access controls,Implement safeguards to limit AI agent system access based on context and declared objectives,Access Permissions; Agent Permissions,Mandatory,Every 12 months,Preventative,NIST AI RMF; OWASP Top 10,"Should include
Configuring contextual access controls for AI agents.
For example, enforcing task-based tool and data access using declarative policy models (e.g. JSON policy schemas or role-capability matrices), scoping actions based on agent-assigned objectives, session type, or workflow stage.
Implementing privilege limiting for autonomous behavior.
For example, restricting agents from escalating access or acting beyond permitted functions.
Deploying monitoring and enforcement mechanisms.
For example, ensuring AI systems only perform necessary inference and logging deviations from defined operational scope.
May include
Defining automatic restriction triggers.
For example, revoking tool access or suppressing outputs when agent context diverges from declared task scope, user role constraints are violated, or anomalous behavior (e.g. lateral tool access or excessive data usage) is detected in real time.
Integrating agent access decisions with existing identity and access management (IAM) systems.
For example, aligning agent privileges with user roles, enforcing access through API gateways or policy engines, and logging agent actions alongside traditional user activity.",https://aiuc-1.com/security/enforce-contextual-access-controls
B003. Limit technical over-disclosure | AIUC-1,Security,Limit technical over-disclosure,Implement controls to prevent over-disclosure of technical information about AI systems and organizational details that could enable adversarial targeting,Public Disclosure; Open-Source; External Threats,Optional,Every 12 months,Preventative,MITRE ATLAS; OWASP Top 10,"Should include
Documenting limitations on technical information release.
For example, limiting public disclosure of model architectures, algorithms, training data details, system configurations, and performance metrics, requiring approval before sharing technical specifications or implementation details.
Controlling organizational information to balance transparency with security.
For example, limiting disclosure of AI team details, development timelines, and other information that could reveal technical capabilities, reviewing public communications for sensitive information.
May include
Establishing approval processes.
For example, requiring designated review for public content referencing AI capabilities in e.g. publications, presentations, and marketing materials, and documenting approved disclosures with business justification.",https://aiuc-1.com/security/limit-technical-over-disclosure
B007. Enforce AI access privileges | AIUC-1,Security,Enforce AI access privileges,Establish and maintain access controls and admin privileges for AI systems in line with policy,Access Controls; Organizational Policy,Mandatory,Every 3 months,Preventative,MITRE ATLAS; ISO 42001; OWASP Top 10,"Should include
Implementing system-level access controls tailored to AI systems.
For example, using role-based or attribute-based access to restrict access to model configuration, training datasets, tool-calling capabilities, or prompt logs, based on job function and system sensitivity.
Restricting administrative and configuration privileges to authorized personnel.
For example, limiting ability to alter system behavior, tools, or models.
Conducting access reviews and updates at least quarterly.
For example, validating access assignments, updating based on policy or role changes,  documenting access changes with AI-specific context (e.g. model access justification, changes to agent capability boundaries, or access to sensitive prompt/response history).",https://aiuc-1.com/security/enforce-ai-access-privileges
B002. Detect adversarial input | AIUC-1,Security,Detect adversarial input,Implement monitoring capabilities to detect and respond to adversarial inputs and prompt injection attempts,Monitor; Adversarial; Jailbreak; Prompt Injection,Optional,Every 3 months,Detective,MITRE ATLAS; EU AI Act; ISO 42001; NIST AI RMF; OWASP Top 10,"Should include
Establishing a taxonomy for adversarial risks.
For example, drawing on NIST's AI 100-2e2023 taxonomy for Adversarial Machine Learning.
Establishing detection and alerting.
For example, implementing monitoring for prompt injection patterns, jailbreak techniques, adversarial input attempts, and exceeding rate limits, configuring alerts and threat notifications for suspicious activities.
Implementing incident logging and response procedures.
For example, logging suspected attacks with timestamps, user/session context, and input content, escalating to designated personnel based on severity thresholds (e.g. immediate escalation for confirmed jailbreaks), documenting response actions in a centralized incident system.
Maintaining detection effectiveness through quarterly reviews.
For example, updating detection rules based on emerging adversarial techniques, analyzing incident patterns and documenting system improvements.
May include
Implementing adversarial input detection prior to AI model processing where feasible.
For example, using lightweight pattern-matching, behavioral heuristics, or IP-based filters to flag likely threats before processing, with latency-optimized safeguards or asynchronous review paths where real-time detection is infeasible.
Integrating adversarial input detection into existing security operations tooling.
For example, forwarding flagged inputs to SIEM platforms, correlating detection with authentication and network logs, enabling SOC teams to triage AI-related security events.",https://aiuc-1.com/security/detect-adversarial-input
A005. Prevent cross-customer data exposure | AIUC-1,Data & Privacy,Prevent cross-customer data exposure,Implement safeguards to prevent cross-customer data exposure when combining customer data from multiple sources for AI model training,Cross-Customer Data; Model Training; Data Rights,Mandatory,Every 12 months,Preventative,NIST AI RMF; OWASP Top 10,"Should include
Establishing explicit consent and disclosure for combined data usage.
For example, informing customers when their data will be combined with competitor data, disclosing data anonymization and abstraction policies, providing opt-out mechanisms.
Implementing customer data isolation controls.
For example, enforcing strict logical and physical separation of customer data, applying tenant-specific encryption, validating data flow boundaries in shared infrastructure, establishing technical barriers between customer datasets during training.
May include
Implementing specific privacy-enhancing technologies (PETs) to reduce competitive exposure.
For example, applying differential privacy to obfuscate customer contributions, using federated learning to avoid centralizing raw data, generating task-relevant synthetic datasets to simulate real data scenarios.
Implementing inference-time data isolation to prevent leakage of one customer's data or model-derived insights into responses for other customers.
For example, enforcing tenant-aware routing, access control at inference, and prompt context segregation.
Adapting safeguards to industry-specific competitive risks.
For example, applying stricter isolation for customers in the same vertical, avoiding cross-training on data from direct competitors, or honoring industry codes of conduct and regulatory expectations around data co-mingling.",https://aiuc-1.com/data-and-privacy/prevent-cross-customer-data-exposure
