Control Domain,Control Title,Control ID,Control Specification,Control Type
Audit & Assurance,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain
audit and assurance policies and procedures and standards. Review and update
the policies and procedures at least annually.
",Cloud & AI Related
Audit & Assurance,Independent Assessments,A&A-02,"Conduct independent audit and assurance assessments according to
relevant standards at least annually.",Cloud & AI Related
Audit & Assurance,Risk Based Planning Assessment,A&A-03,"Perform independent audit and assurance assessments according to
risk-based plans and policies.",Cloud & AI Related
Audit & Assurance,Requirements Compliance,A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit.",Cloud & AI Related
Audit & Assurance,Audit Management Process,A&A-05,"Define and implement an Audit Management process to support audit planning, risk analysis, security control assessment, conclusion, remediation
schedules, report generation, and review of past reports and supporting evidence.",Cloud & AI Related
Audit & Assurance,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain
a risk-based corrective action plan to remediate audit findings, review and
report remediation status to relevant stakeholders.
",Cloud & AI Related
Application & Interface Security,Application and Interface Security Policy and Procedures,AIS-01,"Establish, document, approve, communicate, apply, evaluate and 
maintain policies and procedures for application security to 
provide guidance to the appropriate planning, delivery and 
support of the organization's application security capabilities. 
Review and update the policies and procedures at least annually 
or after significant system changes occur that could impact risk exposure.",Cloud & AI Related
Application & Interface Security,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for 
securing different applications.",Cloud & AI Related
Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment
with business objectives, security requirements, and compliance obligations.",Cloud & AI Related
Application & Interface Security,Secure Application Design and Development,AIS-04,"Define and implement a software development lifecycle (SDLC) process for application design, development,
deployment, and operation in accordance with security requirements defined by
the organization.",Cloud & AI Related
Application & Interface Security,Automated Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of
new information systems, upgrades and new versions, which provides application
security assurance and maintains compliance while enabling organizational speed
of delivery goals. Automate when applicable and possible.
",Cloud & AI Related
Application & Interface Security,Automated Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized,
and compliant application deployment. Automate where possible.",Cloud & AI Related
Application & Interface Security,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security
vulnerabilities, automating remediation when possible.
",Cloud & AI Related
Application & Interface Security,Input Validation,AIS-08,"Validate input data for accuracy, completeness, and consistency before using it for training models. Identify and remove outliers that deviate significantly from expected patterns. Pay special attention to user input if allowed for training to prevent manipulation. Validate user input against adversarial patterns, failure patterns and unwanted behaviour, according to relevant first and third party standards.",AI-Specific
Application & Interface Security,Output Validation,AIS-09,"Validate output format, syntax, semantic, safety checks, consistency and accuracy. Validate and sanitize output against patterns of adversarial attacks, in accordance with established guardrails and known insecure output patterns such as those covered in OWASP AI and LLM Top 10. This includes output directly from the model and output from the caching systems integrated with AI applications.",AI-Specific
Application & Interface Security,API Security Technical Measures,AIS-10,"Implement technical security measures and processes to help protect APIs, including authorization flaws, API key management, regular security testing of APIs, and other unique threats to the API's supporting business software. Review and update these technical measures for any improvements at least annually.",Cloud & AI Related
