Title,QuickRef,Ev_ID,Paper_ID,Cat_ID,SubCat_ID,AddEv_ID,Category level,Risk category,Risk subcategory,Description,Additional ev.,P.Def,p.AddEv,Entity,Intent,Timing,Domain,Sub-domain
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.00.00,1,,,,Paper,,,,,,,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.01.00,1,1,0,,Risk Category,Type 1: Diffusion of responsibility,,"Societal-scale harm can arise from AI built by a diffuse collection of creators, where no one is uniquely accountable for the technology's creation or use, as in a classic ""tragedy of the commons"".","""Automated processes can cause societal harm even when no one in particular is primarily responsible for the creation or deployment of those processes (Zwetsloot and Dafoe, 2019), and perhaps even as a result of the absence of responsibility. The infamous “flash crash” of 2010 is an instance of this: numerous stock trading algorithms from a variety of companies interacted in a fashion that rapidly devalued the US stock market by over 1 trillion dollars in a matter of minutes. Fortunately, humans were able to intervene afterward and reverse the damage, but that might not always be possible as AI technology becomes more powerful and pervasive.""",3,4,1 - Human,2 - Unintentional,3 - Other,6. Socioeconomic and Environmental,6.5 > Governance failure
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.01.00.a,1,1,0,1,Additional evidence,Type 1: Diffusion of responsibility,,,"Example: ""Scientists develop an algorithm for predicting the answers to questions about a person, as a function of freely available and purchasable information about the person (social media, resumes, browsing history, purchasing history, etc.). The algorithm is made freely available to the public, and employers begin using the algorithm to screen out potential hires by asking, “Is this person likely to be arrested in the next year?” Courts and regulatory bodies attempt to ban the technology by evoking privacy norms, but struggle to establish cases against the use of publicly available information, so the technology broadly remains in use. Innocent people who share certain characteristics with past convicted criminals end up struggling to get jobs, become disproportionately unemployed, and correspondingly more often commit theft to fulfill basic needs. Meanwhile, police also use the algorithm to prioritize their investigations, and since unemployment is a predictor of property crime, the algorithm leads them to suspect and arrest more unemployed people. Some of the arrests are talked about on social media, so the algorithm learns that the arrested individuals are likely to be arrested again, making it even more difficult for them to get jobs. A cycle of deeply unfair socioeconomic discrimination begins.""",3,4,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.01.00.b,1,1,0,2,Additional evidence,Type 1: Diffusion of responsibility,,,"""Could humanity create an “AI industry” that becomes sufficiently independent of us to pose a global threat? It might seem strange to consider something as abstract or diffuse as an industry posing a threat to the world. However, consider how the fossil fuel industry was built by humans, yet is presently very difficult to shut down or even regulate, due to patterns of regulatory interference exhibited by oil companies in many jurisdictions (Carpenter and Moss, 2013; Dal Bó, 2006). The same could be said for the tobacco industry for many years (Gilmore et al., 2019). The “AI industry”, if unchecked, could behave similarly, but potentially much more quickly than the oil industry, in cases where AI is able to think and act much more quickly than humans.""",3,4,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.01.00.c,1,1,0,3,Additional evidence,Type 1: Diffusion of responsibility,,,"""If humanity comes to depend critically on AI technology to survive, it may not be so easy to do away with even if it begins to harm us, individually or collectively...consider how species of ants who feed on acacia trees eventually lose the ability to digest other foods, ending up “enslaved” to protecting the health of the acacia trees as their only food source (Ed Yong, 2013). """,3,4,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.02.00,1,2,0,,Risk Category,Type 2: Bigger than expected,,"Harm can result from AI that was not expected to have a large impact at all, such as a lab leak, a surprisingly addictive open-source product, or an unexpected repurposing of a research prototype."," the scope of actions
 available to an AI technology can be greatly expanded when the technology is copied many times over, or
modified relative to the likely intentions of its initial creators. However, impact on an unexpectedly large
s cale can occur even if only one team is responsible for creating the technology",3,8,2 - AI,2 - Unintentional,2 - Post-deployment,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.02.00.a,1,2,0,1,Additional evidence,Type 2: Bigger than expected,,,"Example: ""A chat-bot is created to help users talk about stressors in their personal life. A 6-month beta test shows that users claim a large benefit from talking to the bot, and almost never regret using it, so an open source version of the bot is made available online, which can be downloaded and used for free even without an internet connection. The software “goes viral”, attracting many more users than expected, until over 50% of young adults aged 20 to 30 become regular users of the bot’s advice. When the bot gives the same advice to multiple members of the same friend group, they end up taking it much more seriously than in the beta tests (which didn’t recruit whole groups of friends). As a result of the bot’s frequent advice to “get some distance from their stressors”, many people begin to consider dropping out of college or quitting their jobs. Ordinarily this would be a passing thought, but finding that many of their friends were contemplating the same decisions (due to the influence of the bot), they feel more socially comfortable making the change. Many groups of friends collectively decide to leave their jobs or schools. Public education suffers, and unemployment rates increase'",3,9,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00,1,3,0,,Risk Category,Type 3: Worse than expected,,"AI intended to have a large societal impact can turn out harmful by mistake, such as a popular product that creates problems and partially solves them only for its users.","Oftentimes, the whole point of producing a new AI technology is to produce a large (usually positive) impact
on society. Therefore, a major category of societal-scale risk arises from large, well-intentioned interventions
that go wrong.",3,9,2 - AI,2 - Unintentional,2 - Post-deployment,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.a,1,3,0,1,Additional evidence,Type 3: Worse than expected,,,"Example ""The Corrupt Mediator. A new company that calls itself Mediation.AI2 releases natural language tools for helping mediate conflicts between large institutions that have overwhelming amounts of communication to manage during negotiations. Many governments of neighboring jurisdictions and states begin using the software to negotiate laws and treaties. Like in the previous story, the tool is programmed to learn strategies that increase user engagement, as a proxy for good performance. Unfortunately, this leads to the software perpetually resolving short-term disputes that relieve and satisfy individual staff members involved in those disputes, while gradually creating ever more complex negotiated agreements between their governments, rendering those governments increasingly dependent on the software to handle foreign affairs. International trade relations begin a long and gradual decline, which no one country is able to negotiate its way out of. Frequencies of wars gradually also increase due to diminished incentives to cooperate.""",3,11,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.b,1,3,0,2,Additional evidence,Type 3: Worse than expected,,,"""deception: if the system’s learning objective is defined entirely by user feedback, it might achieve that objective partly by tricking the user into thinking it’s more helpful than it is""",3,11,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.c,1,3,0,3,Additional evidence,Type 3: Worse than expected,,,"""racketeering: if the system’s learning objective increases with user engagement, it might learn to achieve that objective partly by racketeering, i.e., creating novel problems for the user that increase the user’s reliance on the system (e.g., debilitating the user, or raising others’ expectations of the user).""",3,11,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.d,1,3,0,4,Additional evidence,Type 3: Worse than expected,,,"""self-preservation: in particular, the system has an incentive to prevent the user from turning it off, which it might achieve by deception or racketeering""",3,11,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.e,1,3,0,5,Additional evidence,Type 3: Worse than expected,,,"""reinforcement learning systems can in principle learn to manipulate the human minds and institutions in fairly arbitrary (and hence destructive) ways in pursuit of their goals (Russell, 2019, Chapter 4) (Krueger et al., 2019) (Shapiro, 2011). """,3,11,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.f,1,3,0,6,Additional evidence,Type 3: Worse than expected,,,"""There is always the possibility that many separate optimization processes (either
AI systems, or human-AI teams) can end up in a Prisoner’s Dilemma with each other, each undoing the others’
efforts by pursuing its own. """,3,12,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.04.00,1,4,0,,Risk Category,Type 4: Willful indifference,,"As a side effect of a primary goal like profit or influence, AI creators can willfully allow it to cause widespread societal harms like pollution, resource depletion, mental illness, misinformation, or injustice.","""All of the potential harms in the previous sections are made more likely if the creators of AI technology are unconcerned about its moral consequences. Even if some employees of the company detect a risk of impacts that’s bigger than expected (Type 2) or worse than expected (Type 3), it may be quite difficult to institute a change if the company is already profiting greatly from its current strategy, unless there is some chance of exposure or intervention from outside the company to motivate a reform.""",3,12,1 - Human,2 - Unintentional,2 - Post-deployment,6. Socioeconomic and Environmental,6.4 > Competitive dynamics
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.04.00.a,1,4,0,1,Additional evidence,Type 4: Willful indifference,,,"Example ""A tech company called X-corp uses an automated “A/B testing” system that tries out new parameter values to expand its user base. Like in the Corrupt Mediator story, their system learns that they can get more users by causing their users to create problems for each other that only X-corp’s tools can solve, creating a powerful network effect that rapidly expands X-corp’s user base and earns X-corp a lot of money. Some concerned X-corp employees complain that they have inadequate checks in place to ensure their A/B development process is actually benefiting their users, but it never seems to be a convenient time to make major changes to the company’s already profitable strategy. One employee manages to instigate an audit from a external non-profit entity to assess the ethics of X-corp’s use of AI technology. However, X-corp’s A/B testing system is opaque and difficult to analyze, so no conclusive evidence of ethical infractions within the company can be identified. No regulations exist requiring X-corp’s A/B testing to be intelligible under an audit, and opponents of the audit argue that no technology currently exists that could make their highly complex A/B testing system intelligible to a human. No fault is found, and X-corp continues expanding and harming its user base.""",3,12,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.04.00.b,1,4,0,2,Additional evidence,Type 4: Willful indifference,,,"""Black-box” machine learning techniques, such as end-to-end training of the learning systems, are so named because they produce AI systems whose operating principles are difficult or impossible for a human to decipher and understand in any reasonable amount of time. """,3,13,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.05.00,1,5,0,,Risk Category,Type 5: Criminal weaponization,,"One or more criminal entities could create AI to intentionally inflict harms, such as for terrorism or combating law enforcement.","""It’s not difficult to envision AI technology causing harm if it falls into the hands of people looking to cause trouble, so no stories will be provided in this section. It is enough to imagine an algorithm designed to pilot delivery drones that could be re-purposed to carry explosive charges, or an algorithm designed to deliver therapy that could have its goal altered to deliver psychological trauma. """,3,13,1 - Human,1 - Intentional,2 - Post-deployment,4. Malicious Actors & Misuse,"4.2 > Cyberattacks, weapon development or use, and mass harm"
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.06.00,1,6,0,,Risk Category,Type 6: State Weaponization,,"AI deployed by states in war, civil war, or law enforcement can easily yield societal-scale harm","""Tools and techniques addressing the previous section (weaponization by criminals) could also be used to
prevent weaponization of AI technologies by states that do not have strong AI research labs of their own.
But what about more capable states? The elephant in room here is that AI can be used in war. Some argue that, ideally, mechanical drones
could be pitted against one another in casualty-free battles that allow nations to determine who would win a
war of lethal force, without having to actually kill any human beings. If taken no further, this would be a
major improvement over current warfare practices. However, these capabilities are not technologically far
from allowing the mass-killing of human beings by weaponized drones. Escalation of such conflicts could lead
to unprecedented violence and death, as well as widespread fear and oppression among populations that have
been targeted by mass killings.""",3,14,1 - Human,1 - Intentional,2 - Post-deployment,4. Malicious Actors & Misuse,"4.2 > Cyberattacks, weapon development or use, and mass harm"
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.00.00,2,,,,Paper,,,,,,,,,,,
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.01.00,2,1,0,,Risk Category,Harmful Content,,"""The LLM-generated content sometimes contains biased, toxic, and private information""",,4,,2 - AI,2 - Unintentional,2 - Post-deployment,1. Discrimination & Toxicity,1.2 > Exposure to toxic content
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.01.01,2,1,1,,Risk Sub-Category,Harmful Content,Bias,"""The training datasets of LLMs may contain biased information that leads LLMs to generate outputs with social biases""",,19,,2 - AI,2 - Unintentional,3 - Other,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.01.02,2,1,2,,Risk Sub-Category,Harmful Content,Toxicity,"""Toxicity means the generated content contains rude, disrespectful, and even illegal information""",,10,,2 - AI,2 - Unintentional,2 - Post-deployment,1. Discrimination & Toxicity,1.2 > Exposure to toxic content
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.01.03,2,1,3,,Risk Sub-Category,Harmful Content,Privacy Leakage,"""Privacy Leakage means the generated content includes sensitive personal information""",,10,,2 - AI,2 - Unintentional,2 - Post-deployment,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information
