"style_id","style_name","type_id","type_name","definition"
"supportive","Supportive Relationship Mapping","supports","Supports","Concept A supports concept B when A can be applied alone or in combination with one or more other concepts to achieve B in whole or in part."
"supportive","Supportive Relationship Mapping","is-supported-by","Is supported by","Concept A is supported by concept B when B can be applied alone or in combination with one or more other concepts to achieve A in whole or in part."
"supportive","Supportive Relationship Mapping","identical","Identical","Concept A and concept B are identical. They use exactly the same wording."
"supportive","Supportive Relationship Mapping","equivalent","Equivalent","Concept A and concept B are equivalent. They have the same meaning but different wording."
"supportive","Supportive Relationship Mapping","contrary","Contrary","Concept A and concept B each have one or more elements that contradict one or more elements of the other concept."
"supportive","Supportive Relationship Mapping","no-relationship","No relationship","Concept A and concept B are not related or are not sufficiently related to merit another supportive relationship type."
"strm","Set Theory Relationship Mapping","subset-of","Subset of","Concept A is a subset of concept B. Concept B contains everything that concept A does and more."
"strm","Set Theory Relationship Mapping","intersects-with","Intersects with","Concept A and concept B have some overlap, but each includes content that the other does not."
"strm","Set Theory Relationship Mapping","equal","Equal","Concept A and concept B are the same, although not necessarily identical."
"strm","Set Theory Relationship Mapping","superset-of","Superset of","Concept A is a superset of concept B. Concept A contains everything that concept B does and more."
"strm","Set Theory Relationship Mapping","no-relationship","No relationship","Concept A and concept B are unrelated; their content does not overlap."
"structural","Structural Relationship Mapping","parent-child","Parent-child","The child concept is part of the parent concept. Does not specify whether the child concept is required or optional to achieve the parent concept."
