,,,,,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category
Control Domain,Control Title,Control ID,Control Specification,Control Type,Gen AI OPS/Processing Infra,MODEL,Orchestrated Services ,GenAI Apps,Phys,Network,Compute,Storage,App,Data,Preparation,Development,Evaluation/Validation,Deployment,Delivery,Service Retirement,Cybersecurity,Internal Audit,Architecture Team,SW Development,Operations,Legal/Privacy,GRC Team,Supply Chain Management,HR,Model manipulation,Data poisoning,Sensitive data disclosure,Model theft,Model/Service Failure/Malfunctioning ,Insecure supply chain,Insecure apps/plugins,Denial of Service (DoS),Loss of governance/compliance 
Audit & Assurance,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain
audit and assurance policies and procedures and standards. Review and update
the policies and procedures at least annually.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Data collection, Data curation, Data storage","Design, Guardrails",,AI Services supply chain,Continuous improvement,"Data deletion, Archiving, Model disposal",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Audit & Assurance,Independent Assessments,A&A-02,"Conduct independent audit and assurance assessments according to
relevant standards at least annually.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications, Orchestration","Continuous monitoring, Continuous improvement, Operations, Maintenance","Data deletion, Model disposal, Archiving",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Audit & Assurance,Risk Based Planning Assessment,A&A-03,"Perform independent audit and assurance assessments according to
risk-based plans and policies.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications",Continuous improvement,"Archiving, Data deletion, Model disposal",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Audit & Assurance,Requirements Compliance,A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications","Operations, Maintenance, Continuous improvement","Archiving, Data deletion, Model disposal",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Audit & Assurance,Audit Management Process,A&A-05,"Define and implement an Audit Management process to support audit planning, risk analysis, security control assessment, conclusion, remediation
schedules, report generation, and review of past reports and supporting evidence.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,Guardrails,"Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications",Continuous improvement,"Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Audit & Assurance,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain
a risk-based corrective action plan to remediate audit findings, review and
report remediation status to relevant stakeholders.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,"Design, Training, Guardrails","Re-evaluation, Validation/Red Teaming, Evaluation","AI applications, AI Services supply chain",Continuous improvement,"Model disposal, Data deletion, Archiving",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Application & Interface Security,Application and Interface Security Policy and Procedures,AIS-01,"Establish, document, approve, communicate, apply, evaluate and 
maintain policies and procedures for application security to 
provide guidance to the appropriate planning, delivery and 
support of the organization's application security capabilities. 
Review and update the policies and procedures at least annually 
or after significant system changes occur that could impact risk exposure.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage","Training, Design, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications, Orchestration","Continuous monitoring, Continuous improvement, Maintenance, Operations","Archiving, Model disposal, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Application & Interface Security,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for 
securing different applications.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Data curation, Data collection","Design, Guardrails, Supply Chain, Training","Validation/Red Teaming, Evaluation, Re-evaluation","AI Services supply chain, AI applications","Continuous monitoring, Continuous improvement, Maintenance, Operations",Archiving,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment
with business objectives, security requirements, and compliance obligations.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Resource provisioning,"Guardrails, Design","Validation/Red Teaming, Evaluation, Re-evaluation","AI applications, AI Services supply chain","Continuous monitoring, Continuous improvement, Operations",Archiving,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
