Control Domain,Control Title,Control ID,CCM_Control Specification,Implementation Guidelines_CCM Implementation Guidelines v2.0 CSP,Implementation Guidelines_CSC,Auditing Guidelines_Auditing Guidelines
Universal Endpoint Management,Endpoint Devices Policy and Procedures,UEM-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for all endpoints. Review and update the policies and
procedures at least annually.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control for both the CSP and CSC since all endpoint devices utilized to access cloud services should be managed within corporate policy and in line with industry standards.

Implementation Guidelines.
Applicable to all service models:
Irrespective of cloud service delivery model, the CSP is responsible for establishing, communicating and implementing policies, standards, processes/procedures, and tooling for all endpoints.

Policies should include (but not limited to) provisions on the following:
Policies and procedures for both managed and unmanaged endpoints (including BYOD) should include the following components:
a. Scope and Objectives: A definition and scope of endpoints and the acceptable-use policy objectives and requirements for all endpoints (mobile devices, virtual, desktop, etc.)

Note: physical and virtual servers, containers, and similar endpoints are addressed in the DCS and IVS domains, while application and interface endpoints are discussed in the AIS domain

b. Application and Service Approval: A list of approved cloud services and applications that personnel are permitted to use on their endpoints should be maintained. The list should be regularly reviewed and updated (incl. approved systems, servers, applications, application stores, application extensions, and plugins)
c. Endpoints Compatibility: Minimum OS requirements for endpoints to ensure compatibility with essential applications and security tools should be established. An compatibility matrix for approved applications should be maintained to ensure they function properly on the supported operating systems
d. Endpoint Inventory:  A maintained inventory of all endpoints connected to the organization's network, including laptops, desktops, tablets, mobile phones, IoT devices, servers, and virtual environments (should include device details, ownership information, security status, and software configurations)

Note: each endpoint device should be assigned to a named person who is responsible for it. Such devices may be shared (e.g., in shared work areas), but a single individual should still be assigned responsibility for it. Non-device endpoints should also have owners responsible for assessing risks and ensuring appropriate controls.

e. Endpoint Management: Granular access control mechanisms to restrict endpoint access to authorized systems and resources. Data access limitations should be enforced to prevent unauthorized data storage, transmission, or processing on endpoints
f. Endpoint Operating System: A change management process for endpoint operating systems to control and review changes to configurations, software installations, patches and updates
g. Storage Encryption: Whole-disk encryption should be utilized on all endpoints to protect sensitive data at rest
h. Anti-Malware Detection and Prevention: Real-time anti-malware software deployment on all endpoints and regular scans scheduling to detect and prevent malicious software infections
i. Software Firewall: Software firewalls should be configured on all endpoints to control inbound and outbound network traffic
j. Data Loss Prevention: DLP technologies should be configured to monitor and control the movement of sensitive data from endpoints. Enforce data access restrictions and prevent unauthorized data transfer to external devices or cloud services
k. Remote Locate: Remote geo-location capabilities enabled on mobile devices to track their location in case of loss or theft
l. Remote Wipe:  Remote wipe capabilities enabled on all endpoints to remotely delete company data in case of loss or theft. Requirements related to non-company data loss if a full or partial wipe of a device is required should be defined
m. Third-Party Endpoint Security Posture: Security requirements, responsibilities, and obligations related to third-party endpoint access in contractual agreements and SLAs
n. Privacy: Requirements regarding privacy expectations for remote location identification, litigation, e-discovery, and legal holds (especially for personally-owned devices) should be defined
o. Approval: Approval requirements and senior management involvement to ensure alignment with the organization's strategic goals and risk appetite
i. An approval process should be established for any changes or modifications to the policy and procedures
ii. A documented record of approvals (including dates, names of approvers, and any relevant comments or discussions) should be maintained
p. Communication: Effective communication of the policy and procedures should be facilitated to all relevant cloud stakeholders
q. Maintenance and Reviews: Endpoint security policies and procedures should be documented, reviewed and updated at least annually to ensure alignment with the evolving cloud security landscape and to reflect changes in cloud technology, regulations, and risks
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Examine policy for adequacy, currency, communication, and effectiveness.
2. Examine policy and procedures for evidence of review, at least annually.
"
Universal Endpoint Management,Application and Service Approval,UEM-02,"Define, document, apply and evaluate a list of approved services,
applications and sources of applications (stores) acceptable for use by endpoints
when accessing or storing organization-managed data.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control for both the CSP and CSC since the they should both should maintain an approved list of applications that can be installed on all endpoint devices utilized to access cloud services based on operating systems (OS)/platforms, such as but not limited to: Linux, Windows, MacOS, Android, and iOS. This is not a service delivery model (IaaS, PaaS, or SaaS) specific.

Implementation Guidelines.
Applicable to all service models:
Irrespective of cloud service delivery model, the CSP is responsible for defining, documenting, applying, and evaluating a list of approved services, applications, and sources of applications (stores) acceptable for use by endpoints when accessing or storing organization-managed data.

Implementation best practices  include (but not limited to):
a. Centralized Configuration: For managed endpoints, universally enforce policies through one or more centralized configuration management tools
b. Unmanaged Endpoints Risk Management: Risk assessment should be conducted to determine what (if any) information or systems may be accessed or stored using unmanaged endpoints
c. Approved Stores Usage: Approved sources (stores) for obtaining applications of only trusted vendor applications should be maintained, such as official app stores or internal repositories (e.g., Linux, Windows, MacOS, Android, and iOS)
d. Unauthorized Stores Usage Exception: The installation of applications from unauthorized sources should be prohibited, unless a business need exists after following the organizational exceptions approval process/cycle
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Determine if a list of approved services, applications and sources of applications (stores) acceptable for use by endpoints when accessing or storing organization-managed data have been identified and documented.
2. Determine if the identified and documented list of approved services, applications and sources of applications (stores) acceptable for use by endpoints when accessing or storing organization-managed data have been enforced.
3. Examine how endpoints are monitored for unauthorized services and the process to remove or terminate use of non-sanctioned resources.
"
Universal Endpoint Management,Compatibility,UEM-03,"Define and implement a process for the validation of the endpoint
device's compatibility with operating systems and applications.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control for both the CSP and CSC since they should both have documented processes and procedures in place to ensure endpoint device compatibility with operating systems and applications.

Implementation Guidelines.
Applicable to all service models:
Irrespective of cloud service delivery model, the CSP is responsible for defining and implementing a process for the validation of the endpoint device's compatibility with operating systems and applications.

The CSP should implement a diagnostic tool that checks endpoint security features for noncompliance and automates remedial activities before endpoints are allowed to access corporate networks.

The CSP should have a documented application validation process to test for compatibility issues regarding mobile devices, operating systems, and applications. Consistent operating system versions should be enforced across the organization to simplify management and reduce compatibility issues.

Misconfigured endpoints may not only impact operations but also introduce attack vectors. Poor configuration settings could involve open ports, outdated exceptions, and insecure protocols allowed. Any configuration changes once in production should follow change management guidelines (why, what, how) and require appropriate approvals.
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Examine the process for endpoint compatibility validation.
2. Determine if the process produces a published compatibility matrix.
"
Universal Endpoint Management,Endpoint Inventory,UEM-04,"Maintain an inventory of all endpoints used to store and access company
data.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control for both the CSP and CSC since they should both maintain an accurate and up-to-date centralized inventory of all endpoints used to store and access organizational data.

Implementation Guidelines.
Applicable to all service models:
Irrespective of cloud service delivery model, the CSP is responsible for maintaining an accurate and up-to-date centralized inventory (refer to DCS-06) of all endpoints used to store and access organization data.

The CSP should implement discovery tools to identify all endpoint devices connected to the organization's network and update the asset inventory.

Where possible, the CSP should ensure that the asset inventory records the network address, hardware address, device name, asset owner, and department for each asset, and whether the asset has been approved to connect to the network.

The CSP should ensure that any unauthorized endpoints are removed from the network, quarantined, or added to the inventory in a timely manner.

An inventory of all mobile devices used to store and access company data should be kept, maintained and regularly updated to reflect changes in device ownership, configurations, and software versions.
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Examine the asset register, with reference to endpoints.
2. Determine if endpoints that store and access company data are tagged and included in the asset inventory.
"
Universal Endpoint Management,Endpoint Management,UEM-05,"Define, implement and evaluate processes, procedures and technical
measures to enforce policies and controls for all endpoints permitted to access
systems and/or store, transmit, or process organizational data.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control for both the CSP and CSC, since they should each implement measures to enforce their respective policies and controls across all endpoints uniformly, ideally with a centralized configuration management tool.

Implementation Guidelines.
Applicable to all service models:
Implementation best practices include (but not limited to):
a. Endpoints Management: Technical measures to enforce controls that manage endpoints permitted to access systems and/or store, transmit, or process organizational data
b. Endpoints Access Control: Risk assessments to determine what (if any) endpoint types are acceptable for system access or information storage if alternate protection mechanisms are used
c. Centralized Configuration: For managed endpoints, universal enforcement of policies through one or more centralized configuration management tools
d. Endpoints Security Circumvention Prevention: Circumvention of vendor-supported and integrated (built-in) security controls on endpoints (e.g., jailbreaking or rooting) should be prohibited. These restrictions should be enforced through detective and preventive controls on the endpoint, managed through a centralized system (e.g., an endpoint system configuration control, or mobile device management system)
e. Unmanaged Endpoints Hardening: For unmanaged endpoints, best practices for hardening the endpoints should be considered by updating the default configurations, disabling unnecessary services, encrypting data on the endpoint, and segmenting the unmanaged endpoints from the main network
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Examine procedures for adequacy, currency, communication, and effectiveness.
2. Determine the extent and applicability of the processes, procedures, and technical measures over applicable endpoints, as identified.
3. Examine policy and procedures for evidence of review, with respect to effectiveness.
"
Universal Endpoint Management,Automatic Lock Screen,UEM-06,"Configure all relevant interactive-use endpoints to require an automatic
lock screen.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control for both the CSP and CSC, since each should configure their respective interactive-use endpoints to require an automatic lock screen.

Implementation Guidelines.
Applicable to all service models:
Inactivity timeout should be set to automatically trigger the lock screen when the endpoint device is idle for a specified period. The security lockout controls should automatically initiate after the endpoint remains idle from user interaction after a predefined time period. The user should then re-enter their credentials to gain access to the endpoint. 

Lock screen settings should be configured to require strong passwords, biometric authentication or passwordless authentication (device PINs, fingerprint recognition) for unlocking.
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Determine the organization's definition of interactive-use endpoints.
2. Examine the processes and technical measures in place to enforce automatic lock screens.
"
Universal Endpoint Management,Operating Systems,UEM-07,"Manage changes to endpoint operating systems, patch levels, and/or
applications through the company's change management processes.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control for both the CSP and CSC, since they should each manage their changes inclusive of patching to endpoint operating systems and applications through their respective change management processes.

Implementation Guidelines.
Applicable to all service models:
The organization should include a formal change and patch management process to ensure that endpoint operating systems and applications are up to date with the latest security patches and that changes are performed in a controlled and consistent manner (refer to CCC domain). Patch deployment should be automated to minimize vulnerability windows and reduce the risk of exploitation.

Implementation best practices for endpoints OS change management include (but not limited to):
a. Endpoints Change Management:
i. Identification and recording of significant changes
ii. Planning and testing of changes
iii. Assessment of the potential impacts (including security impacts) of such changes
iv. Formal approval for proposed changes
v. Communication of change details to all respective stakeholders
vi. Rollback procedures in case of unsuccessful changes or unforeseen events
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Examine the organization's change management policy for controls related to changes on endpoints.
2. Determine if such controls are in place for making changes to production and infrastructure systems and if the controls are evaluated as effective.
"
Universal Endpoint Management,Storage Encryption,UEM-08,"Protect information from unauthorized disclosure on managed endpoint
devices with storage encryption.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control. Its implementation is not service delivery model specific (IaaS, PaaS, or SaaS).  Both the CSP and CSC are responsible for enforcing storage encryption on their respective endpoint devices.

Implementation Guidelines.
Applicable to all service models:
The CSP should document formal encryption policies based on the sensitivity of the data being protected. In addition, the CSP should leverage technology to enforce various levels of encryption such as file encryption, full-disk encryption, endpoint protection, etc.

The CSP should utilize industry-standard encryption algorithms and strong encryption for data identified as sensitive.

Wherever possible, the CSP should also:
a. Endpoints Disk Encryption: Implement full disk encryption for endpoint devices that store data identified as sensitive
b. Endpoints Container Security: Utilize container technology to secure and encrypt sensitive data on mobile devices
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Examine the organization's asset disposal policy for end-of-life security requirements.
2. Examine the organization's policy on encryption or otherwise protection of data at rest on endpoints.
3. Determine if such controls are in place and evaluated as effective.
"
Universal Endpoint Management,Anti-Malware Detection and Prevention,UEM-09,"Configure managed endpoints with anti-malware detection and prevention
technology and services.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control for both the CSP and CSC, since both should implement endpoint security on processes and technology, including anti-malware software to mitigate the risk of exploitation by malicious actors.

Implementation Guidelines.
Applicable to all service models:
Configurations should include installing and regularly updating anti-malware software, signatures and virus definitions (automatically) whenever updates are available to ensure protection against the latest threats (refer also to TVM-02). 

The CSP should periodically review and scan installed software and system data content to identify and remove unauthorized code/software when possible. Procedures should be defined to respond to malicious code or unauthorized software identification. 

Technical measures should be implemented to prohibit using or installing unauthorized software, including restrictions on obtaining data and software from external networks. 

Also, wherever possible, organizations should:
a. Endpoints Removable Media Management: Control use of removable media such as USB, CDs, DVDs, hard drives, FireWire devices, and external serial advanced technology  attachment devices
b. Endpoints Application Whitelisting: Implement application whitelisting technology to ensure that only authorized software executes and all unauthorized software including malware is blocked.
c. BYOD Anti-malware: Ensure that all BYOD devices leverage anti-malware software
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Examine the organization's anti-malware policy.
2. Determine if such controls are in place and evaluated as effective.
"
Universal Endpoint Management,Software Firewall,UEM-10,"Configure managed endpoints with properly configured software firewalls.
","Control Ownership Rationale.
This is a ""Shared (Independent)"" control for both the CSP and CSC, since they should each maintain properly configured firewalls on their respective endpoints. The endpoint firewalls should inspect traffic, apply rules, and perform behavioral monitoring.

Implementation Guidelines.
Applicable to all service models:
Configurations should include installing and regularly updating firewall software and firewall rules (automatically) on all endpoints. The CSP should periodically review and scan the firewall rules to ensure unapproved rules do not exist.

Implementation best practices should include (but not limited to):
a. Endpoints Firewall Security:
i. Ensure all endpoints have the currently active baseline ruleset
ii. Ensure the changes to baseline rules are properly approved through a well-documented change management process
iii. Ensure new rules are properly approved through a well-documented change management process
iv. Check the web traffic-such as hypertext markup language (HTML), JavaScript, and hypertext transfer protocol (HTTP)-for malicious code
v. Note anomalies that exceed normal traffic patterns, and take appropriate action to address them
","Control Ownership Rationale.
The control ownership rationale provided for the CSP applies.

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Examine the organization's software firewall and other endpoint network protection policy.
2. Examine the policy on configuration of such controls.
3. Determine if such controls are in place and evaluated as effective.
"
