term,definition,source_anchor,notes
Active Cyber Defence,The taking of proactive defensive measures outside the defended cyber infrastructure. A hack-back is a type of active cyber defence.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Active_Cyber_Defence,
Bandwidth,"The capacity of a communication channel to pass data through the channel in a given amount of time, usually expressed in bits per second.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Bandwidth,
Botnet,"A network of compromised computers, so-called 'bots', remotely controlled by an intruder, 'the botherder', used to conduct coordinated cyber operations, such as distributed denial of service operations.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Botnet,
Click farm,See farm.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Click_farm,
Close Access Operation,A cyber operation requiring the actor's physical proximity to the targeted system.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Close_Access_Operation,
Cloud Computing,"A model for enabling ubiquitous, convenient, on-demand network access to a shared pool of configurable computing resources (such as networks, servers, applications, and services) that can be rapidly provisioned and released with minimal management effort or service provider interaction.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Cloud_Computing,
Common Criteria,International standard for evaluating the security properties of IT products.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Common_Criteria,
Computational Propaganda,See propaganda.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Computational_Propaganda,
Computer Emergency Response Team (CERT),A team that provides initial emergency response aid and triage services to the victims or potential victims of cyber operations or cyber crimes.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Computer_Emergency_Response_Team_CERT,
Computer Network,An infrastructure of interconnected devices or nodes that enables the exchange of data.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Computer_Network,
Computer System,One or more interconnected computers with associated software and peripheral devices.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Computer_System,
Critical Infrastructure,"Physical or virtual systems and assets of a State that are so vital that their incapacitation or destruction may debilitate a State's security, economy, public health or safety, or the environment.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Critical_Infrastructure,
Cyber,Connotes a relationship with information technology.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Cyber,
Cyber Activity,Any activity that involves the use of cyber infrastructure or employs cyber means to affect the operation of such infrastructure.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Cyber_Activity,
Cyber Infrastructure,"The communications, storage, and computing devices upon which information systems are built and operate.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Cyber_Infrastructure,
Cyber Operation,The employment of cyber capabilities to achieve objectives in or through cyberspace.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Cyber_Operation,
Cyber Reconnaissance,"The use of cyber capabilities to obtain information about activities, information resources, or system capabilities.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Cyber_Reconnaissance,
Cyber System,See computer system.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Cyber_System,
Cyberspace,"The environment formed by physical and non-physical components to store, modify, and exchange data using computer networks.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Cyberspace,
