term,definition,source_anchor,notes
AWWA Process Control System Security Guidance,The American Water Works Association (AWWA) produced voluntary security guidance to provide water utility companies with a recommended course of action to reduce vulnerabilities to cyber-attacks. It is meant to represent the water sector's approach to implementing the NIST framework (see below).,awwa-process-control-system-security-guidance,links: AWWA guidance: http://www.awwa.org/Portals/0/files/legreg/documents/AWWACybersecurityguide.pdf
Bulk electric systems (BES),BES are generation and transmission facilities and their control systems that are part of the North American interconnected power grid. They generally operate at 100 kilovolts or more.,bulk-electric-systems-bes,
"Breakers (i.e., circuit breakers)","In electric substations, circuit breakers act as safety switches to protect workers and equipment during an emergency by automatically stopping electric current flowing through a power line.",breakers-i-e-circuit-breakers,links: Explanation of substations: https://www-wichita.westarenergy.com/kanza-education-and-science-park-the-substation
DHS,U.S. Department of Homeland Security,dhs,
DOE ES-C2M2,The U.S. Department of Energy (DOE) Cybersecurity Capability Maturity Model (C2M2) is generally a self-evaluation tool that organizations can use to compare their cybersecurity program to industry best practices. The C2M2 for the electricity subsector is ES-C2M2.,doe-es-c2m2,links: ES-C2M2: http://energy.gov/sites/prod/files/2014/02/f7/ES-C2M2-v1-1-Feb2014.pdf
Electric reliability organization (ERO),"Currently, NERC (see below) serves as the ERO. The 2005 federal Energy Policy Act (P.L. 109-58) gave FERC the power to certify an organization to act as ERO and to approve mandatory cybersecurity standards the ERO proposes and enforces.",electric-reliability-organization-ero,links: 16 U.S.C. 824o: https://www.gpo.gov/fdsys/pkg/USCODE-2015-title16/pdf/USCODE-2015-title16-chap12-subchapII-sec824o.pdf
FCC,Federal Communications Commission,fcc,
FCC CSRIC IV WG4 Final Report,"FCC's Communications Security, Reliability and Interoperability Council (CSRIC IV) published a report known as the Working Group 4 (WG-4) Final Report that assessed and prioritized the NIST framework (see below) for the communications industry.",fcc-csric-iv-wg4-final-report,links: WG-4 Final Report: https://transition.fcc.gov/pshs/advisory/csric4/CSRIC_IV_WG4_Final_Report_031815.pdf
FERC,Federal Energy Regulatory Commission,ferc,
GridEx,"A North American-wide, biennial physical security and cybersecurity exercise sponsored by NERC that tests the electricity sector's response to simulated cybersecurity and physical security incidents",gridex,links: GridEx III Report: http://www.nerc.com/pa/CI/CIPOutreach/GridEX/NERC%20GridEx%20III%20Report.pdf
