term,definition,source_anchor,notes
"""""","het motief, de vasthoudendheid en soms ook<br>de gekozen methoden van de aanvaller. """" Assurance level Mate van zekerheid waarin je kunt vertrouwen<br>op de kwaliteit van een bepaalde dienst of<br>een bepaald proces.",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#,
0-day,Zie zero-day Acceptable risk level,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#0-day,see also: Risico acceptatie
2-stapsverificatie,Tweefactorauthenticatie Meerfactor<br>authenticatie Acceptable Use Policy Beleid van de aanbieder/eigenaar van een<br>systeem of dienst voor aanvaardbaar gebruik.,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#2-stapsverificatie,see also: AUP
2-trapsverificatie,"Tweefactorauthenticatie """" Dit beleid bepaalt welke handelingen/<br>activiteiten de gebruikers/klanten mogen",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#2-trapsverificatie,
2FA,"Tweefactorauthenticatie """" verrichten. Bij het gebruik van een systeem<br>buiten de acceptable use policy (AUP)",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#2fa,
<b>?</b>,ZIE,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#b-b,see also: ООК
<b>♦</b>,ZIE,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#b-b,see also: ООК
AAA,"Authenticatie, autorisatie en accounting Authenticatie,<br>autorisatie en<br>accounting kunnen veiligheidsoverwegingen en<br>juridische gevolgen een rol spelen en niet<br>geaccepteerde veiligheidsrisico's ontstaan.",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#aaa,
Aanbieder van<br>essentiële diensten,Een aanbieder die vanuit de Wet beveiliging<br>netwerk en informatiesystemen en straks de<br>Cyberbeveiligingswet rechten en plichten<br>heeft op het gebied van cybersecurity. Wet beveiliging<br>netwerk- en<br>informatie<br>systemen Access Control List Een lijst waarop staat welke gebruiker of<br>systeem welke toegang heeft in een idigitaal<br>systeem of onderdeel ervan.,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#aanbieder-van-br-essentile-diensten,see also: ACL
Aanval,Cyberaanval Access Point Een apparaat waarmee een gebruiker of<br>systeem verbinding maakt om met een,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#aanval,
Aanvaller,Iemand die met opzet de beveiliging probeert<br>uit te schakelen of omzeilen om in een<br>digitaal systeem te komen. Account netwerk te verbinden.<br>Element van een digitaal systeem dat een,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#aanvaller,"see also: Inlogcode,"
Aanvalsfacilitator,"Persoon of entiteit met kwaadaardige<br>intenties die software, computers en<br>netwerken ontwikkelt en verkoopt zodat<br>anderen hiermee digitale aanvallen kunnen<br>uitvoeren. gebruiker representeert. Bij een account<br>hoort informatie over de gebruiker, zoals<br>persoonlijke gegevens, inloggegevens en<br>informatie waar de gebruiker bij mag. Er<br>bestaan verschillende soorten accounts,<br>zoals een gebruikersaccount of een",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#aanvalsfacilitator,"see also: Wachtwoord,<br>Meerfactor<br>authenticatie"
Aanvalsoppervlak,"Het gedeelte van digitale systemen dat een<br>aanvaller kan bereiken om zijn aanvallen op<br>te richten. Aanvalsvector administratoraccount voor beheerders. In het<br>spraakgebruik wordt deze term vaak gebruikt<br>om lidmaatschap bij een dienst aan te duiden<br>- ""Ik heb een account bij"".",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#aanvalsoppervlak,
Aanvalspad,"Route die een aanvaller gebruikt in een<br>digitale omgeving om van de initieel<br>verkregen toegang bij zijn doel te komen.<br>Een dergelijk pad kan worden gemodelleerd Aanvalsvector ,<br>Cyber kill chain Account hijacking Het overnemen van een account met<br>bijbehorende rechten. Wordt gebruikt bij<br>onder andere identiteitsdiefstal.",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#aanvalspad,see also: Identity theft
Aanvalsvector,"Manier die een aanvaller kan gebruiken om<br>een digitaal systeem binnen te dringen. Aanvalsoppervlak,<br>Aanvalspad Accountability Verantwoordelijk worden gehouden voor het<br>eindresultaat.",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#aanvalsvector,
Accreditatie,"Verklaring van een toezichthouder dat een<br>getoetste organisatie geschikt is om haar<br>werk te doen en dat haar diensten voldoen<br>aan bepaalde eisen. """" Bijvoorbeeld door te bepalen welke<br>informatie beide teams krijgen. De<br>gecombineerde oefening met een Red<br>team en een Blue team heet ook wel Purple",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#accreditatie,"see also: """""
Achterdeur,"Backdoor teaming. Bij dit soort oefeningen ligt de<br>nadruk op samenwerking tussen teams, en op",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#achterdeur,
ACL,Access Control List Access Control List het nadoen van tegenstanders en aanvallen.<br>Bij een penetratietest probeert men zo diep<br>mogelijk in een systeem binnen te dringen.,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#acl,
Actor,"Een persoon of samenstelling van personen<br>die een cyberaanval uitvoert of de intentie<br>daartoe heeft. Voorbeelden zijn: a) staten/<br>staatsgelieerde actoren, b) criminelen, c)<br>terroristen, d) hacktivisten, e) cybervandalen<br>en scriptkiddies en f) insiders. Adware Software die onbewust op een digitaal<br>systeem van een gebruiker wordt geplaatst.<br>De software verzamelt informatie uit het<br>systeem. Die informatie wordt gebruikt om<br>bijvoorbeeld via advertenties doelgerichte",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#actor,
Admin,Administrator reclame naar de gebruiker te sturen of<br>profielen van gebruikers te verzamelen.,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#admin,
Administrator,Beheerder van een digitaal systeem of<br>computernetwerk. Deze persoon heeft meer<br>rechten dan een gewone gebruiker. Zo kan AED,https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#administrator,see also: Aanbieder<br>van Essentiele<br>Diensten
Advanced Red Teaming,"Dit is een grote oefening (adversary<br>simulation) onder toezicht van een<br>toezichthouder, zoals de Nederlandsche Bank Adversary<br>simulation AI Artificial Intelligence.",https://www.cyberveilignederland.nl/download/file/Cyberveilig_Woordenboek2024.pdf#advanced-red-teaming,see also: Artificial<br>Intelligence
