term,definition,source_anchor,notes
ABAC,Accrual-based accounting,A,
AD,Administrator,A,
AG,Advisory Group,A,
AHWG,Ad-hoc Working Group,A,
AI,Artificial intelligence,A,
APF,Annual privacy forum,A,
APT,"Advanced Persistent Threat. This term is commonly used to refer to cyber threats, in particular that of Internet-enabled espionage using a variety of intelligence gathering techniques.",A,
APWG,"Anti-Phishing Working Group. Non-profit global pan-industrial and law enforcement association focused on eliminating the fraud, crime and identity theft that result from phishing, pharming, malware and email spoofing.",A,
ARET,Awareness Raising and Education Team,A,
AST,Assistant(s),A,
Awareness raising,Awareness is the 'what' component of the education strategy of an organisation which tries to change the behaviour and patterns in how targeted audience uses technology and the Internet.,A,
BEREC,Body of European Regulators of Electronic Communications,B,
CA (Contract),Contract agent,C,
CA (Certification),"Certification Authority. An authority that carries out certain management actions related to digital certificates, e.g. issuing, suspending, revoking etc.",C,
CBU,Capacity Building Unit,C,
CE,Cyber Europe exercises. The Cyber Europe exercises are simulations of large-scale cybersecurity incidents that escalate to become cyber crises.,C,
CEN,European Committee for Standardisation,C,
Cenelec,European Committee for Electrotechnical Standardisation,C,
CEP,Cyber exercise platform. Set of machines and networks that provide the possibility of training technical skills and practise the participants' knowledge in an online way.,C,
CERT,"Computer emergency response team. CERT, refers to a group of IT security experts, that provide reactive and proactive IT security services to its customers.",C,
CERT-EU,"Computer Emergency Response Team for the EU institutions, bodies and agencies",C,
CII,"Critical Information Infrastructures. Information infrastructure (like networks, hardware, software, etc.) that is critical to the functioning of a nation or country.",C,
CIIP,Critical information-infrastructure protection,C,
CISO,"Chief Information Security Officer. Manages information security implications within the organization, specific program, or other area of responsibility.",C,
Cloud Computing,"Cloud computing is a model for enabling ubiquitous, convenient, on-demand network access to a shared pool of configurable computing resources (e.g., networks, servers, storage, applications, and services).",C,
CoA,Court of Auditors,C,
COM,European Commission,C,
CSA,Cybersecurity Act,C,
CSCG,ETSI CEN-CENELEC cybersecurity Security coordination group. It is the only joint group of the three officially recognised European Standardisation Organisations with a mandate for coordinating Cyber Security standards.,C,
CSIRT,Computer-security and incident-response team. Computer Security and Incident Response Team. Other term for CERT.,C,
Cyber crisis,Critical situation that involves information and telecommunication structures or facilities and can damage them and provoke a reduction or the discharge of the services they provide.,C,
CyCLONe,Cyber Crisis Liaison Organisation Network,C,
Data Protection,Laws and regulations that make it illegal to store or share some types of information about people without their knowledge or permission.,D,
DG,Directorate-general. An organisational unit within the European Commission.,D,
DG CONNECT,"Directorate General for Communications Networks, Content and Technology. An organisational unit within the European Commission.",D,
DPA,Data protection authorities. Independent body which is charge of monitoring the processing of personal data within its jurisdiction.,D,
DPO,Data protection officer,D,
DSM,Digital single market,D,
EATA,European Automotive Telecom Alliance,E,
EB,Executive board,E,
EC,European Union Commission. Other term for COM. The European Commission is the EU's executive body and represents the interests of Europe as a whole.,E,
ECB,European Central Bank,E,
EC3,"European cybercrime centre, Europol",E,
ECA,European Court of Auditors,E,
ECCG,European Cybersecurity Certification Group,E,
ECSC,European cybersecurity challenge,E,
ECSM,European cybersecurity month,E,
ECSO,European cybersecurity organisation,E,
ED,Executive Director. The senior manager and legal representative of the European Union Agency for Cybersecurity.,E,
EDA,European Defence Agency,E,
EDO,Executive Director's Office,E,
EDPS,European Data Protection Supervisor. An independent supervisory authority devoted to protecting personal data and privacy and promoting good practice in the EU institutions and bodies.,E,
EEAS,European External Action Service,E,
EECC,EU electronic communications code,E,
EFTA,"European Free Trade Association (Stockholm Convention) (Iceland, Liechtenstein, Norway and Switzerland)",E,
eID,Electronic Identity. Identity of a physical person in the digital world. It provides personal information about a person that can be accessible through digital services.,E,
eIDAS,Regulation on electronic identification and trusted services for electronic transactions in the internal market,E,
Electronic Seal,Data in electronic form which are attached to or logically associated with other electronic data to ensure the origin and the integrity of the associated data.,E,
ENISA,European Union Agency for Cybersecurity (formly known as the European Union Network and Information Security Agency),E,
ERA,European Railway Agency,E,
ETSI,European Telecommunications Standards Institute,E,
EU,European Union,E,
EUIBAs,"EU institutions, bodies and agencies",E,
Europol,European Union Agency for Law Enforcement Cooperation,E,
eu-LISA,"European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice",E,
FIRST,Forum of incident-response and security teams,F,
GDPR,General data protection regulation,G,
H2020,Horizon 2020,H,
HoU,Head of Unit. The mid-manager who is in charge of an organisational unit within ENISA.,H,
IaaS,"Infrastructure as a Service. In Cloud computing, IaaS incorporates the capability to abstract resources (or not) as well as deliver physical and logical connectivity to those resources.",I,
IAS,Internal Audit Service,I,
