term,definition,source_anchor,notes
Analyzer,"Software that analyzes a scan target type for security vulnerabilities. Internally, it is responsible for gathering required configuration parameters, performing necessary data transformations to convert the target into a standardized format for the scanner to execute the scan operation. Finally, it produces a report in the format required by the caller.

CI/CD-based analyzers integrate into GitLab using a CI/CD job. The report produced by the CI/CD-based analyzer is published as an artifact after the job completes. GitLab ingests this report, allowing users to visualize and manage found vulnerabilities. The generated reports adhere to the secure report format .

Many GitLab analyzers follow a standard approach using Docker to run a wrapped scanner. For example, the image semgrep is an analyzer that wraps the scanner Semgrep . However, some analyzers run directly within GitLab Rails or other target environments rather than in separate containers.",https://docs.gitlab.com/user/application_security/terminology/#analyzer,
Attack surface,"The different places in an application that are vulnerable to attack. Secure products discover and search the attack surface during scans. Each product defines the attack surface differently. For example, SAST uses files and line numbers, and DAST uses URLs.",https://docs.gitlab.com/user/application_security/terminology/#attack-surface,
Component,"A software component that makes up a portion of a software project. Examples include libraries, drivers, data, and many more .",https://docs.gitlab.com/user/application_security/terminology/#component,
Corpus,The set of meaningful test cases that are generated while the fuzzer is running. Each meaningful test case produces new coverage in the tested program. You should re-use the corpus and pass it to subsequent runs.,https://docs.gitlab.com/user/application_security/terminology/#corpus,
CNA,CVE Numbering Authorities (CNAs) are organizations from around the world that are authorized by the Mitre Corporation to assign CVE s to vulnerabilities in products or services within their respective scope. GitLab is a CNA .,https://docs.gitlab.com/user/application_security/terminology/#cna,
CVE,Common Vulnerabilities and Exposures (CVE®) is a list of common identifiers for publicly known cybersecurity vulnerabilities. The list is managed by the Mitre Corporation .,https://docs.gitlab.com/user/application_security/terminology/#cve,
CVSS,The Common Vulnerability Scoring System (CVSS) is a free and open industry standard for assessing the severity of computer system security vulnerabilities.,https://docs.gitlab.com/user/application_security/terminology/#cvss,
CWE,"Common Weakness Enumeration (CWE™) is a community-developed list of common software and hardware weakness types that have security ramifications. Weaknesses are flaws, faults, bugs, vulnerabilities, or other errors in software or hardware implementation, code, design, or architecture. If left unaddressed, weaknesses could result in systems, networks, or hardware being vulnerable to attack. The CWE List and associated classification taxonomy serve as a language that you can use to identify and describe these weaknesses in terms of CWEs.",https://docs.gitlab.com/user/application_security/terminology/#cwe,
Deduplication,"When a category’s process deems findings to be the same, or if they are similar enough that a noise reduction is required, only one finding is kept and the others are eliminated. Read more about the deduplication process .",https://docs.gitlab.com/user/application_security/terminology/#deduplication,
Dependency graph export,"A dependency graph export lists the direct and indirect dependencies used by a project and the relationships between them. It’s generated by a package manager command (for example, go mod graph or mvn dependency:tree ) and output as a file.

Related term: lockfile .",https://docs.gitlab.com/user/application_security/terminology/#dependency-graph-export,
Dependency version conflict,"A dependency version conflict occurs when dependency version constraints cannot be satisfied.

Consider the following:

Dependency X requires packageA at exactly version 1.0.0 Dependency Y requires packageA version 1.0.1 or higher

In this example, no version of packageA can satisfy both constraints, resulting in a dependency version conflict.",https://docs.gitlab.com/user/application_security/terminology/#dependency-version-conflict,
Dependency version incompatibility,"A dependency version incompatibility occurs when a package’s version does not satisfy a version constraint.

Consider the following:

packageA has versions 1.0.0 and 1.0.1 Dependency X requires packageA version 1.0.1 or higher

In this example, packageA version 1.0.0 does not satisfy the version constraint, and so is incompatible. However, packageA version 1.0.1 does satisfy the constraint.",https://docs.gitlab.com/user/application_security/terminology/#dependency-version-incompatibility,
