"term","definition","source_anchor","notes"
"AAD","See Azure Active Directory.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Access Control","a physical or technical control (or system) to ensure authorized access and to prevent unauthorized access to resources, premises or systems to enforce business or security requirements. Examples include a lock to which only authorized personnel have the key, a swipe-card entry system, PIN controls on bank cards, file permissions on a server or any other means of controlling usage.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Accreditation","the final approval to authorize operation of an information system and to explicitly accept the risk to Ministry operations (including mission, functions, image, or reputation), assets, or individuals, based on the implementation of an agreed upon set of security controls.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"ActiveX","a set of technologies that allows software components to interact with one another in a networked environment, regardless of the language in which the components were created. ActiveX controls can be embedded in web pages to produce animation and other multimedia effects.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Ad-hoc telework","occasional telework. (See: **Telework**).","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Advanced Persistent Threat (APT)","an adversary that possesses sophisticated levels of expertise and significant resources which allow it to create opportunities to achieve its objectives by using multiple attack vectors (e.g., cyber, physical, and deception). The APT adversary pursues its objectives repeatedly over an extended period of time, adapts to the defender’s efforts to resist it, and is determined to maintain the level of interaction needed to execute its objectives.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Adware","a form of spyware that enters a computer from an internet download, it monitors the computer use, such as what Web sites are visited. Adware gets its name from launching numerous pop-up ads in the infected computer browser.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Algorithm","a sequence of steps needed to solve logical or mathematical problems. Certain cryptographic algorithms are used to encrypt or decrypt data files and messages and to sign documents digitally.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Anti-Virus Program","software designed to detect, and potentially eliminate, viruses before they have had a chance to wreak havoc within the system, as well as repair or quarantine files which have already been infected by virus activity.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Applet","is any miniature application transported over the internet, especially as an enhancement to a web page. Authors often embed applets within the HTML page as a foreign program type. Java applets are usually only allowed to access certain areas of the user's system - computer programmers often refer to this area as the sandbox.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Application Architecture","a graphical representation of a system showing the process, data, hardware, software and communications components of the system.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Application/ business application","a collection of computer hardware, computer programs, databases, procedures and knowledge workers that work together to perform a related group of services or business processes.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Architecture","in the context of IT systems, as opposed to buildings, ""architecture"" describes the approach to designing and constructing systems, networks, applications or even information storage. A variety of formal methodologies are available to support information architecture development, and others exist to help develop security architecture.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Assets","for the purposes of information security policy, information in all forms and media, networks, hardware, software and application systems.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Attack surface","set of points on the boundary of a system, a system element, or an environment where an attacker can try to enter, cause an effect on, or extract data from that system, system element, or environment.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Audit","an examination of the facts to render an opinion and would include testing evidence to support the opinion.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Audit logs","includes all types of event logs including (but not limited to) security, audit, application, access and network across all operating system platforms. Failing to produce an audit log means that the activities on the system are 'lost'.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Authentication","a security measure designed to verify the identity of a transmission, user, user device, entity, or data. For example, a user name and password authenticates a user.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Availability","assurance that the systems responsible for delivering, storing and processing information, and the information itself, are accessible and usable when needed, by those who need them, to support business functions. A goal of information security is to ensure availability.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Azure Active Directory (AAD or Azure AD)","A cloud-based identity and access management service.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Back Door","a back door is a feature programmers often build into programs to allow special privileges normally denied to users of the program. Often programmers build back doors so they can fix bugs. If hackers or others learn about a back door, the feature may pose a security risk.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Bandwidth","commonly used to mean the capacity of a communication channel to pass data through the channel in a given amount of time.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Blog","a web site where users regularly post up-to-date journal entries of their thoughts on any subject they choose. It is readable by anyone on the web.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Botnet","a collection of compromised computers that, although their owners are unaware of it, have been set up for malicious purposes such as sending spam or viruses to other computers on the Internet, or flooding a network with denial of service attacks. Any such computer is referred to as a zombie – in effect, a computer “robot” or “bot” that serves the wishes of a master Spam or virus originator. Botnets are often installed because the user responds to a fraudulent request received via e-mail, or opens an e-mail attachment.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Breach","a breach of privacy legislation, privacy policy or other suspicious activity that may affect the confidentiality and integrity of personal information controlled or in the custodianship of a government, business or other organization. Includes security breaches involving system compromises and theft of personal information or assets.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Browser Hijacker","a type of spyware that allows the hacker to spy on the infected PC’s browsing activity, to deliver pop-up ads, to reset the browser homepage, and to redirect the browser to other unexpected sites.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"(BCP)","the procedures and information necessary for the timely recovery of essential services, programs and operations, within a predefined timeframe. The BCP includes the recovery following an emergency or a disaster that interrupts an operation or affects service or program delivery.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Business information systems","internal administrative and productivity information systems that support the organization such as e-mail, calendars and financial systems.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Capacity management","the process of determining the system capacity needed to deliver specific performance levels through quantification and analysis of current and projected workload.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"CAPTCHA","a security technique that ensures that a human has made the transaction online rather than a computer. It is also known as ""Automated Turing Tests"" and was originally developed at Carnegie Mellon University. Random words or letters are displayed in a distorted fashion so that they can be deciphered by people, but not by software. This usually involves the use of graphic images of characters and numbers. Users are asked to type in what they see on screen to verify human involvement.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Card Skimmers","a means of electronically capturing information from credit or debit card readers, such as ATMs (automated teller machines) or other payment devices.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Certification","See: **Security certification**","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Chief Information Security Officer","a role that is responsible for protecting the confidentiality, integrity and availability of government information. See: **[Security Roles and Responsibilities](https://www2.gov.bc.ca/gov/content/governments/services-for- government/information-management-technology/information-security/security- roles-and-responsibilities)** for more information about the responsibilities for this role.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"CISSP","stands for the highly specialized information security certification: Certified Information Systems Security Professional. This level of professional recognition or certification is offered by the International Information Systems Security Certification Consortium, Inc. and attests that an individual possesses a high level of skills and knowledge. The certification is recognized worldwide.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Clickjacking","also called clickjack or clickjack attack, it is a vulnerability that is used by an attacker to ""collect"" an infected user's clicks. The attacker can force the user to do all sort of things from adjusting the user's computer settings to unwittingly sending the user to Web sites that might have malicious code.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cloud Computing","a term used in multiple diverse ways to describe the process of outsourcing computing to an external provider, normally one that offers massive shared online hosting facilities. Originally used to describe a grid-computing-style approach, it is now used to describe on-demand resource pooling, rapid elasticity and measured services with broad network access (e.g., Software as a Service (SaaS), Platform as a Service (PaaS) and Infrastructure as a Service (IaaS)) (based on the [NIST definition](https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-145.pdf)).","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Common Criteria (CC)","an international standard (ISO/IEC 15408) for computer security certification. It is a framework that provides assurance that the process of specification, implementation and evaluation of a computer security product has been conducted in a rigorous, consistent, and repeatable manner at a level that is matches the target environment for use.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Compliance","the act or process of complying with policies, procedures, standards or mandatory controls or requirements.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Compliance checking","in the context of the Information Security Standard, includes an audit; risk and controls review; security review; and monitoring of an information system.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Confidentiality, Integrity and Availability (CIA)","a central goal of information security is to preserve the confidentiality, integrity and availability of an organisation's information. Loss of one or more of these attributes can threaten the continued existence of even the largest corporate entities.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Confidentiality","assurance that information is shared only among authorised persons or organisations. Breaches of confidentiality can occur when data is not handled in a manner adequate to safeguard the confidentiality of the information concerned. Such disclosure can take place by word of mouth, by printing, copying, e-mailing or creating documents and other data etc. The classification of the information should determine its confidentiality and hence the appropriate safeguards.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Configuration Management","is an information security concept that relates to establishing and maintaining settings and characteristics associated with the hardware and software of an information system. Foreknowledge, maintenance and monitoring of a system’s settings as a baseline is a fundamental information assurance concept. Any deviation from the known settings, unless properly authorized, is a potential security breach.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Connection strings","a connection string is a string of computing code that specifies information about a data source and the means of connecting to it.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Control balances","computational aids for data verification (e.g., record counts, row and column counts, subtotals, and etc.).","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cookies","cookies are blocks of text placed in a file on your computer's hard disk. Web sites use cookies to identify users who revisit their site. Cookies might contain login or registration information, ""shopping cart"" information or user preferences. When a server receives a browser request that includes a cookie, the server can use the information stored in the cookie to customize the web site for the user. Cookies can be used to gather more information about a user than would be possible without them.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Credentials","for a BC government employee, credentials are their IDIR account - an abbreviation of their name, which in combination with their password provides a secure single sign-on that is unique to that individual.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Crimeware","malicious software that is covertly installed on computers and has the ability to ‘steal’ confidential information and send it back to cyber criminals. One form of crimeware is ransomware, which is software that denies access to a person’s files until they pay a ransom.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Critical","processes that, should they not be performed, could lead to loss of life (“safety”), personal hardship to citizens, major damage to the environment, or significant loss in revenue and/or assets.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cryptographic Keys","a piece of information that controls the operation of a cryptography algorithm. In **encryption** , a key specifies the particular transformation of data into encrypted data and the transformation of encrypted data into data during decryption. The cryptographic algorithm ensures that only someone with knowledge of the key can reproduce or reverse the transformation of data.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cryptography","the discipline which embodies principles, means and methods for the transformation of data in order to hide its information content, prevent its undetected modification, or prevent its unauthorized use.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Custody","(of a record) means having physical possession of a record, even though the public body does not necessarily have responsibility for the record. Physical possession normally includes responsibility for access, managing, maintaining, preserving, disposing and providing security.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cyberattack","a technical attack against the Confidentiality, Integrity or Availability of systems, networks or telecommunications, usually for illegal purposes such as theft, espionage or destructive motives.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cybercrime","criminal activity taking place through exploitation of electronic mechanisms - a lucrative world‐wide illegal business, operating in “the Underground Economy”, it is no longer solely a hobby for individual hackers seeking new computer challenges. The threats posed by cyber criminals apply to work and home computers, and increasingly to mobile devices.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cybersecurity","information security, with a particular focus on interconnection and integration with untrusted internetworked systems.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
