term,definition,source_anchor,notes
access control,A way of ensuring that only authorised users (or automated systems) can access data or services.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: authentication
account freezing,"Temporarily suspending an account, in response to the detection of unusual/suspicious activity.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: throttling
active cyber defence,A set of NCSC services that are designed to reduce high-volume commodity cyber attacks.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: acd; mail check; web check | see also: acd; mail check; web check
administrator,"A person who manages a computer system, usually with highly privileged access to data and services.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: admin
ai,"Artificial intelligence (AI) describes computer systems which can perform tasks usually requiring human intelligence. This could include visual perception, speech recognition or translation between languages.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: artificial intelligence; machine learning | see also: artificial intelligence; machine learning
allow list,"A security strategy organisations can use that approves a list of email addresses, IP addresses, domain names or applications, while denying all others, to protect computers and networks from threats.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: whitelist whitelisting and blacklisting is still used across the industry; but the ncsc do not use these terms. read more why in our blog post: /blog-post/terminology-its-not-black-and-white; deny list | see also: whitelist whitelisting and blacklisting is still used across the industry; but the ncsc do not use these terms. read more why in our blog post: /blog-post/terminology-its-not-black-and-white; deny list
android,"Google's mobile operating system, used by several smartphone and tablet manufacturers.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: operating system
anti-malware,"Software that is designed to detect, stop and remove malicious software (malware).",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: antivirus
antivirus,"Software that is designed to detect, stop and remove viruses and other kinds of malicious software.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: av; anti-malware | see also: av; anti-malware
application,A software program running on a computer. Usually referred to as an 'app' when running on a smartphone or tablet.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: app
apt,Advanced persistent threat. A nation-state or highly capable criminal actor that gains unauthorised access to a system and remains undetected for a long time.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: advanced persistent threat; hacker | see also: advanced persistent threat; hacker
