Domain,Category,Control ID,Control Name,Control Requirements
"AI Governance, Risk, & Compliance",AI Governance Program,Gov 1.1,"Policies, Processes, & Procedures Established","Establish an internal AI governance structure, policies and mechanism to direct, monitor and control AI systems development and deployment."
"AI Governance, Risk, & Compliance",AI Governance Program,Gov 1.2,AI Roles & Responsibilities Structure,"Senior management assigns authority and holds people accountable for adhering to an organization's AI policies, processes and objectives."
"AI Governance, Risk, & Compliance",AI Governance Program,Gov 1.3,AI Program Effectiveness and Risk Monitored,Ongoing monitoring and periodic review of the risk management process and its outcomes are planned including determining the frequency of periodic review.
"AI Governance, Risk, & Compliance",AI Governance Program,Gov 1.4,AI Training Program,"The organization’s personnel and partners receive AI risk management training to enable them to perform their duties and responsibilities consistent with related policies, procedures, and agreements."
"AI Governance, Risk, & Compliance",AI Risk Management,Gov 2.1,Risk Management Processes,"Risk management process and its outcomes are established through transparent policies, procedures, and other controls based on organizational risk priorities."
"AI Governance, Risk, & Compliance",AI Risk Management,Gov 2.2,Risk Assessment and Tolerances,"Senior management identifies the AI system needs and uses the collected information to establish risk thresholds, provide resources to ensure that staff are familiar with AI policies and procedures."
"AI Governance, Risk, & Compliance",AI Risk Management,Gov 2.3,Gen AI Program Inventory,Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.
"AI Governance, Risk, & Compliance",AI Regulatory Compliance,Gov 3.1,Ongoing Compliance & Regulatory Watch,"Legal and regulatory requirements involving AI are understood, managed, and documented."
"AI Governance, Risk, & Compliance",AI Regulatory Compliance,Gov 3.2,Report Identified Incidents,Document and report incidents and related information on incident control actions with designated authorities.
"AI Governance, Risk, & Compliance",Supply Chain Security,Gov 4.1,Supplier Risk Management,"AI risks and benefits from third-party resources are regularly monitored, and risk controls are applied and documented."
AI App Controls & Management,AI App Safety,App 1.1,"Document AI System Capabilities, Limitations, and Acceptable Usages","Document and report AI systems capabilities, limitations, acceptable and unacceptable usage. Include technical documentation and instructions for usage of AI models, as applicable."
AI App Controls & Management,AI App Safety,App 1.2,Document Trustworthy AI Efforts,"Document and report AI systems capabilities, limitations, acceptable and unacceptable usage. Include technical documentation and instructions for usage of AI models, as applicable. Document and report evaluations conducted for safety, security, bias, explainability of AI applications"
AI App Controls & Management,AI App Lifecycle,App 2.1,App Lifecycle Completeness,"Define and deploy secure development practices for generative AI applications, throughout the AI lifecycle, for cybersecurity, physical security, and insider threats."
AI App Controls & Management,AI App Lifecycle,App 2.2,App Code Maintainability,Mechanisms are established to enable AI stakeholders to regularly incorporate adjudicated feedback from relevant AI actors into AI Application design and implementation.
AI App Controls & Management,AI App Compliance,App 3.1,AI App Posture Management & Compliance,"Implement monitoring and logging mechanisms to track AI application performance, usage, and compliance with relevant regulations and ethical guidelines."
