term,definition,source_anchor,notes
cyberattaque,"Ensemble coordonné d'actions menées dans le cyberespace qui visent des informations ou les systèmes qui les traitent, en portant atteinte à leur disponibilité, à leur intégrité ou à leur confidentialité.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#cyberattaque,"Domaine: INFORMATIQUE-DÉFENSE | EN: cyber attack, cyberattack"
cyberattaque persistante (CP),Cyberattaque qui met en œuvre des moyens humains et techniques importants pour infiltrer durablement les systèmes d'information vitaux d'une organisation.,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#cyberattaque-persistante,Domaine: INFORMATIQUE-DÉFENSE | EN: advanced persistent threat (APT)
cyberdéfense,"Ensemble des moyens mis en place par un État pour défendre dans le cyberespace les systèmes d'information jugés d'importance vitale, qui contribuent à assurer la cybersécurité.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#cyberd-fense,"Domaine: INFORMATIQUE-DÉFENSE/Opérations | EN: cyber defence, cyberdefence"
cyberdéfense militaire,"Ensemble coordonné d'actions défensives et offensives menées dans le cyberespace lors de la planification, de la préparation ou de la conduite d'opérations militaires.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#cyberd-fense-militaire,Domaine: DÉFENSE/Opérations | EN: military cyber defence
cyberespace,"Espace constitué par les infrastructures interconnectées relevant des technologies de l'information, notamment l'internet, et par les données qui y sont traitées.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#cyberespace,Domaine: TÉLÉCOMMUNICATIONS-INFORMATIQUE | EN: cyberspace
cyberprotection,"Ensemble des moyens, techniques ou juridiques, qui contribuent à assurer la cybersécurité.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#cyberprotection,"Domaine: INFORMATIQUE-DÉFENSE/Opérations | EN: cyber protection, cyberprotection"
cyberrenseignement,"Ensemble d'actions menées dans le cyberespace consistant à infiltrer les systèmes informatiques d'une organisation et à s'emparer de données pour exploiter, à des fins opérationnelles, les renseignements ainsi recueillis.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#cyberrenseignement,Domaine: INFORMATIQUE-DÉFENSE | EN: computer network exploitation (CNE)
cyberrésilience,"Capacité d'un système d'information à résister aux cyberattaques et aux pannes accidentelles, puis à revenir à un état de fonctionnement et de sécurité satisfaisant.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#cyberr-silience,"Domaine: INFORMATIQUE-DÉFENSE | EN: cyber resilience, cyberresilience"
cybersécurité,État d'un système d'information qui résiste aux cyberattaques et aux pannes accidentelles survenant dans le cyberespace.,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#cybers-curit,"Domaine: INFORMATIQUE-DÉFENSE | EN: cyber security, cybersecurity"
lutte informatique défensive (LID),"Ensemble coordonné d'actions menées par un État, qui consistent à détecter, à analyser et à prévenir des cyberattaques, et à y réagir le cas échéant.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#lutte-informatique-d-fensive,Domaine: INFORMATIQUE-DÉFENSE | EN: computer network defence (CND)
lutte informatique offensive (LIO),"Ensemble coordonné d'actions menées dans le cyberespace par un État contre des systèmes d'information ou de données pour les perturber, les modifier, les dégrader ou les détruire.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#lutte-informatique-offensive,Domaine: INFORMATIQUE-DÉFENSE | EN: computer network attacks (CNA)
opérateur d'importance vitale (OIV),"Personne morale publique ou privée qui gère ou utilise des établissements ou des ouvrages dont la destruction ou même l'indisponibilité obéreraient gravement le potentiel militaire, la force économique, la sécurité, voire la capacité de survie d'un État, ou mettraient en danger sa population.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#op-rateur-d-importance-vitale,Domaine: DÉFENSE/Opérations
opérations dans le cyberespace,"Actions relatives à la lutte informatique défensive, à la lutte informatique offensive et au cyberrenseignement.",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#op-rations-dans-le-cyberespace,Domaine: DÉFENSE/Opérations | EN: computer network operations (CNO)
renseignement intéressant la cyberdéfense militaire (RICM),Renseignement qui apporte à la chaîne de commandement opérationnel de la cyberdéfense militaire les informations dont la connaissance est nécessaire pour conduire des opérations dans le cyberespace.,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000035583357#renseignement-int-ressant-la-cyberd-fense-militaire,Domaine: DÉFENSE/Opérations
